land_a,land_b,gedeelde_moleculen,a_eerst,b_eerst,gelijke_dag,aandeel_a_eerst,mediaan_dagen,spreiding_dagen,kwartiel_25,kwartiel_75
BE,HU,202,31,170,1,0.153,-830.5,1629.0,-2700.5,-98.5
GR,IT,104,16,86,2,0.154,-311.5,620.4,-832.2,-27.5
BE,SA,32,5,27,0,0.156,-640.0,842.1,-1599.0,-143.2
GR,SI,51,8,43,0,0.157,-266,1392.2,-1481.0,-61.0
JP,LV,183,29,154,0,0.158,-1542,1209.2,-2441.0,-229.0
EE,SK,57,9,48,0,0.158,-1607,1000.0,-2107.5,-284.0
MY,NO,38,6,32,0,0.158,-200.0,430.5,-441.0,-57.5
FI,GB,25,4,21,0,0.16,-321,544.6,-544.5,-78.0
CZ,SK,86,14,72,0,0.163,-1455.5,927.3,-1958.0,-83.0
CA,SK,12,2,10,0,0.167,-1562.5,958.3,-2102.2,-156.8
CZ,GB,12,2,10,0,0.167,-243.0,628.9,-676.2,-92.0
AU,IS,232,39,193,0,0.168,-403.0,597.7,-616.8,-108.0
HR,SK,130,22,108,0,0.169,-1134.5,945.8,-1775.0,-205.2
CZ,IS,71,12,59,0,0.169,-322,324.9,-589.0,-85.0
DK,IS,83,14,69,0,0.169,-335,1087.8,-602.0,-95.0
IS,SK,336,57,279,0,0.17,-1111.5,1038.8,-1737.0,-313.0
IS,MY,41,34,7,0,0.829,474,453.4,91.5,701.5
AT,IS,162,28,134,0,0.173,-413.5,906.6,-653.0,-128.8
HU,IE,127,105,22,0,0.827,955,1576.9,245.0,2848.0
DE,IS,115,20,94,1,0.174,-320,1017.2,-569.0,-76.0
GR,NO,86,15,70,1,0.174,-218.5,346.1,-290.5,-81.0
GR,JP,63,11,52,0,0.175,-309,426.4,-800.0,-75.0
FI,HU,212,38,171,3,0.179,-916.0,1605.6,-2589.5,-185.8
IE,IS,143,26,117,0,0.182,-450,483.7,-658.0,-121.0
DK,SA,11,2,9,0,0.182,-554,657.3,-1117.0,-191.0
FR,LV,60,11,49,0,0.183,-1117.0,1318.6,-2333.8,-85.8
ES,IS,239,44,195,0,0.184,-345,484.2,-574.0,-99.0
DK,HU,70,13,57,0,0.186,-874.5,1412.8,-2268.5,-134.5
IT,SK,365,68,295,2,0.186,-1079,999.4,-1759.0,-188.5
JP,MY,32,26,6,0,0.812,350.0,450.6,45.0,828.8
MY,US,16,3,13,0,0.188,-215.0,1021.5,-1702.5,-35.0
LV,NO,217,176,41,0,0.811,1559,1284.6,145.0,2550.5
AT,LV,127,24,103,0,0.189,-1573,1430.0,-2599.0,-112.0
AU,SA,42,8,34,0,0.19,-828.0,944.0,-1595.5,-15.2
DK,HR,21,4,17,0,0.19,-165,877.1,-804.5,-18.5
CZ,US,21,4,17,0,0.19,-193,1067.2,-786.5,-16.5
BE,SI,104,20,83,1,0.192,-349.0,1488.9,-1524.0,-17.8
GB,SE,31,25,6,0,0.806,223,550.2,41.0,726.0
AU,HU,206,40,166,0,0.194,-581.5,1550.6,-2227.8,-36.5
CZ,IT,72,14,58,0,0.194,-265.5,708.4,-874.2,-18.0
MY,RO,31,6,25,0,0.194,-359,879.9,-958.0,-105.0
HU,MY,41,33,8,0,0.805,856,1706.0,24.5,2484.5
FI,US,76,15,61,0,0.197,-285.5,1354.6,-1819.0,-48.0
DE,MY,20,16,4,0,0.8,220.5,248.4,45.8,422.8
IE,US,50,10,40,0,0.2,-180.0,1346.1,-1508.5,-29.0
GR,RO,65,13,51,1,0.2,-273,953.1,-1332.0,-2.0
DK,GB,20,4,16,0,0.2,-319.5,637.4,-769.8,-142.2
IS,SA,49,10,39,0,0.204,-811,803.6,-1233.5,-110.5
EE,HU,48,10,38,0,0.208,-617.5,1535.4,-2307.8,-26.2
BE,RO,143,30,113,0,0.21,-336,999.6,-1002.0,-43.0
ES,HU,222,47,175,0,0.212,-722.0,1587.0,-2354.5,-48.8
IS,SE,279,219,60,0,0.785,397,704.9,66.0,665.0
FI,JP,149,32,117,0,0.215,-305,424.6,-546.5,-28.5
FI,RO,139,30,109,0,0.216,-326,997.3,-1058.0,-20.0
IS,NO,318,249,69,0,0.783,332.5,653.4,54.2,487.8
IE,SI,69,15,54,0,0.217,-312,1285.3,-1325.0,-28.5
SE,SI,118,26,91,1,0.22,-542.5,1528.9,-1595.5,-16.0
ES,GB,41,9,32,0,0.22,-314,976.5,-705.5,-26.0
HR,LV,108,24,84,0,0.222,-1631.0,1321.8,-2368.8,-95.5
IS,LV,249,56,193,0,0.225,-1313,1260.6,-2410.0,-120.0
IT,LV,280,63,216,1,0.225,-1318.5,1421.6,-2231.0,-41.8
FR,GR,31,24,6,1,0.774,200,313.1,21.0,448.0
FI,IT,229,52,175,2,0.227,-345,659.0,-964.0,-17.5
GB,LV,35,8,27,0,0.229,-1066,1353.2,-2202.0,-48.0
AT,IT,165,38,124,3,0.23,-363,804.6,-847.5,-2.0
JP,SA,39,9,30,0,0.231,-785,850.4,-1247.0,-136.0
IT,MY,43,33,10,0,0.767,322,523.4,9.0,636.0
AT,HU,154,36,117,1,0.234,-554.5,1643.1,-2534.0,-3.2
HU,NO,247,189,55,3,0.765,766,1603.5,37.0,2524.0
FI,HR,87,21,66,0,0.241,-206,641.1,-708.0,-6.0
HU,SE,218,165,51,2,0.757,652.0,1535.3,3.2,2326.2
IE,IT,166,41,125,0,0.247,-289.0,733.4,-931.8,-11.0
AT,RO,101,25,76,0,0.248,-336,1118.8,-945.5,11.0
EE,LV,48,12,36,0,0.25,-1200.0,1289.0,-2347.5,-9.8
AT,NO,152,38,113,1,0.25,-140.0,531.3,-283.8,10.5
FI,SI,100,25,74,1,0.25,-311.0,1306.1,-1218.2,2.2
DK,MY,16,12,4,0,0.75,46.5,330.3,-21.0,191.5
FR,SA,12,3,9,0,0.25,-424.0,742.4,-1400.8,8.5
AU,SI,107,27,80,0,0.252,-503,1443.2,-1318.0,17.0
LV,RO,234,174,60,0,0.744,820.0,1524.4,-17.2,2207.8
BE,JP,164,42,119,3,0.256,-317.0,577.9,-665.0,6.8
DK,JP,53,14,39,0,0.264,-303,529.2,-772.0,52.0
EE,IS,64,17,47,0,0.266,-334.5,489.9,-652.8,168.8
FR,GB,15,4,11,0,0.267,-83,711.4,-398.0,85.0
CZ,HR,30,8,22,0,0.267,-225.5,752.1,-955.2,28.8
DE,GR,45,33,11,1,0.733,147,531.2,-2.5,396.0
FI,NO,224,60,159,5,0.268,-120.5,346.1,-292.8,4.5
