country_code,country_name,source,medicine_name,active_substance,strength,dosage_form,package_size,product_no,shortage_start,estimated_end,status,scraped_at,atc_code,prk
BG,Bulgaria,SESPA,Ganirelix Gedeon Richter,Ganirelix,0.25 mg/0.5 ml,Solution for injection in pre-filled syringe,1,59686,,,shortage,2026-09-23T20:51:18.568248,H01CC01,59048
BG,Bulgaria,SESPA,Vyxeos liposomal,"Daunorubicin,cytarabine",44 mg/100 mg,Powder for concentrate for solution for infusion,1,55603,,,shortage,2026-09-23T20:51:18.568261,,
BG,Bulgaria,SESPA,Saphnelo,Anifrolumab,300 mg (150 mg/ml - 2 ml),Concentrate for solution for infusion,1,58132,,,shortage,2026-09-23T20:51:18.568274,L04AG11,214795
BG,Bulgaria,SESPA,Meropenem Enexi,Meropenem,1000 mg - 20 ml,Powder for solution for injection/infusion,10,59249,,,shortage,2026-09-23T20:51:18.568286,J01DH02,94838
BG,Bulgaria,SESPA,Profol,Propofol,10 mg/ml - 20 ml,Emulsion for infusion,5,4077,,,shortage,2026-09-23T20:51:18.568299,N01AX10,57576
BG,Bulgaria,SESPA,Dabigatran Etexilate Accord,Dabigatran etexilate,150 mg,"Capsule, hard",60,61709,,,shortage,2026-09-23T20:51:18.568312,B01AE07,98361
BG,Bulgaria,SESPA,Dabigatran Etexilate Accord,Dabigatran etexilate,75 mg,"Capsule, hard",30,61691,,,shortage,2026-09-23T20:51:18.568324,B01AE07,86983
BG,Bulgaria,SESPA,Produodopa,"Foslevodopa, foscarbidopa",240 mg/ml + 12 mg/ml - 10 ml,Solution for infusion,7,60280,,,shortage,2026-09-23T20:51:18.568337,,
BG,Bulgaria,SESPA,Skyrizi,Risankizumab,360 mg (150 mg/ml - 2.4 ml),Solution for injection,1,60477,,,shortage,2026-09-23T20:51:18.568350,L04AC18,222682
BG,Bulgaria,SESPA,Varivax,"Varicella, live  attenuated",0.5 ml (dose),Powder and solvent for suspension for injection,1,16887,,,shortage,2026-09-23T20:51:18.568362,,
BG,Bulgaria,SESPA,Cyclophosphamide Sandoz,Cyclophosphamide,100 mg/ml - 5 ml,Concentrate for solution for injection/infusion,1,64322,,,shortage,2026-09-23T20:51:18.568375,L01AA01,
BG,Bulgaria,SESPA,Nilotinib Zentiva,Nilotinib,150 mg,"Capsule, hard",112,65709,,,shortage,2026-09-23T20:51:18.568388,L01EA03,230715
BG,Bulgaria,SESPA,Veyvondi,Von Willebrand factor (vonicog alfa),1300 IU,Powder and solvent for solution for injection,1,55313,,,shortage,2026-09-23T20:51:18.568400,B02BD10,195960
BG,Bulgaria,SESPA,Vyvgart,Efgartigimod alfa,20 mg/ml - 20 ml,Concentrate for solution for infusion,1,62632,,,shortage,2026-09-23T20:51:18.568413,L04AL01,
BG,Bulgaria,SESPA,Fingolimod Zentiva,Fingolimod,0.5 mg,"Capsule, hard",28,27085,,,shortage,2026-09-23T20:51:18.568426,L04AE01,100129
BG,Bulgaria,SESPA,Omeprazole Polpharma,Omeprazole,40 mg,Powder for solution for infusion,5,62799,,,shortage,2026-09-23T20:51:18.568439,A02BC01,126578
BG,Bulgaria,SESPA,Cagluen,Edoxaban,30 mg,Film-coated tablet,30,67542,,,shortage,2026-09-23T20:51:18.568451,B01AF03,128198
BG,Bulgaria,SESPA,Krusaxyl,Ticagrelor,60 mg,Film-coated tablet,56,66410,,,shortage,2026-09-23T20:51:18.568464,B01AC24,130680
BG,Bulgaria,SESPA,Piracetam Danhson,Piracetam,1200 mg,Film-coated tablet,20,67284,,,shortage,2026-09-23T20:51:18.568479,N06BX03,31186
BG,Bulgaria,SESPA,Edoxabel,Edoxaban,30 mg,Film-coated tablet,30,69062,,,shortage,2026-09-23T20:51:18.568493,B01AF03,128198
BG,Bulgaria,SESPA,Cufence,Trientine,200 mg,"Capsule, hard",100,47111,,,shortage,2026-09-23T20:51:18.568506,A16AX12,207535
BG,Bulgaria,SESPA,Alyftrek,"Deutivacaftor, Tezacaftor, Vanzacaftor",125 mg/50 mg/10 mg,Film-coated tablet,56,68611,,,shortage,2026-09-23T20:51:18.568519,,
BG,Bulgaria,SESPA,Talvey,Talquetamab,2 mg/ml -1.5 ml,Solution for injection,1,64365,,,shortage,2026-09-23T20:51:18.568532,L01FX29,229563
BG,Bulgaria,SESPA,Enwylma,Denosumab,120 mg (70 mg/ml - 1.7 ml),Solution for injection,1,69071,,,shortage,2026-09-23T20:51:18.568545,M05BX04,100420
BG,Bulgaria,SESPA,Nilotinib Pharmascience,Nilotinib,150 mg,"Capsule, hard",112,65546,,,shortage,2026-09-23T20:51:18.568558,L01EA03,230715
BG,Bulgaria,SESPA,Kiovig,"Immunoglobulins, normal human, for intravascular adm.",100 mg/ml - 10 ml,Solution for infusion,1,1167,,,shortage,2026-09-23T20:51:18.568570,,
