country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,cnpem,chnm,marketing_auth_holder,shortage_start,estimated_end,actual_end,status,reason,mitigation,scraped_at,atc_code,prk
PT,Portugal,INFARMED,"Octreotido Color, 0.1 mg/1 ml, Solução injetável ou concentrado para solução para perfusão (5 unidade(s))",Octreotido,,,5084819,50015281,10050126,"Color Pharma, Lda.",2025-06-19,2027-03-31,,shortage,Fabrico,Este medicamento está a ser distribuído ao abrigo de uma autorização excecional de distribuidor por grosso,2026-09-21T13:23:16.340606,H01CB02,122904
PT,Portugal,INFARMED,"Crystacide, 10 mg/g, Creme (1 unidade(s))",Peróxido de hidrogénio,,,2640985,50069187,10044707,"CS Portugal - Produtos Farmacêuticos, Lda.",2026-09-04,2026-11-06,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340614,,
PT,Portugal,INFARMED,"Miochol, 20 mg/2 ml, Pó e solvente para solução injetável (1 unidade(s))",Cloreto de acetilcolina,,,4028080,50176420,10040922,Dr. Gerhard Mann Chem-pharm. Fabrik GmbH,2026-09-15,2027-01-15,,shortage,Fabrico,Este medicamento está a ser distribuído ao abrigo de uma autorização excecional de distribuidor por grosso,2026-09-21T13:23:16.340623,,
PT,Portugal,INFARMED,"Intrarosa, 6.5 mg, Óvulo (28 unidade(s))",Prasterona,,,5756747,50174339,10128468,Endoceutics S.A.,2026-07-28,2026-09-29,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340631,H02AB03,
PT,Portugal,INFARMED,"Tiorfan, 100 mg, Cápsula (20 unidade(s))",Racecadotril,,,5756689,50110594,10078773,Ferrer Internacional S.A.,2026-11-09,2026-11-30,,shortage,Aumento da procura,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340640,A07XA04,
PT,Portugal,INFARMED,"Imigran, 6 mg/0.5 ml, Solução injetável (2 unidade(s))",Sumatriptano,,,8788604,50009745,10071750,"Glaxo Wellcome Farmacêutica, Lda.",2026-09-06,2026-10-16,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340651,N02CC01,38210
PT,Portugal,INFARMED,"Indocid, 25 mg, Cápsula (60 unidade(s))",Indometacina,,,8421941,50076469,10051872,H.A.C. Pharma,2026-10-31,2026-11-30,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340660,M01AB01,43
PT,Portugal,INFARMED,"Clemastinum WZF IP, 2 mg/2 ml, Solução injetável (5 unidade(s))",Clemastina,,,5832977,50086774,10035188,"Inovemed - Produtos Farmacêuticos, Lda.",2025-04-02,2026-11-02,,shortage,Preço,Este medicamento está a ser distribuído ao abrigo de uma autorização excecional de distribuidor por grosso,2026-09-21T13:23:16.340669,D04AA14,
PT,Portugal,INFARMED,"Apiretal, 100 mg/ml, Solução oral (1 unidade(s))",Paracetamol,,,5877907,50049801,10002640,"Ionfarma, SL",2026-04-03,2026-10-25,,shortage,Regulamentar,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340678,N02BE01,
PT,Portugal,INFARMED,"Azactam, 1000 mg, Pó para solução injetável (1 unidade(s))",Aztreonam,,,5752902,50174410,10006418,Laboratoires Delbert,2026-05-01,2027-08-31,,shortage,Fabrico,Os hospitais e farmácias devem solicitar uma autorização de utilização excecional,2026-09-21T13:23:16.340687,J01DF01,229202
PT,Portugal,INFARMED,"Glucomed, 625 mg, Comprimido (60 unidade(s))",Glucosamina,,,5820386,50042866,10043231,"Laboratoires Expanscience, S.A.",2026-06-24,2026-09-20,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340696,M01AX05,78964
PT,Portugal,INFARMED,"Xilonibsa Spray 10%, 100 mg/ml, Solução para pulverização nasal ou bucal (1 unidade(s))",Lidocaína,,,4472080,50174860,10128219,"Laboratórios Inibsa, S.A.",2026-05-08,2026-11-30,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340719,N01BB02,81922
PT,Portugal,INFARMED,"Innohep, 3500 U.I. Anti-Xa/0.35 ml, Solução injetável (10 unidade(s))",Tinzaparina sódica,,,2836682,50099507,10039375,Leo Pharma A/S,2026-11-18,2026-12-04,,shortage,Fabrico da substância ativa,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340729,B01AB05,
PT,Portugal,INFARMED,"Innohep, 14000 U.I. Anti-Xa/0.7 ml, Solução injetável (10 unidade(s))",Tinzaparina sódica,,,2817484,50118927,10095598,Leo Pharma A/S,2026-09-15,2026-10-06,,shortage,Fabrico da substância ativa,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340738,B01AB05,
PT,Portugal,INFARMED,"Lecigon, 20 mg/ml + 5 mg/ml + 20 mg/ml, Gel intestinal (7 unidade(s))",Levodopa + Carbidopa + Entacapona,,,5817606,50189077,10136319,Lobsor Pharmaceuticals AB,2025-07-31,2026-12-30,,shortage,Comercial,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340747,,
PT,Portugal,INFARMED,"Paramolan C, 500 mg + 250 mg, Pó para solução oral (20 unidade(s))",Paracetamol + Ácido ascórbico,,,2493591,50081934,10049775,"Medinfar Consumer Health - Produtos Farmacêuticos, Lda.",2026-08-20,2027-03-31,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340756,,
PT,Portugal,INFARMED,"Lergonix, 6 mg/ml, Colírio, solução (1 unidade(s))",Bilastina,,,5843750,50195344,10139781,"Menarini International Operations Luxembourg, S.A.",2026-02-21,2027-09-01,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340766,R06AX29,
PT,Portugal,INFARMED,"Nevanac, 3 mg/ml, Colírio, suspensão (1 unidade(s))",Nepafenac,,,5630470,50136615,10111860,Novartis Europharm Limited,2026-08-31,2026-10-01,,shortage,Qualidade,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340775,S01BC10,220620
PT,Portugal,INFARMED,"Tobrex, 3 mg/g, Pomada oftálmica (1 unidade(s))",Tobramicina,,,8741017,50016539,10047055,"Novartis Farma - Produtos Farmacêuticos, S.A.",2026-09-12,2026-12-22,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340784,J01GB13,
PT,Portugal,INFARMED,"Nasorhinathiol, 0.5 mg/ml, Gotas nasais, solução (1 unidade(s))",Oximetazolina,,,9679720,50013092,10106863,"Opella Healthcare Portugal, Unipessoal Lda",2026-11-14,2026-11-15,,shortage,Aumento da procura,Impacto reduzido atendendo ao período limitado da rutura,2026-09-21T13:23:16.340794,D11AX27,
PT,Portugal,INFARMED,"Maalox Plus, 200 mg + 200 mg + 26.25 mg, Comprimido para mastigar (40 unidade(s))",Hidróxido de alumínio + Hidróxido de magnésio + Simeticone,,,5490578,50153668,10118350,"Opella Healthcare Portugal, Unipessoal Lda",2026-10-10,2026-10-11,,shortage,Aumento da procura,Impacto reduzido atendendo ao período limitado da rutura,2026-09-21T13:23:16.340802,,
PT,Portugal,INFARMED,"Vitamina C Pascoe, 150 mg/ml, Concentrado para solução injetável ou para perfusão (1 unidade(s))",Ácido ascórbico,,,5804752,,10134970,Pascoe pharmazeutische Präparate GmbH,2025-07-15,2026-12-31,,shortage,Comercial,Os hospitais e farmácias devem solicitar uma autorização de utilização excecional,2026-09-21T13:23:16.340811,A11GA01,
PT,Portugal,INFARMED,"Retacrit, 2000 U.I./0.6 ml, Solução injetável em seringa pré-cheia (6 unidade(s))",Epoetina zeta,,,5075114,50113194,10091639,Pfizer Europe MA EEIG,2026-09-16,2026-10-16,,shortage,Aumento da procura,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340823,B03XA01,86320
PT,Portugal,INFARMED,"Emblaveo, 1.5 g + 0.5 g, Pó para concentrado para solução para perfusão (10 unidade(s))",Aztreonam + Avibactam,,,5879721,,10145179,Pfizer Europe MA EEIG,2026-05-19,2026-12-31,,shortage,Fabrico,Este medicamento está a ser distribuído ao abrigo de uma autorização excecional,2026-09-21T13:23:16.340834,,
PT,Portugal,INFARMED,"Zinforo, 600 mg, Pó para concentrado para solução para perfusão (10 unidade(s))",Ceftarolina fosamilo,,,5468368,50122975,10108202,Pfizer Ireland Pharmaceuticals,2026-09-16,2026-12-18,,shortage,Aumento da procura,Medida de mitigação em avaliação,2026-09-21T13:23:16.340844,,
PT,Portugal,INFARMED,"Braftovi, 75 mg, Cápsula (42 unidade(s))",Encorafenib,,,5759329,50222635,10128735,Pierre Fabre Médicament,2026-09-25,2026-11-16,,shortage,Fabrico,Este medicamento está a ser distribuído ao abrigo de uma autorização excecional,2026-09-21T13:23:16.340853,L01EC03,167258
PT,Portugal,INFARMED,"Zelboraf, 240 mg, Comprimido revestido por película (56 unidade(s))",Vemurafenib,,,5441647,50223755,10106960,Roche Registration GmbH,2027-02-15,2027-08-30,,shortage,Aumento da procura,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340863,L01EC01,101176
PT,Portugal,INFARMED,"Myozyme, 50 mg, Pó para concentrado para solução para perfusão (1 unidade(s))",Alglucosidase alfa,,,5785589,50109553,10086407,Sanofi B.V.,2026-09-14,2026-10-12,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340872,A16AB07,80462
PT,Portugal,INFARMED,"Ikervis, 1 mg/ml, Colírio, emulsão (30 unidade(s))",Ciclosporina,,,5672266,50158279,10120998,Santen Oy,2026-08-01,2026-11-02,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340880,L04AD01,
PT,Portugal,INFARMED,"Q 10 Forte, 30 mg, Cápsula (90 unidade(s))",Ubidecarenona,,,4656195,50083937,10103664,"Sidefarma - Sociedade Industrial de Expansão Farmacêutica, S.A.",2026-05-18,2026-11-16,,shortage,Comercial,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340889,C01EB09,
PT,Portugal,INFARMED,"Q 10 Forte, 30 mg, Cápsula (60 unidade(s))",Ubidecarenona,,,9587097,50083910,10103664,"Sidefarma - Sociedade Industrial de Expansão Farmacêutica, S.A.",2026-04-21,2026-11-16,,shortage,Comercial,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340898,C01EB09,
PT,Portugal,INFARMED,"Dagravit 8, Associação, Solução oral (1 unidade(s))",Vitaminas do complexo B + Ácido ascórbico + Colecalciferol + Retinol,,,9936906,50069403,10057793,"Sidefarma - Sociedade Industrial de Expansão Farmacêutica, S.A.",2025-11-08,2026-11-16,,shortage,Logístico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340907,,
PT,Portugal,INFARMED,"Ulcerase, 0.6 U/g, Pomada (1 unidade(s))",Colagenase,,,8415802,50087916,10030262,"Smith & Nephew, Lda.",2026-12-31,2027-03-31,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340916,D03BA02,34797
PT,Portugal,INFARMED,"Scintimun, 1 mg, Conjunto para preparações radiofarmacêuticas (2 unidade(s))",Besilesomab,,,5264577,,10099842,Telix Innovations SA,2025-09-17,2028-06-26,,shortage,Fabrico da substância ativa,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340926,,
PT,Portugal,INFARMED,"Haloperidol Teva, 5 mg/1 ml, Solução injetável (5 unidade(s))",Haloperidol,,,2686780,50180410,10131076,"Teva Pharma, B.V.",2026-09-01,2026-09-21,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340934,N05AD01,1104
PT,Portugal,INFARMED,"Bijuva, 1 mg + 100 mg, Cápsula mole (28 unidade(s))",Estradiol + Progesterona,,,5902226,50213393,10149081,Theramex Ireland Limited,2026-08-25,2026-10-31,,shortage,Comercial,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340943,,
PT,Portugal,INFARMED,"Respreeza, 4000 mg/76 ml, Pó e solvente para solução para perfusão (1 unidade(s))",Antitripsina alfa-1,,,5761929,,10129125,CSL Behring GmbH,2026-08-01,2026-10-31,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340952,,
PT,Portugal,INFARMED,"Respreeza, 5000 mg/95 ml, Pó e solvente para solução para perfusão (1 unidade(s))",Antitripsina alfa-1,,,5761937,,10129068,CSL Behring GmbH,2026-06-23,2026-10-31,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340960,,
PT,Portugal,INFARMED,"Tarmed, 40 mg/g, Champô (1 unidade(s))",Alcatrão mineral,,,3612280,50098608,10006749,UMIP Limited,2026-08-01,2026-10-31,,shortage,Logístico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-09-21T13:23:16.340969,,
