country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,status,notes,scraped_at,atc_code,prk
SA,Saudi Arabia,SFDA,,BRIMONIDINE TARTRATE,,,,,,shortage,غير متوفر,2026-09-23T21:00:25.254363,D11AX21,
SA,Saudi Arabia,SFDA,,BRIVARACETAM,,,,,,shortage,غير متوفر,2026-09-23T21:00:25.254373,N03AX23,
SA,Saudi Arabia,SFDA,,Brolucizumab,,,,,,shortage,غير متوفر,2026-09-23T21:00:25.254383,S01LA06,
SA,Saudi Arabia,SFDA,,BROMHEXINE,,,,,,shortage,غير متوفر,2026-09-23T21:00:25.254392,R05CB02,
SA,Saudi Arabia,SFDA,,BUDESONIDE,,,,,,shortage,غير متوفر,2026-09-23T21:00:25.941947,A07EA06,
SA,Saudi Arabia,SFDA,,"BUDESONIDE,FORMOTEROL FUMARATE",,,,,,shortage,غير متوفر,2026-09-23T21:00:25.941977,,
SA,Saudi Arabia,SFDA,,BUPRENORPHINE,,,,,,shortage,غير متوفر,2026-09-23T21:00:25.941988,N02AE01,
SA,Saudi Arabia,SFDA,,BUSULFAN,,,,,,shortage,غير متوفر,2026-09-23T21:00:25.941998,L01AB01,
SA,Saudi Arabia,SFDA,,BUTENAFINE,,,,,,shortage,غير متوفر,2026-09-23T21:00:25.942008,D01AE23,
SA,Saudi Arabia,SFDA,,CABAZITAXEL,,,,,,shortage,غير متوفر,2026-09-23T21:00:25.942018,L01CD04,
SA,Saudi Arabia,SFDA,,CABERGOLINE,,,,,,shortage,غير متوفر,2026-09-23T21:00:25.942028,G02CB03,
SA,Saudi Arabia,SFDA,,"CAFFEINE,ERGOTAMINE TARTRATE,HYDROCHLOROTHIAZIDE,EPROSARTAN MESILATE",,,,,,shortage,غير متوفر,2026-09-23T21:00:25.942038,,
SA,Saudi Arabia,SFDA,,CALCITONIN SALMON,,,,,,shortage,غير متوفر,2026-09-23T21:00:25.942048,H05BA01,
SA,Saudi Arabia,SFDA,,CALCIUM CHLORIDE,,,,,,shortage,غير متوفر,2026-09-23T21:00:25.942059,A12BA01,
