country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,marketing_auth_holder,shortage_start,estimated_end,status,reason,alternative,scraped_at,prk
HU,Hungary,OGYEI,"Afinitor  2,5 mg tabletta",Everolimus,,30 X   - -,EU/1/09/538/009,L01XE10,Novartis Europharm Limited,2018-09-01,,shortage,Forgalmazói piaci megfontolások,Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista),2026-09-21T13:18:30.638924,
HU,Hungary,OGYEI,Alimta 100 mg por oldatos infúzióhoz való koncentrátumhoz,pemetrexed,,1 X   - injekciós üvegben,EU/1/04/290/002,L01BA04,Eli Lilly Nederland B.V.,2018-04-18,,shortage,Forgalmazói piaci megfontolások,Ugyanaz a gyógyszer más gyógyszerformában elérhetõ,2026-09-21T13:18:30.638949,138061
HU,Hungary,OGYEI,Alimta 500 mg por oldatos infúzióhoz való koncentrátumhoz,pemetrexed,,1 X   - injekciós üvegben,EU/1/04/290/001,L01BA04,Eli Lilly Nederland B.V.,2018-04-18,,shortage,Forgalmazói piaci megfontolások,Ugyanaz a gyógyszer más gyógyszerformában elérhetõ,2026-09-21T13:18:30.638974,138088
HU,Hungary,OGYEI,Aloxi 250 mikrogramm oldatos injekció,palonosetron,,1 X 5 ml -,EU/1/04/306/001,A04AA05,Helsinn Birex Pharmaceuticals Ltd.,2025-03-31,,shortage,Forgalmazói piaci megfontolások,Azonos hatóanyag más gyógyszerformában elérhetõ,2026-09-21T13:18:30.638998,
HU,Hungary,OGYEI,Aloxi 500 mikrogramm lágy kapszula,palonosetron,,1 X   - buborékcsomagolásban,EU/1/04/306/003,A04AA05,Helsinn Birex Pharmaceuticals Ltd.,2025-03-31,,shortage,Forgalmazói piaci megfontolások,Azonos hatóanyag más gyógyszerformában elérhetõ,2026-09-21T13:18:30.639022,
HU,Hungary,OGYEI,Amgevita 40 mg oldatos injekció elõretöltött injekciós tollban,adalimumab,,2 X 0.8 ml elõretöltött injekciós tollban,EU/1/16/1164/007,L04AB04,Amgen Europe B.V.,2026-05-20,,shortage,Forgalmazói piaci megfontolások,Ugyanaz a gyógyszer más kiszerelésben elérhetõ,2026-09-21T13:18:30.639047,106348
HU,Hungary,OGYEI,Ammonaps 940 mg/g granulátum,sodium phenylbutyrate,,1 X 266 g tartályban,EU/1/99/120/003,A16AX03,Immedica Pharma AB,2021-04-20,,shortage,Forgalmazói piaci megfontolások,Ugyanaz a gyógyszer más kiszerelésben elérhetõ,2026-09-21T13:18:30.639071,
HU,Hungary,OGYEI,Apidra 100 Egység/ml oldatos injekció patronban,insulin glulisine,,5 X 3 ml,EU/1/04/285/008,A10AB06,sanofi-aventis Deutschland GmbH,2023-07-24,,shortage,Forgalmazói piaci megfontolások,Ugyanaz a gyógyszer más gyógyszerformában elérhetõ,2026-09-21T13:18:30.639097,77712
HU,Hungary,OGYEI,Aprovel 150 mg tabletta,irbesartan,,28 X   - buborékcsomagolásban,EU/1/97/046/004,C09CA04,Sanofi Winthrop Industrie,2025-01-13,,shortage,Forgalmazói piaci megfontolások,Ugyanaz a gyógyszer más kiszerelésben elérhetõ,2026-09-21T13:18:30.639121,48798
HU,Hungary,OGYEI,Aprovel 300 mg tabletta,irbesartan,,28 X   - buborékcsomagolásban,EU/1/97/046/007,C09CA04,Sanofi Winthrop Industrie,2025-07-20,,shortage,Forgalmazói piaci megfontolások,Ugyanaz a gyógyszer más gyógyszerformában elérhetõ,2026-09-21T13:18:30.639146,48801
