country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,expected_period,status,reason,detail_url,published_date,scraped_at,atc_code,prk
DK,Denmark,LMST,"Voltabak 1 mg/ml øjendråber, opløsning (Thea)",Diclofenac (diclofenacnatrium) ATC-kode: S01BC03 Forventet periode: Start september 2025 - januar 2027 Årsag: Kvalitetsproblemer Virksomhed: Laboratoires Thea S,,,,2026-07-02,2027-01-25,Start september 2025 - januar 2027,shortage,Kvalitetsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2025/voltabak-forsyningsvanskelighed/,2026-07-02T09:42:00Z,2026-09-23T20:54:00.192225,S01BC03,
DK,Denmark,LMST,"Oncovin 1 mg/ml injektionsvæske, opløsning",Vincristin (vincristinsulfat) ATC-kode: L01CA02 Forventet periode: Start juli - slut september 2026 Årsag: Produktionsproblemer Virksomhed: STADA Nordic ApS Yderligere information: Det er muligt at søge om udleveringstilladelse Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-07-01,2026-09-25,Start juli - slut september 2026,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/oncovin-forsyningsvanskelighed/,2026-07-01T16:00:00Z,2026-09-23T20:54:00.192227,L01CA02,
DK,Denmark,LMST,"Diazedor Vet. 5 mg/ml injektionsvæske, opløsning",Diazepam ATC-kode: QN05BA01 Forventet periode: Start april 2026 - slut januar 2027 Årsag: Produktionsproblemer Virksomhed: Salfarm Danmark A/S Yderligere information: Det er muligt at søge om udleveringstilladelse Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-06-30,2027-01-25,Start april 2026 - slut januar 2027,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/veterinaer-2026/diazedor-vet-forsyningsvanskelighed/,2026-06-30T13:01:00Z,2026-09-23T20:54:00.192230,QN05BA01,
DK,Denmark,LMST,Toltarox 50 mg/ml oral suspension,Toltrazuril ATC-kode: QP51BC01 Forventet periode: Fra start juni 2026 Årsag: Produktionsproblemer Virksomhed: Dechra Veterinary Products A/S Yderligere information: Permanent markedsophør Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-06-29,,Fra start juni 2026,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/veterinaer-2026/toltarox-forsyningsvanskelighed/,2026-06-29T16:27:00Z,2026-09-23T20:54:00.192231,QP51BC01,
DK,Denmark,LMST,"Ziprasidon ""Stada"" 80 mg kapsler, hårde",Ziprasidon ATC-kode: N05AE04 Forventet periode: Start marts - slut august 2026 Årsag: Produktionsproblemer Virksomhed: Stada Nordic ApS Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-06-24,2026-08-25,Start marts - slut august 2026,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/ziprasidon-stada-80-mg-forsyningsvanskelighed/,2026-06-24T12:38:00Z,2026-09-23T20:54:00.192234,N05AE04,
DK,Denmark,LMST,Dalacin 10 mg/ml kutanemulsion (2care4),Clindamycin (clindamycinphosphat) ATC-kode: D10AF01 Forventet periode: Start juni 2026 - ukendt Årsag: Leveringsvanskeligheder Virksomhed: 2care4 ApS Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-06-23,,Start juni 2026 - ukendt,shortage,Leveringsvanskeligheder,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/dalacin-10-mgml-kutanemulsion-2care4-forsyningsvanskelighed/,2026-06-23T08:07:00Z,2026-09-23T20:54:00.192235,D10AF01,
DK,Denmark,LMST,"Erwinase 10.000 E pulver til injektions-/infusionsvæske, opløsning",Crisantaspase ATC-kode: L01XX02 Forventet periode: Fra midt december 2025 Årsag: Produktionsproblemer Virksomhed: CampusPharma AB Yderligere information: Permanent markedsophør Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-06-18,,Fra midt december 2025 ,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/erwinase-forsyningsvanskelighed/,2026-06-18T09:22:00Z,2026-09-23T20:54:00.192236,L01XX02,51519
DK,Denmark,LMST,Iluvien 190 mikrogram intravitreal implantat i applikator,Fluocinolonacetonid ATC-kode: S01BA15 Forventet periode: Start august - slut oktober 2026 Årsag: Produktionsproblemer Virksomhed: Horus Pharma Nordic AB Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-06-18,2026-10-25,Start august - slut oktober 2026 ,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/iluvien-forsyningsvanskelighed/,2026-06-18T08:06:00Z,2026-09-23T20:54:00.192239,S01BA15,204315
DK,Denmark,LMST,"Topotecan ""Ebewe"" 1 mg/ml koncentrat til infusionsvæske, opløsning",Topotecan (topotecanhydrochlorid) ATC-kode: L01CE01 Forventet periode: Start juni - slut december 2026 Årsag: Øget salg/efterspørgsel Virksomhed: Ebewe Pharma Ges,,,,2026-06-16,2026-12-25,Start juni - slut december 2026,shortage,Øget salg/efterspørgsel,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/topotecan-ebewe-forsyningsvanskelighed/,2026-06-16T11:15:00Z,2026-09-23T20:54:00.192241,L01CE01,
DK,Denmark,LMST,Vectavir 1 % creme,Penciclovir ATC-kode: D06BB06 Forventet periode: Start juni - start oktober 2026 Årsag: Kommercielle årsager Virksomhed: Perrigo Sverige AB Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-06-12,2026-10-05,Start juni - start oktober 2026,shortage,Kommercielle årsager,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/vectavir-1-creme-forsyningsvanskelighed/,2026-06-12T13:24:00Z,2026-09-23T20:54:00.192243,D06BB06,
