country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,status,reason,notes,scraped_at,atc_code,prk
IT,Italy,AIFA,CLOX,TICLOPIDINA CLORIDRATO,"""250 MG COMPRESSE"" 30 COMPRESSE",,29213016,2026-09-30,,shortage - end date unknown,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.073207,B01AC05,
IT,Italy,AIFA,CLOZAPINA ACCORD,CLOZAPINA,"""100 MG COMPRESSE"" 28 COMPRESSE IN BLISTER AL-PVC/PVDC",,43807130,2022-04-20,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.073227,N05AH02,25437
IT,Italy,AIFA,CLOZAPINA ACCORD,CLOZAPINA,"""25 MG COMPRESSE"" 28 COMPRESSE IN BLISTER AL-PVC/PVDC",,43807039,2025-01-29,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.073249,N05AH02,25429
IT,Italy,AIFA,CLOZAPINA AUROBINDO,CLOZAPINA,"""25 MG COMPRESSE"" 28 COMPRESSE IN BLISTER PVC/AL",,46028015,2026-09-11,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.073271,N05AH02,25429
IT,Italy,AIFA,CLOZAPINA AUROBINDO,CLOZAPINA,"""100 MG COMPRESSE"" 28 COMPRESSE IN BLISTER PVC/AL",,46028027,2026-08-13,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.073292,N05AH02,25437
IT,Italy,AIFA,CLOZAPINA DOC GENERICI,CLOZAPINA,"""25 MG COMPRESSE"" 28 COMPRESSE IN BLISTER AL/PVC/PVDC",,44326015,2024-07-31,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.073313,N05AH02,25429
IT,Italy,AIFA,CLOZAPINA DOC GENERICI,CLOZAPINA,"""100 MG COMPRESSE"" 28 COMPRESSE IN BLISTER AL/PVC/PVDC",,44326027,2025-03-07,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.073335,N05AH02,25437
IT,Italy,AIFA,CLOZAPINA TEVA,CLOZAPINA,"""25 MG COMPRESSE"" 28 COMPRESSE IN BLISTER AL/PVC/PVDC",,44349037,2024-07-08,,shortage - end date unknown,Problemi regolatori,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.073357,N05AH02,25429
IT,Italy,AIFA,COAGADEX,FATTORE X DI COAGULAZIONE DEL SANGUE,"100 UI/ML - POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE - USO ENDOVENOSO - POLVERE: FLACONCINO (VETRO) 250 UI; SOLVENTE: FLACONCINO (VETRO)  2,5 ML - 1 FLACONCINO + 1 FLACONCINO + DISPOSITIVO DI TRASFERIMENTO",,44840015,2025-07-22,,shortage - end date unknown,Cessata commercializzazione temporanea,Si rilascia autorizzazione allimportazione alle strutture sanitarie per analogo autorizzato allestero,2026-09-21T13:18:35.073378,,
IT,Italy,AIFA,COLBIOCIN,CLORAMFENICOLO + COLISTIMETATO SODICO + TETRACICLINA,"""4 MG/ML / 180.000 U.I./ML / 4,2 MG/ML COLLIRIO, POLVERE E SOLVENTE PER SOLUZIONE"" 1 FLACONE SOLVENTE LDPE DA 5 ML + 1 FLACONE POLVERE IN VETRO",,20605073,2024-11-05,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.073400,,
IT,Italy,AIFA,COLCAD,COLECALCIFEROLO,"«10.000 U.I./ML GOCCE ORALI,  SOLUZIONE»  1  FLACONE  10  ML",,46454017,2026-03-31,,shortage - end date unknown,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.073421,A11CC05,211249
IT,Italy,AIFA,COLECALCIFEROLO EG STADA ITALIA,COLECALCIFEROLO,"""10.000 I.U. CAPSULE MOLLI"" 10 CAPSULE IN BLISTER PVC/PVDC/AL",,46178048,2026-09-02,,shortage - end date unknown,Motivi commerciali,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.073442,A11CC05,
