country_code,country_name,source,medicine_name,atc_code,active_substance,dosage_form,strength,marketing_auth_holder,detail_url,shortage_start,estimated_end,status,package_size,product_no,reason,medicine_type,scraped_at,prk
EE,Estonia,RAVIMIAMET,NEURONTIN,N02BF01,Gabapentin,"capsule, hard",300mg,Lex Ano UAB,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=9dfc7c9c-e303-46b8-8f00-0bb94835b55c,2023-06-30,,shortage,"90TK, Rumeenia pakend",1826355,ei ole teada,Human medicine,2026-09-23T20:54:00.195496,52825
EE,Estonia,RAVIMIAMET,NEVANAC,S01BC10,Nepafenac,"eye drops, suspension",1mg 1ml,Novartis Europharm Limited,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=85324166-e738-4ecf-aa51-4fd598ebbbbc,2026-08-25,,shortage,5ml 1TK,1343001,ei ole teada - täpsustamisel,Human medicine,2026-09-23T20:54:00.195496,220612
EE,Estonia,RAVIMIAMET,OMEP 20MG,A02BC01,Omeprazole,"gastro-resistant capsule, hard",20mg,Sandoz Pharmaceuticals d.d.,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=50d18fe5-a18f-4d4d-82aa-c4aa88b8ea2e,2026-04-27,,shortage,56TK,1269244,eeldatavasti oktoobris 2026,Human medicine,2026-09-23T20:54:00.195496,60062
EE,Estonia,RAVIMIAMET,ORFIRIL,N03AG01,Valproic acid,solution for injection,100mg 1ml,Desitin Arzneimittel GmbH,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=772cc141-8620-4723-9be0-3163b0a59803,2026-09-14,,shortage,3ml 5TK,1035964,eeldatavasti oktoobri keskpaigas 2026,Human medicine,2026-09-23T20:54:00.195496,58831
EE,Estonia,RAVIMIAMET,PARACETAMOL LIVSANE,N02BE01,Paracetamol,film-coated tablet,500mg,PXG Pharma GmbH,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=c2aaef59-fd78-4cfa-85a1-edcb93bd142d,2026-04-06,,shortage,"10TK, blister",1877542,eeldatavasti juuli lõpus 2026,Human medicine,2026-09-23T20:54:00.195496,67903
EE,Estonia,RAVIMIAMET,PERINDOPRIL/INDAPAMIDE TEVA,C09BA83,Perindopril+Indapamide,film-coated tablet,"10mg +2,5mg",Teva Pharma B.V.,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=db3a85de-750a-4a96-aff5-6152f4a9ae1b,2026-03-30,,shortage,90TK,1686742,ei ole teada,Human medicine,2026-09-23T20:54:00.195496,
EE,Estonia,RAVIMIAMET,PHENHYDAN INJEKTIONSLÖSUNG,N03AB02,Phenytoin,solution for injection,50mg 1ml,Desitin Arzneimittel GmbH,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=8ef9092d-ca02-418d-b3e4-4f6f2dd8fa81,2026-04-06,,shortage,5ml 5TK,1005051,eeldatavasti 2026. aasta 4. kvartalis,Human medicine,2026-09-23T20:54:00.195496,33561
EE,Estonia,RAVIMIAMET,PLAQUENIL,P01BA02,Hydroxychloroquine,film-coated tablet,200mg,First Pharma OÜ,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=bdc94301-39a5-4517-bf45-1e975639a83e,2024-03-27,,shortage,"60TK, Rumeenia pakend",1566086,ei ole teada,Human medicine,2026-09-23T20:54:00.195496,51
EE,Estonia,RAVIMIAMET,PRO-AMBROSAN,R05CB06,Ambroxol,tablet,30mg,Pro.Med.Cs Praha a.s.,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=540553eb-6e66-4c67-8027-a6c7c5ef45ea,2026-06-29,,shortage,20TK,1017009,eeldatavasti oktoobri lõpus 2026,Human medicine,2026-09-23T20:54:00.195496,
EE,Estonia,RAVIMIAMET,PROPRANOLOL ACCORD 40MG,C07AA05,Propranolol,film-coated tablet,40mg,Accord Healthcare B.V.,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=ef3c81a1-964a-40cf-bb75-6320a9e4f7ad,2025-11-25,,shortage,50TK,1596944,ei ole teada,Human medicine,2026-09-23T20:54:00.195496,5711
EE,Estonia,RAVIMIAMET,PROSPAN,R05CA12,Hederae helicis folium,"oral drops, solution",20mg 1ml,Engelhard Arzneimittel GmbH & Co. KG,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=e419784b-c0df-4be0-874f-97cae460f3d8,2023-01-18,,shortage,20ml 1TK,1122062,ei ole teada,Human medicine,2026-09-23T20:54:00.195496,
EE,Estonia,RAVIMIAMET,QUETIAPINE ACCORD,N05AH04,Quetiapine,prolonged-release tablet,400mg,Accord Healthcare B.V.,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=66e5126b-9a0c-4a36-8f44-ee61eda6eb4c,2026-04-13,,shortage,100TK,1454217,ei ole teada,Human medicine,2026-09-23T20:54:00.195496,84212
EE,Estonia,RAVIMIAMET,QUETIAPINE TEVA,N05AH04,Quetiapine,film-coated tablet,25mg,Teva Pharma B.V.,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=37a3d396-6718-42c0-a693-e8f6001341b8,2026-06-22,,shortage,30TK,1377503,eeldatavasti septembri alguses 2026,Human medicine,2026-09-23T20:54:00.195496,50741
EE,Estonia,RAVIMIAMET,RAMDACORDIA,C09BB07,Ramipril+Amlodipine,"capsule, hard",10mg +5mg,Sandoz Pharmaceuticals d.d.,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=ff60830e-c492-4622-8efa-daad0d77fa18,2026-08-17,,shortage,50TK,1510399,38. nädalal 2026 ehk 14. septembriga algava nädala lõpus,Human medicine,2026-09-23T20:54:00.195496,
EE,Estonia,RAVIMIAMET,RAMDACORDIA,C09BB07,Ramipril+Amlodipine,"capsule, hard",10mg +10mg,Sandoz Pharmaceuticals d.d.,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=38074eb7-e846-4b0b-ae8c-e7aec88102ee,2026-01-12,,shortage,90TK,1715497,38. nädalal 2026 ehk 14. septembriga algava nädala lõpus,Human medicine,2026-09-23T20:54:00.195496,
EE,Estonia,RAVIMIAMET,RAMDACORDIA,C09BB07,Ramipril+Amlodipine,"capsule, hard",5mg +5mg,Sandoz Pharmaceuticals d.d.,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=a55f0710-3db6-47b8-8efe-dfba656e6fee,2026-07-06,,shortage,30TK,1510344,38. nädalal 2026  ehk 14. septembriga algava nädala lõpus,Human medicine,2026-09-23T20:54:00.195496,
EE,Estonia,RAVIMIAMET,SCINTIMUN,V09HA80,Besilesomab,kit for radiopharmaceutical preparation,1mg,Telix Innovations,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=2e758cff-25cb-4561-80de-bede46c9ddab,2025-09-17,,shortage,"2TK, lahusti viaalis 2 TK",1458918,täpsustamisel,Human medicine,2026-09-23T20:54:00.195496,
EE,Estonia,RAVIMIAMET,SIRDALUD,M03BX02,Tizanidine,tablet,4mg,Ideal Trade Links UAB,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=f1b0f4ae-f2f4-41c7-9d09-64bcb6f21f74,2024-07-19,,shortage,"30TK, Saksamaa pakend",1854952,ei ole teada,Human medicine,2026-09-23T20:54:00.195496,23000
EE,Estonia,RAVIMIAMET,SIRDALUD,M03BX02,Tizanidine,tablet,2mg,Ideal Trade Links UAB,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=23627204-a3ed-4be2-948e-16fa4bdd3d4d,2024-07-19,,shortage,"30TK, Saksamaa pakend",1865550,ei ole teada,Human medicine,2026-09-23T20:54:00.195496,22993
EE,Estonia,RAVIMIAMET,SIRDALUD,M03BX02,Tizanidine,tablet,2mg,Lex Ano UAB,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=2354d8d0-4c61-48ee-a739-ddbfd3e58f28,2024-01-29,,shortage,"30TK, Kreeka pakend",1839191,ei ole teada,Human medicine,2026-09-23T20:54:00.195496,22993
EE,Estonia,RAVIMIAMET,ZINNAT,J01DC02,Cefuroxime,granules for oral suspension,25mg 1ml,Sandoz Pharmaceuticals d.d.,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=76394fba-167e-4264-b259-6b20ffe163b0,2026-06-23,,shortage,50ml 1TK,1007198,eeldatavasti oktoobris 2026,Human medicine,2026-09-23T20:54:00.195496,
