country_code,country_name,source,medicine_name,active_substance,strength,dosage_form,package_size,package_description,atc_code,marketing_auth_holder,reporter,status,reason,parallel_export_ban,legal_basis,healthcare_notice,basg_note,shortage_start,estimated_end,scraped_at,prk
AT,Austria,BASG,Quetiapin neuraxpharm 300 mg Retardtabletten,QUETIAPIN FUMARAT,300 mg,Retardtablette,60 Stück,60 Tabletten in weiß-opake PVC/PCTFE//Aluminium-Blisterpackung,N05AH04,"neuraxpharm Arzneimittel GmbH, Elisabeth-Selbert-Straße 23, 40764 Langenfeld (Rheinland), Federal Republic of Germany","neuraxpharm Arzneimittel GmbH, Elisabeth-Selbert-Straße 23, 40764 Langenfeld (Rheinland), Federal Republic of Germany",Nicht verfügbar,Verzögerung bei der Herstellung,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-09-21T13:13:14.301330,84204
AT,Austria,BASG,MOVIPREP Orange - Pulver zur Herstellung einer Lösung zum Einnehmen,"NATRIUMSULFAT, MACROGOL, NATRIUMCHLORID, NATRIUM ASCORBAT, KALIUMCHLORID, ASCORBINSÄURE",,Pulver zur Herstellung einer Lösung zum Einnehmen,1 Stück,1 x 1 (je 2 Beutel im Umbeutel),A06AD65,"Norgine B.V., Antonio Vivaldistraat 150, 1083 HP Amsterdam, Niederlande","Norgine B.V., Antonio Vivaldistraat 150, 1083 HP Amsterdam, Niederlande",Nicht verfügbar,Sonstiger,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Geplant,,,,2026-09-21T13:13:14.301333,83291
AT,Austria,BASG,Dermovate - Salbe,CLOBETASOL PROPIONAT,,Salbe,1 Stück,"30g Dermovate Salbe ist in einer mit Latex überzogenen, innen mit Epoxy-Resin Lack beschichteten Aluminiumtube mit Polypropylenverschlußkappe",D07AD01,"Glaxosmithkline Pharma GmbH, Wienerbergstraße 7, 1100 Wien, Österreich","Glaxosmithkline Pharma GmbH, Wienerbergstraße 7, 1100 Wien, Österreich",Nicht verfügbar,Erhöhter Mehrbedarf,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-09-21T13:13:14.301335,4855
AT,Austria,BASG,Dermovate - Salbe,CLOBETASOL PROPIONAT,,Salbe,1 Stück,"25g Dermovate Salbe ist in einer mit Latex überzogenen, innen mit Epoxy-Resin Lack beschichteten Aluminiumtube mit Polypropylenverschlußkappe",D07AD01,"Glaxosmithkline Pharma GmbH, Wienerbergstraße 7, 1100 Wien, Österreich","Glaxosmithkline Pharma GmbH, Wienerbergstraße 7, 1100 Wien, Österreich",verfügbar,Erhöhter Mehrbedarf,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-09-21T13:13:14.301338,4855
AT,Austria,BASG,Dermovate - Salbe,CLOBETASOL PROPIONAT,,Salbe,1 Stück,"100g Dermovate Salbe ist in einer mit Latex überzogenen, innen mit Epoxy-Resin Lack beschichteten Aluminiumtube mit Polypropylenverschlußkappe",D07AD01,"Glaxosmithkline Pharma GmbH, Wienerbergstraße 7, 1100 Wien, Österreich","Glaxosmithkline Pharma GmbH, Wienerbergstraße 7, 1100 Wien, Österreich",verfügbar,Erhöhter Mehrbedarf,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-09-21T13:13:14.301341,4855
AT,Austria,BASG,Hydrosan  - Tabletten,CHLORTALIDON,,Tablette,30 Stück,30 Stück (PVC-Alu-Blisterpackung),C03BA04,"Wabosan Arzneimittelvertriebs GmbH, Anton-Anderer-Platz 6/1, 1210 Wien, Österreich","Wabosan Arzneimittelvertriebs GmbH, Anton-Anderer-Platz 6/1, 1210 Wien, Österreich",Nicht verfügbar,Produktionstransfer zu einem alternativen Hersteller,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-09-21T13:13:14.301344,15962
AT,Austria,BASG,"Fingolimod Zentiva 0,5 mg Hartkapseln",FINGOLIMODHYDROCHLORID,"0,5 mg",Hartkapsel,28 Stück,"PVC/PVDC/Al blister, n/a",L04AE01,"Zentiva k.s., U Kabelovny 130 Dolni Mecholupy -, 102 37 Prague, Tschechische Republik","Zentiva k.s., U Kabelovny 130 Dolni Mecholupy -, 102 37 Prague, Tschechische Republik",Nicht verfügbar,Qualitätsprobleme des Fertigproduktes,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-09-21T13:13:14.301346,100129
AT,Austria,BASG,"Fingolimod Zentiva 0,5 mg Hartkapseln",FINGOLIMODHYDROCHLORID,"0,5 mg",Hartkapsel,7 Stück,"PVC/PVDC/Al blister, n/a",L04AE01,"Zentiva k.s., U Kabelovny 130 Dolni Mecholupy -, 102 37 Prague, Tschechische Republik","Zentiva k.s., U Kabelovny 130 Dolni Mecholupy -, 102 37 Prague, Tschechische Republik",Nicht verfügbar,Qualitätsprobleme des Fertigproduktes,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-09-21T13:13:14.301350,100129
AT,Austria,BASG,Neodolpasse  - Infusionslösung,"DICLOFENAC NATRIUM, ORPHENADRIN DIHYDROGENCITRAT",,Infusionslösung,5 Stück,5 x 250 ml in Glasflasche (Ph. Eur. Typ II Glas) mit Halogen-Butyl-Gummistopfen und Alu-Bördelkappe,M01AB55,"Fresenius Kabi Austria GmbH, Hafnerstraße 36, 8055 Graz, Österreich","Fresenius Kabi Austria GmbH, Hafnerstraße 36, 8055 Graz, Österreich",Nicht verfügbar,Erhöhter Mehrbedarf,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Geplant,,,,2026-09-21T13:13:14.301353,
AT,Austria,BASG,Neodolpasse  - Infusionslösung,"DICLOFENAC NATRIUM, ORPHENADRIN DIHYDROGENCITRAT",,Infusionslösung,10 Stück,10 x 250 ml in Glasflasche (Ph. Eur. Typ II Glas) mit Halogen-Butyl-Gummistopfen und Alu-Bördelkappe,M01AB55,"Fresenius Kabi Austria GmbH, Hafnerstraße 36, 8055 Graz, Österreich","Fresenius Kabi Austria GmbH, Hafnerstraße 36, 8055 Graz, Österreich",eingeschränkt verfügbar,Erhöhter Mehrbedarf,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Geplant,,,,2026-09-21T13:13:14.301356,
