country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,marketing_auth_holder,dosage_form,shortage_start,first_published,estimated_end,estimated_end_text,last_updated,status,alternatives_available,reason,member_states,source_url,scraped_at
EU,EU (EMA),EMA,Creon,pancreas powder;pancrelipase,"10,000 units;25,000 units;35,000 units",,,,,Capsule,,2024-04-29,,First half of 2027,2026-04-14,shortage,Yes,"The company that produces Creon is experiencing limitations in production capacity. Coupled with a high demand, this has led to intermittent shortages in the supply of Creon hard capsules. The shortages are not related to a quality defect of the product or a safety issue. Production capacity limitations are expected to be resolved in the first half of 2027. Until then, periodic shortages in the supply of Creon are anticipated.","The shortage affects some of the Member States where the product is marketed: Austria, Belgium, Bulgaria, Cyprus, Czechia, Estonia, France, Greece, Hungary, Italy, Ireland, Latvia, Malta, Netherlands, Portugal, Slovenia, Spain and Sweden. This information may change. For up-to-date information about the status of a medicine shortage in a particular EU/EEA Member State, consult the national shortage register or contact the national competent authority.",https://www.ema.europa.eu/en/medicines/human/shortages/creon,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Eli Lilly insulin (various forms),,,,,,,Solution for injection;Suspension for injection,,2026-03-23,,,,shortage,Yes,The company Eli Lilly has decided to stop marketing some of its insulin medicines for commercial reasons. This decision is not related to a quality defect or safety issue.,"The discontinuations affect Member States differently. For more details, consult your country’s shortage register or contact your national competent authority.",https://www.ema.europa.eu/en/medicines/human/shortages/eli-lilly-insulin-various-forms,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Ifosfamide,ifosfamide,,,,,,Powder for concentrate for solution for infusion,2026-02-12,2026-02-13,,Expected to continue until Q1 2027.,2026-03-03,shortage,Unknown,"A technical problem at the site manufacturing the ifosfamide-containing medicines, together with site improvements required after a regulatory inspection in September 2025, led to a short pause in the manufacture and release of ifosfamide. Although manufacturing has now resumed at the facility, the pause led to a shortage that is expected to continue until Q1 2027, when the manufacturing site is expected to return to full capacity. The shortage is not related to a quality defect of the product or a safety issue.","The shortage is likely to affect all EU/EEA Member States. For up-to-date information about the status of a medicine shortage in a particular Member State, consult the national shortage register or contact the national competent authority.",https://www.ema.europa.eu/en/medicines/human/shortages/ifosfamide,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Cyclophosphamide,cyclophosphamide,,,,,,Powder for solution for injection or infusion,2026-02-24,2026-02-24,,Expected to continue until Q1 2027.,2026-03-03,shortage,Unknown,"A technical problem at the site manufacturing cyclophosphamide-containing medicines, together with site improvements required after a regulatory inspection in September 2025, led to a short pause in the manufacture and release of cyclophosphamide. Although manufacturing has now resumed at the facility, the pause led to a shortage which is expected to continue until Q1 2027, when the site is expected to return to full capacity. The shortage is not related to a quality defect of the product or a safety issue.","The shortage is likely to affect all EU/EEA Member States. For up-to-date information about the status of a medicine shortage in a particular Member State, consult the national shortage register or contact the national competent authority.",https://www.ema.europa.eu/en/medicines/human/shortages/cyclophosphamide,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Trulicity,dulaglutide,0.75 mg;1.5 mg;3 mg ;4.5 mg,,,A10BJ05,Eli Lilly Nederland B.V.,Solution for injection in pre-filled pen,,2023-08-28,,End of 2025,2026-02-17,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/trulicity,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Norditropin FlexPro / Norditropin NordiFlex,somatropin,5 mg ;10 mg ;15 mg,,,,,Solution for injection in pre-filled pen,,2023-12-05,,Resolved - 22 December 2025,2026-02-11,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/norditropin-flexpro-norditropin-nordiflex,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Tresiba,insulin degludec,100 units/ml ;200 units/ml,,,A10AE06,Novo Nordisk A/S,Pre-filled pen,,2023-08-24,,,2026-02-09,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/tresiba,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Fludarabine,fludarabine,25 mg/ml,,,,,Concentrate for solution for injection/infusion,,2024-03-11,,The shortage is expected to last until December 2025.,2026-01-22,shortage,Unknown,A general shortage of the active pharmaceutical ingredient and an unexpected increase in demand for fludarabine medicines have led to a supply issue for several manufacturers across Europe. This has resulted in shortages of medicines containing fludarabine. The shortage is not related to a quality defect of the product or a safety issue. The shortage is expected to last until December 2025.,"The shortage affects several EU Member States where the product is marketed. For up-to-date information about the status of a medicine shortage in a particular Member State, consult the national shortage register or contact the national competent authority.",https://www.ema.europa.eu/en/medicines/human/shortages/fludarabine,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Ozempic,semaglutide,1 mg;0.5 mg;0.25 mg,,,A10BJ06,Novo Nordisk A/S,Pre-filled pen,,2022-10-19,,,2026-01-13,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/ozempic,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Fiasp PumpCart (insulin aspart),insulin aspart,100 units/mL,,,,,Solution for injection in a cartridge,2025-05-08,2025-05-12,,,2025-12-18,shortage,Yes,"The current manufacturing capacity for Fiasp PumpCart cannot meet demand. This has led or may lead to intermittent shortages of Fiasp PumpCart. The shortages are not related to a quality defect of the product or a safety issue. In addition, the company marketing Fiasp will discontinue Fiasp PumpCart for commercial reasons by the end of 2026 at the latest in all EU/EEA countries where the product is currently marketed.","All Member States where the product is marketed are currently affected or are at risk of being affected by the intermittent shortages: Belgium, Denmark, Finland, France, Germany, Ireland, Luxembourg, Netherlands, Norway, Spain and Sweden. For up-to-date information about the status of a medicine shortage in a particular Member State, consult the national shortage register or contact the national competent authority.",https://www.ema.europa.eu/en/medicines/human/shortages/fiasp-pumpcart-insulin-aspart,2026-09-22T14:49:34.035662
