country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,marketing_auth_holder,shortage_start,estimated_end,status,reason,alternative,scraped_at
HU,Hungary,OGYEI,ALGOFLEX ULTRA FORTE 600 mg filmtabletta,ibuprofen,,20 X   - buborékcsomagolásban,OGYI-T-08933/02,M01AE01,Opella Healthcare Commercial Kft.,2025-06-25,,shortage,Piaci megfontolások,Ugyanaz a gyógyszer más kiszerelésben elérhetõ,2026-03-13T23:10:54.069195
HU,Hungary,OGYEI,ALGOPYRIN 1 g/2 ml oldatos injekció,metamizole sodium monohydrate,,25 X 2 ml OPC ampullában,OGYI-T-07845/04,N02BB02,Opella Healthcare Commercial Kft.,2025-06-25,,shortage,Piaci megfontolások,Ugyanaz a gyógyszer más kiszerelésben elérhetõ,2026-03-13T23:10:54.069195
HU,Hungary,OGYEI,ALGOPYRIN 500 mg tabletta,metamizole sodium monohydrate,,10 X   - buborékcsomagolásban,OGYI-T-07845/01,N02BB02,Opella Healthcare Commercial Kft.,2025-06-25,,shortage,Piaci megfontolások,Ugyanaz a gyógyszer más gyógyszerformában elérhetõ,2026-03-13T23:10:54.069195
HU,Hungary,OGYEI,ALGOPYRIN 500 mg tabletta,metamizole sodium monohydrate,,20 X   - buborékcsomagolásban,OGYI-T-07845/02,N02BB02,Opella Healthcare Commercial Kft.,2025-06-25,,shortage,Piaci megfontolások,Ugyanaz a gyógyszer más gyógyszerformában elérhetõ,2026-03-13T23:10:54.069195
HU,Hungary,OGYEI,ALGOPYRIN 500 mg tabletta,metamizole sodium monohydrate,,30 X   - buborékcsomagolásban,OGYI-T-07845/05,N02BB02,Opella Healthcare Commercial Kft.,2025-06-25,,shortage,Piaci megfontolások,Ugyanaz a gyógyszer más gyógyszerformában elérhetõ,2026-03-13T23:10:54.069195
HU,Hungary,OGYEI,ALKA-SELTZER 324 mg pezsgõtabletta,acetylsalicylic acid,,10 X   - fóliacsík,OGYI-T-08081/01,N02BA01,Bayer Hungária Kft.,2013-12-01,,shortage,Piaci megfontolások,Ugyanaz a gyógyszer más kiszerelésben elérhetõ,2026-03-13T23:10:54.070195
HU,Hungary,OGYEI,ALKALIGEN oldatos infúzió,sodium hydrogen carbonate,,1 X 400  ml üvegpalackban,OGYI-T-03516/01,B05BB01,Teva Gyógyszergyár Zrt.,2015-12-03,2026-12-31,shortage,Gyártási gond,Kontingens,2026-03-13T23:10:54.070195
HU,Hungary,OGYEI,ALMOWILL-DUO 875 mg/125 mg filmtabletta,amoxicillin;clavulanic acid,,14 X   - buborékcsomagolásban,OGYI-T-23085/01,J01CR02,Goodwill Pharma Nyrt.,2025-03-10,2026-07-30,shortage,Piaci megfontolások,Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista),2026-03-13T23:10:54.070195
HU,Hungary,OGYEI,ALPRESTIL 20 mikrogramm/ml koncentrátum oldatos infúzióhoz,alprostadil,,5 X 1 ml ampulla,OGYI-T-06095/01,C01EA01,Gebro Pharma GmbH,2025-04-15,,shortage,Piaci megfontolások,Egyedi import,2026-03-13T23:10:54.070195
HU,Hungary,OGYEI,ALPROSTADIL ALTAN 20 mikrogramm por oldatos infúzióhoz,alprostadil,,5 X   - injekciós üvegben,OGYI-T-23492/02,C01EA01,Altan Pharma Ltd.,2025-02-03,,shortage,Gyártási gond,Ugyanaz a gyógyszer más kiszerelésben elérhetõ,2026-03-13T23:10:54.070195
