country_code,country_name,source,medicine_name,full_name,active_substance,strength,package_size,dosage_form,atc_code,marketing_auth_holder,market_status,market_status_code,status,scraped_at
SI,Slovenia,CBZ,Monkasta,Monkasta 10 mg filmsko obložene tablete,montelukastum,,škatla z 28 tabletami (4 x 7 tablet v pretisnem omotu),filmsko obložena tableta,R03DC03,"KRKA, d.d., Novo mesto",Potekajoèa motnja v preskrbi,5,shortage,2026-03-14T16:09:12.449833
SI,Slovenia,CBZ,CARDURA,CARDURA XL 8 mg tablete s podaljšanim sprošèanjem,doxazosinum,,škatla z 28 tabletami (4 x 7 tablet v pretisnem omotu),tableta s podaljšanim sprošèanjem,C02CA04,Upjohn EESV,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.449833
SI,Slovenia,CBZ,Visudyne,Visudyne 15 mg prašek za raztopino za infundiranje,verteporfinum,,škatla z eno vialo s praškom,prašek za raztopino za infundiranje,S01LA01,CHEPLAPHARM Arzneimittel GmbH,Potekajoèa motnja v preskrbi,5,shortage,2026-03-14T16:09:12.449833
SI,Slovenia,CBZ,Ortanol,Ortanol 40 mg trde gastrorezistentne kapsule,omeprazolum,,škatla z 28 kapsulami (4 x 7 kapsul v pretisnem omotu),"gastrorezistentna kapsula, trda",A02BC01,Lek d.d.,Potekajoèa motnja v preskrbi,5,shortage,2026-03-14T16:09:12.449833
SI,Slovenia,CBZ,Doksorubicin Sandoz,Doksorubicin Sandoz 2 mg/ml koncentrat za raztopino za infundiranje,doxorubicinum,,škatla z 1 vialo brez ovoja s 5 ml koncentrata,koncentrat za raztopino za infundiranje,L01DB01,Sandoz d.d.,Potekajoèa motnja v preskrbi,5,shortage,2026-03-14T16:09:12.449833
SI,Slovenia,CBZ,Doksorubicin Sandoz,Doksorubicin Sandoz 2 mg/ml koncentrat za raztopino za infundiranje,doxorubicinum,,škatla z 1 vialo brez ovoja s 25 ml koncentrata,koncentrat za raztopino za infundiranje,L01DB01,Sandoz d.d.,Potekajoèa motnja v preskrbi,5,shortage,2026-03-14T16:09:12.449833
SI,Slovenia,CBZ,EPIRUBICIN EBEWE,EPIRUBICIN EBEWE 2 mg/ml koncentrat za raztopino za infundiranje,epirubicinum,,škatla z 1 vialo z ovojem (Onco-Safe ali krèljivi ovoj) ali brez s 5 ml koncentrata,koncentrat za raztopino za infundiranje,L01DB03,EBEWE Pharma,Potekajoèa motnja v preskrbi,5,shortage,2026-03-14T16:09:12.449833
SI,Slovenia,CBZ,EPIRUBICIN EBEWE,EPIRUBICIN EBEWE 2 mg/ml koncentrat za raztopino za infundiranje,epirubicinum,,škatla z 1 vialo z ovojem (Onco-Safe ali krèljivi ovoj) ali brez s 25 ml koncentrata,koncentrat za raztopino za infundiranje,L01DB03,EBEWE Pharma,Potekajoèa motnja v preskrbi,5,shortage,2026-03-14T16:09:12.449833
SI,Slovenia,CBZ,Tasmar,Tasmar 100 mg filmsko obložene tablete,tolcaponum,,100 filmsko obloženih tablet,filmsko obložena tableta,N04BX01,Viatris Healthcare Limited,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.449833
SI,Slovenia,CBZ,Test Helicobacter INFAI,"Test Helicobacter INFAI za otroke v starosti 3   11 let, 45 mg prašek za peroralno raztopino",Alia diagnostica,,škatla z lonèkom s 45g praška za peroralno raztopino s 4 epruvetami za vzorce izdihanega zraka in upogljivo slamico za pihanje,prašek za peroralno raztopino,V04CX,INFAI GmbH,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.449833
