file,substance,atc_code
CA_HPSC_shortage_2026-03-13.csv,JETREA,
CA_HPSC_shortage_2026-03-13.csv,APO-CAPTO TAB 12.5MG,
CA_HPSC_shortage_2026-03-13.csv,APO-SALVENT STERULES,
CA_HPSC_shortage_2026-03-13.csv,JARDIANCE,
CA_HPSC_shortage_2026-03-13.csv,"DEXTROSE 5% INJECTION, USP",
CA_HPSC_shortage_2026-03-13.csv,SAIZEN,
CA_HPSC_shortage_2026-03-13.csv,CLINDETS,
CA_HPSC_shortage_2026-03-13.csv,APO-HYDRALAZINE,
CA_HPSC_shortage_2026-03-13.csv,ATARAX SYRUP 2MG/ML,
CA_HPSC_shortage_2026-03-13.csv,LOMOTIL,
CA_HPSC_shortage_2026-03-13.csv,VALTREX,
CA_HPSC_shortage_2026-03-13.csv,TARO-CALCIPOTRIOL / BETAMETHASONE GEL,
CA_HPSC_shortage_2026-03-13.csv,ELTROXIN,
CA_HPSC_shortage_2026-03-13.csv,MIN-OVRAL 28,
CA_HPSC_shortage_2026-03-13.csv,SUTENT,
CA_HPSC_shortage_2026-03-13.csv,BREVICON 1/35 TABLETS (21-DAY PACK),
CA_HPSC_shortage_2026-03-13.csv,LOPRESOR SR 200 MG,
CA_HPSC_shortage_2026-03-13.csv,DYSPORT AESTHETIC,
CA_HPSC_shortage_2026-03-13.csv,ZYVOXAM,
CA_HPSC_shortage_2026-03-13.csv,DIPHENHYDRAMINE HYDROCHLORIDE ELIXIR USP,
CA_HPSC_shortage_2026-03-13.csv,PAXIL CR,
CA_HPSC_shortage_2026-03-13.csv,AURO-VALGANCICLOVIR,
CA_HPSC_shortage_2026-03-13.csv,APO-GAIN LIQ 20MG/ML,
CA_HPSC_shortage_2026-03-13.csv,GLN-URSODIOL,
CA_HPSC_shortage_2026-03-13.csv,BIAXIN,
CA_HPSC_shortage_2026-03-13.csv,APO-DILTIAZ CD,
CA_HPSC_shortage_2026-03-13.csv,CIPRO XL,
CA_HPSC_shortage_2026-03-13.csv,FORTAZ - INJ 1G/VIAL,
CA_HPSC_shortage_2026-03-13.csv,VIMOVO,
CA_HPSC_shortage_2026-03-13.csv,DEMULEN 30 (28 DAY PACK),
CA_HPSC_shortage_2026-03-13.csv,APO-MEDROXY,
CA_HPSC_shortage_2026-03-13.csv,LECTOPAM TAB 3MG,
CA_HPSC_shortage_2026-03-13.csv,APO-FENO-MICRO,
CA_HPSC_shortage_2026-03-13.csv,FENO-MICRO-200,
CA_HPSC_shortage_2026-03-13.csv,BETNESOL RETENTION ENEMA 5MG/100ML,
CA_HPSC_shortage_2026-03-13.csv,PRIMAXIN 500,
CA_HPSC_shortage_2026-03-13.csv,APO-NAPRO-NA DS TAB 550MG,
CA_HPSC_shortage_2026-03-13.csv,RUZURGI,
CA_HPSC_shortage_2026-03-13.csv,SPORANOX,
CA_HPSC_shortage_2026-03-13.csv,BETADERM ONT 0.05%,
CA_HPSC_shortage_2026-03-13.csv,VALIUM,
CA_HPSC_shortage_2026-03-13.csv,APO-PRAZO,
CA_HPSC_shortage_2026-03-13.csv,VOLTAREN OPHTHA,
CA_HPSC_shortage_2026-03-13.csv,DROSPIRENONE AND ETHINYL ESTRADIOL TABLETS USP 21,
CA_HPSC_shortage_2026-03-13.csv,AA-THEO LA,
CA_HPSC_shortage_2026-03-13.csv,PERGOVERIS,
CA_HPSC_shortage_2026-03-13.csv,ARTISS,
CA_HPSC_shortage_2026-03-13.csv,HYOSCINE BUTYLBROMIDE INJECTION SANDOZ STANDARD,
CA_HPSC_shortage_2026-03-13.csv,VEPESID,
CA_HPSC_shortage_2026-03-13.csv,Choletec,
CA_HPSC_shortage_2026-03-13.csv,ESME 21,
CA_HPSC_shortage_2026-03-13.csv,MAR-MYCOPHENOLIC ACID,
CA_HPSC_shortage_2026-03-13.csv,ANDRIOL,
CA_HPSC_shortage_2026-03-13.csv,PMS-ABACAVIR-LAMIVUDINE,
CA_HPSC_shortage_2026-03-13.csv,CHAMPIX,
CA_HPSC_shortage_2026-03-13.csv,DRAXIMAGE SESTAMIBI,
CA_HPSC_shortage_2026-03-13.csv,URSODIOL C,
CA_HPSC_shortage_2026-03-13.csv,STAXYN,
CA_HPSC_shortage_2026-03-13.csv,EVICEL,
CA_HPSC_shortage_2026-03-13.csv,MACROBID,
CA_HPSC_shortage_2026-03-13.csv,HYPURIN REGULAR INSULIN PORK,
CA_HPSC_shortage_2026-03-13.csv,PEDIATRIX,
CA_HPSC_shortage_2026-03-13.csv,APRI 28,
CA_HPSC_shortage_2026-03-13.csv,PURINETHOL,
CA_HPSC_shortage_2026-03-13.csv,CLAVULIN 200,
CA_HPSC_shortage_2026-03-13.csv,SOFRACORT,
CA_HPSC_shortage_2026-03-13.csv,ZERIT - CAP 30MG,
CA_HPSC_shortage_2026-03-13.csv,FAMVIR,
CA_HPSC_shortage_2026-03-13.csv,KIVEXA,
CA_HPSC_shortage_2026-03-13.csv,PMS-EFAVIRENZ-EMTRICITABINE-TENOFOVIR,
CA_HPSC_shortage_2026-03-13.csv,SHINGRIX,
CA_HPSC_shortage_2026-03-13.csv,BELKYRA,
CA_HPSC_shortage_2026-03-13.csv,VITAMIN K1 INJ 10MG/ML USP,
CA_HPSC_shortage_2026-03-13.csv,STATEX TAB 10MG,
CA_HPSC_shortage_2026-03-13.csv,MARCAINE 7.5 MG/ML,
CA_HPSC_shortage_2026-03-13.csv,!!T3RYTHMODAN,
CA_HPSC_shortage_2026-03-13.csv,XYLOCAINE JELLY 2%,
CA_HPSC_shortage_2026-03-13.csv,APO-CEPHALEX,
CA_HPSC_shortage_2026-03-13.csv,COACTIFED,
CA_HPSC_shortage_2026-03-13.csv,ERAXIS,
CA_HPSC_shortage_2026-03-13.csv,ALLERNIX EXTRA STRENGTH,
CA_HPSC_shortage_2026-03-13.csv,MIOSTAT OPHTHALMIC LIQ 0.01%,
CA_HPSC_shortage_2026-03-13.csv,EMLA CREAM,
CA_HPSC_shortage_2026-03-13.csv,MIRVALA 28,
CA_HPSC_shortage_2026-03-13.csv,DEXTROSE 5% INJECTION,
CA_HPSC_shortage_2026-03-13.csv,APO-NAPRO-NA DS,
CA_HPSC_shortage_2026-03-13.csv,APO-TIMOP OPH SOLN 0.25%,
CA_HPSC_shortage_2026-03-13.csv,TEVA-COTRIDIN,
CA_HPSC_shortage_2026-03-13.csv,CAVERJECT STERILE POWDER - KIT 23.2MCG/VIAL,
CA_HPSC_shortage_2026-03-13.csv,ENERZAIR BREEZHALER,
CA_HPSC_shortage_2026-03-13.csv,ODAN-SPOR,
CA_HPSC_shortage_2026-03-13.csv,REVIA,
CA_HPSC_shortage_2026-03-13.csv,ACID CONCENTRATE D12292,
CA_HPSC_shortage_2026-03-13.csv,MYLERAN,
CA_HPSC_shortage_2026-03-13.csv,LEDERLE LEUCOVORIN,
CA_HPSC_shortage_2026-03-13.csv,DEXTROSE INJECTION,
CA_HPSC_shortage_2026-03-13.csv,APO-AMOXI PWR FOR SUSP 125MG/5ML,
CA_HPSC_shortage_2026-03-13.csv,ARISTOCORT R,
CA_HPSC_shortage_2026-03-13.csv,PLAQUENIL,
CA_HPSC_shortage_2026-03-13.csv,ULTRAVIST 240,
CA_HPSC_shortage_2026-03-13.csv,"ACETAMINOPHEN, CAFFEINE & CODEINE",
CA_HPSC_shortage_2026-03-13.csv,RECOMBIVAX HB,
CA_HPSC_shortage_2026-03-13.csv,TEVA-CLOXACILLIN,
CA_HPSC_shortage_2026-03-13.csv,ARAVA,
CA_HPSC_shortage_2026-03-13.csv,FML,
CA_HPSC_shortage_2026-03-13.csv,BSS STERILE IRRIGATING SOLUTION,
CA_HPSC_shortage_2026-03-13.csv,APO SULFATRIM TAB,
CA_HPSC_shortage_2026-03-13.csv,RATIO-ECTOSONE MILD LOTION 0.05%,
CA_HPSC_shortage_2026-03-13.csv,APO-LOXAPINE,
CA_HPSC_shortage_2026-03-13.csv,ABILIFY,
CA_HPSC_shortage_2026-03-13.csv,ESTRADOT 75,
CA_HPSC_shortage_2026-03-13.csv,ADVAIR 250 DISKUS,
