country_code,country_name,source,medicine_name,active_substance,active_substance_lt,strength,dosage_form,atc_code,product_no,marketing_auth_holder,status,scraped_at,prk
LT,Lithuania,VVKT,Camimbo,Ramipril and diuretics,Ramiprilis/Indapamidas,"5 mg/1,5 mg",modifikuoto atpalaidavimo kietosios kapsulės,C09BA05,LT/1/26/5958/006,Egis Pharmaceuticals PLC,shortage,2026-07-23T11:41:58.342034,
LT,Lithuania,VVKT,Vaxigrip,"influenza, inactivated, split virus or surface antigen","A/Victoria/4897/2022 (H1N1)pdm09 panaši padermė (A/Victoria/4897/2022 IVR‐238)/A/Croatia/10136RV/2023 (H3N2) – panaši padermė (A/Croatia/10136RV/2023, X-425A)/B/Austria/1359417/2021 panaši padermė (B/Michigan/01/2021, laukinio tipo)",15 µg HA/15 µg HA/15 µg HA/dozėje,injekcinė suspensija užpildytame švirkšte,J07BB02,LT/1/25/5659/006,Sanofi Winthrop Industrie,shortage,2026-07-23T11:41:58.342037,
LT,Lithuania,VVKT,Vortioxetine Orion,Vortioxetine,Vortioksetinas,10 mg,plėvele dengtos tabletės,N06AX26,LT/1/26/6001/002,Orion Corporation,shortage,2026-07-23T11:41:58.342040,120766
LT,Lithuania,VVKT,Flixotide 125 Inhaler CFC – Free,Fluticasone,Flutikazonas,125 µg/dozėje,suslėgtoji įkvepiamoji suspensija,R03BA05,LT/L/23/1814/001,UAB Tojaris projektai,shortage,2026-07-23T11:41:58.342042,39063
LT,Lithuania,VVKT,Salmeterol/Fluticasone Neutec,Salmeterol and fluticasone,Salmeterolis/Flutikazono propionatas,50 µg/250 µg/dozėje,dozuoti įkvepiamieji milteliai,R03AK06,LT/L/20/1431/001,UAB Adeofarma,shortage,2026-07-23T11:41:58.342044,206342
LT,Lithuania,VVKT,Ticagrelor Teva,Ticagrelor,Tikagreloras,90 mg,plėvele dengtos tabletės,B01AC24,LT/1/23/5302/006,Teva B.V.,shortage,2026-07-23T11:41:58.342046,97446
LT,Lithuania,VVKT,Axitinib STADA,axitinib,Aksitinibas,7 mg,plėvele dengtos tabletės,L01EK01,LT/1/23/5149/008,STADA Arzneimittel AG,shortage,2026-07-23T11:41:58.342048,114650
LT,Lithuania,VVKT,Eribulin Zentiva,Eribulin,Eribulinas,"0,44 mg/ml",injekcinis tirpalas,L01XX41,LT/1/24/5368/002,Zentiva k.s.,shortage,2026-07-23T11:41:58.342051,98809
LT,Lithuania,VVKT,Lymerexo,Metformin and linagliptin,Linagliptinas/Metforminas,"2,5 mg/850 mg",plėvele dengtos tabletės,A10BD11,LT/1/26/6032/015,"KRKA, d.d., Novo mesto",shortage,2026-07-23T11:41:58.342053,102768
LT,Lithuania,VVKT,Mempoglyn,Metformin and empagliflozin,Empagliflozinas/Metformino hidrochloridas,5 mg/850 mg,plėvele dengtos tabletės,A10BD20,LT/1/26/6014/006,"KRKA, d.d., Novo mesto",shortage,2026-07-23T11:41:58.342055,128317
LT,Lithuania,VVKT,Torasemide Auxilia [Torasemide SANUS],Torasemide,Torazemidas,5 mg,tabletės,C03CA04,LT/1/25/5768/002,MB Sanus24,shortage,2026-07-23T11:41:58.342057,
LT,Lithuania,VVKT,Lorazepam SanoSwiss,Lorazepam,Lorazepamas,"2,5 mg",tabletės,N05BA06,LT/1/22/5098/006,UAB SanoSwiss,shortage,2026-07-23T11:41:58.342059,7587
LT,Lithuania,VVKT,Apixaban Sandoz,Apixaban,Apiksabanas,"2,5 mg",plėvele dengtos tabletės,B01AF02,LT/1/24/5574/005,Sandoz d.d.,shortage,2026-07-23T11:41:58.342061,99066
LT,Lithuania,VVKT,Ropivacaine hydrochloride Kabi,Ropivacaine,Ropivakaino hidrochloridas,"7,5 mg/ml",injekcinis tirpalas,N01BB09,LT/1/22/5005/003,Fresenius Kabi Polska Sp.z.o.o.,shortage,2026-07-23T11:41:58.342062,43567
LT,Lithuania,VVKT,Brexin,Piroxicam,Piroksikamas,20 mg,tabletės,M01AC01,LT/L/26/3409/001,UAB Ideal Trade Links,shortage,2026-07-23T11:41:58.342064,
LT,Lithuania,VVKT,Betadine,Povidone-iodine,"Povidonas, joduotas",200 mg,ovulės,G01AX11,LT/L/11/0065/002,"Lex ano, UAB",shortage,2026-07-23T11:41:58.342066,
LT,Lithuania,VVKT,Dapagliflozin Polpharma,Dapagliflozin,Dapagliflozinas,5 mg,plėvele dengtos tabletės,A10BK01,LT/1/23/5158/001,Zakłady Farmaceutyczne POLPHARMA S.A.,shortage,2026-07-23T11:41:58.342068,104760
LT,Lithuania,VVKT,Perindopril arginine/amlodipine/indapamide Krka,"Perindopril, amlodipine and indapamide",Perindoprilio argininas/Amlodipinas/Indapamidas,"7 mg/5 mg/2,5 mg",tabletės,C09BX01,LT/1/25/5729/006,"KRKA, d.d., Novo mesto",shortage,2026-07-23T11:41:58.342070,
LT,Lithuania,VVKT,Dimethyl fumarate MSN,Dimethyl fumarate,Dimetilfumaratas,120 mg,skrandyje neirios kietosios kapsulės,L04AX07,LT/1/24/5479/003,MSN Labs Europe Limited,shortage,2026-07-23T11:41:58.342072,117870
LT,Lithuania,VVKT,Dapagliflozin/Metformin Polpharma,Metformin and dapagliflozin,Dapagliflozinas/Metformino hidrochloridas,5 mg/1000 mg,plėvele dengtos tabletės,A10BD15,LT/1/24/5607/003,Pharmaceutical Works POLPHARMA S.A.,shortage,2026-07-23T11:41:58.342074,115533
LT,Lithuania,VVKT,Atorvastatin TevaPharm,Atorvastatin,Atorvastatinas,40 mg,plėvele dengtos tabletės,C10AA05,LT/1/24/5603/015,Teva B.V.,shortage,2026-07-23T11:41:58.342076,98620
LT,Lithuania,VVKT,Sugammadex Kalceks,Sugammadex,Sugamadeksas,100 mg/ml,injekcinis tirpalas,V03AB35,LT/1/23/5231/004,AS KALCEKS,shortage,2026-07-23T11:41:58.342078,197718
