country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,status,scraped_at,atc_code,prk
LV,Latvia,ZVA,Dexketoprofen Kalceks 50 mg/2 ml solution for injection/infusion,Dexketoprofenum,50 mg/2 ml,5 pcs,17-0265-02,2022-09-15,,shortage - end date unknown,2026-09-23T21:00:04.063713,M01AE17,55794
LV,Latvia,ZVA,Diaprel MR 60 mg modified-release tablets,Gliclazidum,60 mg,60 pcs,09-0536-09,2025-04-10,,leaving the market,2026-09-23T21:00:04.063747,A10BB09,141925
LV,Latvia,ZVA,Diazepeks 5 mg tabletes,Diazepamum,5 mg,250 pcs,94-0104-02,2021-03-08,,shortage - end date unknown,2026-09-23T21:00:04.063776,N05BA01,7447
LV,Latvia,ZVA,Differin 1 mg/g cream,Adapalenum,30 mg/30 g,1 pc,02-0040-01,2018-10-29,,shortage - end date unknown,2026-09-23T21:00:04.063805,D10AD03,79294
LV,Latvia,ZVA,Differin 1 mg/g gel,Adapalenum,30 mg/30 g,1 pc,02-0039-01,2021-03-30,,shortage - end date unknown,2026-09-23T21:00:04.063833,D10AD03,79294
LV,Latvia,ZVA,Dificlir,Fidaxomicinum,200 mg,20 pcs,EU/1/11/733/004,2017-03-27,,shortage - end date unknown,2026-09-23T21:00:04.063863,A07AA12,102466
LV,Latvia,ZVA,Digoxicor 0.5 mg/2 ml solution for injection/infusion,Digoxinum,"0,5 mg/2 ml",100 pcs,09-0526-02,2018-05-03,,shortage - end date unknown,2026-09-23T21:00:04.063893,C01AA05,1635
LV,Latvia,ZVA,Dimethyl fumarate MSN 240 mg gastro-resistant hard capsules,Dimethylis fumaras,240 mg,56 pcs,24-0166-01,2025-11-01,,leaving the market,2026-09-23T21:00:04.063927,L04AX03,
LV,Latvia,ZVA,Dimethyl fumarate Stada 120 mg gastro-resistant hard capsules,Dimethylis fumaras,120 mg,14 pcs,23-0035-01,2024-09-19,,shortage - end date unknown,2026-09-23T21:00:04.063957,L04AX03,
LV,Latvia,ZVA,Dimethyl fumarate Stada 240 mg gastro-resistant hard capsules,Dimethylis fumaras,240 mg,56 pcs,23-0036-03,2024-09-19,,shortage - end date unknown,2026-09-23T21:00:04.063987,L04AX03,
LV,Latvia,ZVA,"Diompraz 75 mg/20 mg modified release capsules, hard","Diclofenacum natricum, Omeprazolum",75 mg/20 mg,30 pcs,14-0270-04,2025-11-04,,shortage - end date unknown,2026-09-23T21:00:04.064017,,
LV,Latvia,ZVA,Divigel 1 mg/dose gel,Estradiolum,1 mg/1 g,91 pcs,I000432-01,2026-07-13,,shortage - end date unknown,2026-09-23T21:00:04.064045,G03CA03,
LV,Latvia,ZVA,Docetaxel Kabi,Docetaxelum,80 mg/4 ml,1 pc,EU/1/12/770/001,2022-12-31,,shortage - end date unknown,2026-09-23T21:00:04.064077,L01CD02,92894
LV,Latvia,ZVA,Docetaxel Kabi,Docetaxelum,20 mg/1 ml,1 pc,EU/1/12/770/005,2022-12-31,,shortage - end date unknown,2026-09-23T21:00:04.064107,L01CD02,92886
LV,Latvia,ZVA,Doreta 37.5 mg/325 mg film-coated tablets,"Tramadoli hydrochloridum, Paracetamolum","37,5 mg/325 mg",20 pcs,09-0320-02,2019-12-30,,shortage - end date unknown,2026-09-23T21:00:04.064137,,
LV,Latvia,ZVA,Doreta 75 mg/650 mg film-coated tablets,"Tramadoli hydrochloridum, Paracetamolum",75 mg/650 mg,60 pcs,12-0062-06,2019-12-30,,shortage - end date unknown,2026-09-23T21:00:04.064166,,
LV,Latvia,ZVA,Doreta 75 mg/650 mg film-coated tablets,"Tramadoli hydrochloridum, Paracetamolum",75 mg/650 mg,10 pcs,12-0062-01,2018-12-28,,shortage - end date unknown,2026-09-23T21:00:04.064195,,
LV,Latvia,ZVA,Doxalfa 4 mg prolonged-release tablets,Doxazosinum,4 mg,28 pcs,07-0031-03,2025-08-31,,leaving the market,2026-09-23T21:00:04.064228,C02CA04,53589
LV,Latvia,ZVA,Doxorubicin Accord 2 mg/ml concentrate for solution for infusion,Doxorubicini hydrochloridum,10 mg/5 ml,1 pc,10-0341-01,2023-11-20,,shortage - end date unknown,2026-09-23T21:00:04.064258,L01DB01,30694
LV,Latvia,ZVA,Doxycyclin STADA 100 mg tablets,Doxycyclinum,100 mg,10 pcs,95-0132-01,2025-12-01,2027-03-01,shortage,2026-09-23T21:00:04.064298,J01AA02,68438
LV,Latvia,ZVA,Dukoral,Vaccinum cholerae,1 deva,2 pcs,EU/1/03/263/002,2019-05-15,,shortage - end date unknown,2026-09-23T21:00:04.064329,J07BG01,
LV,Latvia,ZVA,"Dulsevia 30 mg gastro-resistant capsule, hard",Duloxetinum,30 mg,30 pcs,15-0068-05,2019-12-30,,shortage - end date unknown,2026-09-23T21:00:04.064358,N06AX21,79057
LV,Latvia,ZVA,Duofilm 167 mg/150 mg/g cutaneous solution,"Acidum salicylicum, Acidum lacticum",15 ml,1 pc,05-0545-01,2018-11-16,,shortage - end date unknown,2026-09-23T21:00:04.064386,,
LV,Latvia,ZVA,DuoTrav,"Travoprostum, Timololum","2,5 ml",1 pc,EU/1/06/338/001,2026-04-01,,leaving the market,2026-09-23T21:00:04.064418,,
LV,Latvia,ZVA,Dupixent,Dupilumabum,300 mg/2 ml,2 pcs,EU/1/17/1229/018,2026-01-07,,leaving the market,2026-09-23T21:00:04.064450,D11AH05,201529
LV,Latvia,ZVA,Duracef 250 mg/5 ml powder for oral suspension,Cefadroxilum,3000 mg/60 ml,1 pc,98-0863-01,2022-01-31,,shortage - end date unknown,2026-09-23T21:00:04.064647,J01DB05,5835
LV,Latvia,ZVA,Dutrozen 0.5 mg/0.4 mg hard capsules,"Dutasteridum, Tamsulosini hydrochloridum","0,5 mg/0,4 mg",30 pcs,19-0112-02,2025-08-20,,leaving the market,2026-09-23T21:00:04.064681,,
LV,Latvia,ZVA,Dutrozen 0.5 mg/0.4 mg hard capsules,"Dutasteridum, Tamsulosini hydrochloridum","0,5 mg/0,4 mg",90 pcs,19-0112-03,2025-01-27,,shortage - end date unknown,2026-09-23T21:00:04.064710,,
LV,Latvia,ZVA,Ecansya,Capecitabinum,500 mg,120 pcs,EU/1/12/763/018,2021-06-30,,shortage - end date unknown,2026-09-23T21:00:04.064739,L01BC06,
LV,Latvia,ZVA,Efavirenz/Emtricitabine/Tenofovir disoproxil Mylan,"Efavirenzum, Emtricitabinum, Tenofovirum disoproxilum",1 UD,30 pcs,EU/1/17/1222/001,2026-08-10,2026-09-30,shortage,2026-09-23T21:00:04.064779,,
LV,Latvia,ZVA,Elahere,Mirvetuximabum soravtansinum,100 mg/20 ml,1 pc,EU/1/24/1866/001,2025-03-10,,shortage - end date unknown,2026-09-23T21:00:04.064809,,
LV,Latvia,ZVA,Elenium 10 mg coated tablets,Chlordiazepoxidum,10 mg,50 pcs,96-0419-01,2025-06-06,,shortage - end date unknown,2026-09-23T21:00:04.064842,N05BA02,7455
LV,Latvia,ZVA,Eligard 7.5 mg powder and solvent for solution for injection,Leuprorelini acetas,"7,5 mg",1 pc,05-0198-03,2020-04-17,,shortage - end date unknown,2026-09-23T21:00:04.064876,L02AE02,78352
LV,Latvia,ZVA,Eliquis,Apixabanum,"2,5 mg",20 pcs,EU/1/11/691/002,2023-03-31,,shortage - end date unknown,2026-09-23T21:00:04.064907,B01AF02,99066
LV,Latvia,ZVA,Elonva,Corifollitropinum alfa,"100 µg/0,5 ml",1 pc,EU/1/09/609/001,2018-07-01,,shortage - end date unknown,2026-09-23T21:00:04.360117,,
LV,Latvia,ZVA,Elonva,Corifollitropinum alfa,"150 µg/0,5 ml",1 pc,EU/1/09/609/002,2018-07-01,,shortage - end date unknown,2026-09-23T21:00:04.360172,,
LV,Latvia,ZVA,Emend,Aprepitantum,1 UD,3 pcs,EU/1/03/262/006,2023-05-30,,shortage - end date unknown,2026-09-23T21:00:04.360207,A04AD12,
LV,Latvia,ZVA,Emla (2.5 + 2.5) % cream,"Prilocainum, Lidocainum",5 g,5 pcs,I000985-01,2026-03-25,2026-12-30,shortage,2026-09-23T21:00:04.360250,,
LV,Latvia,ZVA,Emla (2.5 + 2.5) % cream,"Prilocainum, Lidocainum",5 g,5 pcs,I000966-01,2025-01-01,,shortage - end date unknown,2026-09-23T21:00:04.360278,,
LV,Latvia,ZVA,Emtricitabine/Tenofovir disoproxil Krka,"Emtricitabinum, Tenofovirum disoproxilum",200 mg/245 mg,30 pcs,EU/1/16/1151/002,2018-06-26,,shortage - end date unknown,2026-09-23T21:00:04.360308,,
LV,Latvia,ZVA,Emtricitabine/Tenofovir disoproxil Krka d.d.,"Emtricitabinum, Tenofovirum disoproxilum",200 mg/245 mg,30 pcs,EU/1/17/1182/002,2018-06-26,,shortage - end date unknown,2026-09-23T21:00:04.360335,,
LV,Latvia,ZVA,Emtricitabine/Tenofovir disoproxil Mylan,"Emtricitabinum, Tenofovirum disoproxilum",200 mg/245 mg,30 pcs,EU/1/16/1133/001,2023-06-30,,shortage - end date unknown,2026-09-23T21:00:04.360360,,
LV,Latvia,ZVA,Emtricitabine/Tenofovir disoproxil Zentiva,"Emtricitabinum, Tenofovirum disoproxilum",200 mg/245 mg,30 pcs,EU/1/16/1148/001,2023-09-07,,shortage - end date unknown,2026-09-23T21:00:04.360387,,
LV,Latvia,ZVA,Emtriva,Emtricitabinum,200 mg,30 pcs,EU/1/03/261/001,2016-06-01,,shortage - end date unknown,2026-09-23T21:00:04.360413,J05AF09,
LV,Latvia,ZVA,Emtriva,Emtricitabinum,1700 mg/170 ml,1 pc,EU/1/03/261/003,2025-06-06,,shortage - end date unknown,2026-09-23T21:00:04.360438,J05AF09,
LV,Latvia,ZVA,Enap 10 mg tablets,Enalaprili maleas,10 mg,20 pcs,99-0669-01,2019-07-01,,shortage - end date unknown,2026-09-23T21:00:04.360462,C09AA02,21083
LV,Latvia,ZVA,Enap 20 mg tablets,Enalaprili maleas,20 mg,20 pcs,93-0520-01,2017-03-27,,shortage - end date unknown,2026-09-23T21:00:04.360488,C09AA02,21075
LV,Latvia,ZVA,Enap 5 mg tablets,Enalaprili maleas,5 mg,60 pcs,97-0574-02,2021-06-02,,shortage - end date unknown,2026-09-23T21:00:04.360515,C09AA02,23698
LV,Latvia,ZVA,Enap 5 mg tablets,Enalaprili maleas,5 mg,20 pcs,97-0574-01,2017-03-27,,shortage - end date unknown,2026-09-23T21:00:04.360540,C09AA02,23698
LV,Latvia,ZVA,Enap-HL 10 mg/12.5 mg tablets,"Enalaprili maleas, Hydrochlorothiazidum","10 mg/12,5 mg",20 pcs,97-0576-01,2019-07-01,,shortage - end date unknown,2026-09-23T21:00:04.360566,,
LV,Latvia,ZVA,Enarenal 20 mg tablets,Enalaprili maleas,20 mg,30 pcs,99-0080-02,2023-03-17,,shortage - end date unknown,2026-09-23T21:00:04.360593,C09AA02,21075
LV,Latvia,ZVA,Enarenal 5 mg tablets,Enalaprili maleas,5 mg,30 pcs,99-0079-02,2019-04-30,,shortage - end date unknown,2026-09-23T21:00:04.360619,C09AA02,23698
LV,Latvia,ZVA,Enbrel,Etanerceptum,10 mg/ml,4 pcs,EU/1/99/126/022,2022-10-01,,shortage - end date unknown,2026-09-23T21:00:04.360645,L04AB01,101141
LV,Latvia,ZVA,Enbrel,Etanerceptum,25 mg,4 pcs,EU/1/99/126/002,2017-04-12,,shortage - end date unknown,2026-09-23T21:00:04.360672,L04AB01,66125
