country_code,country_name,source,source_detail,medicine_name,active_substance,strength,dosage_form,package_size,product_no,atc_code,marketing_auth_holder,shortage_start,estimated_end,estimated_end_text,actual_end,status,severity,reason,last_updated,url,scraped_at
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Sulfadiazine silver (Flamazine®) 1% cream,,,cream,,MSN/2026/007,,,2026-02-10,,,,shortage,Tier 2 - medium impact,the global discontinuation (see supporting information),2026-02-10,https://cpe.org.uk/our-news/medicine-supply-notification-sulfadiazine-silver-flamazine-1-cream-2/,2026-09-22T14:33:41.049872
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Oxybutynin (Kentera® ) 3.9mg/24hours transdermal patches,,,transdermal patches,,MSN/2026/004,,,2026-01-28,,,,shortage,Tier 2 - medium impact,,2026-01-28,https://cpe.org.uk/our-news/medicine-supply-notification-oxybutynin-kentera-3-9mg-24hours-transdermal-patches/,2026-09-22T14:33:41.050422
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Buprenorphine/naloxone (Suboxone® ) 2mg/500microgram and 8mg/2mg sublingual tablets,,,tablets,,MSN/2026/002,,,2026-01-15,,,,shortage,Tier 2 - medium impact,,2026-01-15,https://cpe.org.uk/our-news/medicine-supply-notification-buprenorphine-naloxone-suboxone-2mg-500microgram-and-8mg-2mg-sublingual-tablets/,2026-09-22T14:33:41.051027
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Co-codamol 30mg/500mg tablets,,,tablets,,MSN/2026/001,,,2026-01-12,,early June 2026,,shortage,Tier 3 - high impact,,2026-01-12,https://cpe.org.uk/our-news/medicine-supply-notification-co-codamol-30mg-500mg-tablets/,2026-09-22T14:33:41.168637
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Hypurin® Porcine 30/70 Mix (insulin isophane biphasic porcine) 100units/ml suspension for injection 3ml cartridges,,,injection,,MSN/2025/073,,,2025-12-29,,February 2026,,shortage,Tier 2 - medium impact,,2025-12-29,https://cpe.org.uk/our-news/medicine-supply-notification-hypurin-porcine-30-70-mix-insulin-isophane-biphasic-porcine-100units-ml-suspension-for-injection-3ml-cartridges/,2026-09-22T14:33:41.169528
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Genotropin® (somatropin) 5.3 mg and 12 mg powder and solvent for solution for injection,,,solution for injection,,MSN/2025/072,,,2025-12-23,,,,shortage,Tier 2 - medium impact,,2025-12-23,https://cpe.org.uk/our-news/medicine-supply-notification-genotropin-somatropin-5-3-mg-and-12-mg-powder-and-solvent-for-solution-for-injection/,2026-09-22T14:33:41.170233
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),"Diamorphine 5mg, 10mg and 100mg powder for solution for injection ampoules",,,powder for solution for injection,,MSN/2025/071,,,2025-12-23,,,,shortage,Tier 3 - high impact,,2025-12-23,https://cpe.org.uk/our-news/medicine-supply-notification-diamorphine-5mg-10mg-and-100mg-powder-for-solution-for-injection-ampoules/,2026-09-22T14:33:41.170999
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Clonidine (Catapres®) 100microgram tablets,,,tablets,,MSN/2025/070,,,2025-12-23,,,,shortage,Tier 2 - medium impact,,2025-12-23,https://cpe.org.uk/our-news/medicine-supply-notification-clonidine-catapres-100microgram-tablets/,2026-09-22T14:33:41.172271
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Latanoprost 50micrograms/ml / Timolol 5mg/ml (Fixapost® ) eye drops 0.2ml unit dose preservative free,,,eye drops,,MSN/2025/069,,,2025-12-19,,early February 2026,,shortage,Tier 2 - medium impact,,2025-12-19,https://cpe.org.uk/our-news/medicine-supply-notification-latanoprost-50micrograms-ml-timolol-5mg-ml-fixapost-eye-drops-0-2ml-unit-dose-preservative-free/,2026-09-22T14:33:41.173115
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Nifedipine (Adipine® XL) 30mg and 60mg modified-release tablets,,,modified-release tablets,,MSN/2025/068,,,2025-12-19,,the end of January 2026,,shortage,Tier 2 - medium impact,,2025-12-19,https://cpe.org.uk/our-news/medicine-supply-notification-nifedipine-adipine-xl-30mg-and-60mg-modified-release-tablets/,2026-09-22T14:33:41.173845
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Tresiba® (insulin degludec) FlexTouch® 100units/ml solution for injection 3ml prefilled pens,,,solution for injection,,MSN/2023/053,,,2025-12-10,,,,shortage,Tier 2 - medium impact,,2025-12-15,https://cpe.org.uk/our-news/medicine-supply-notification-tresiba-insulin-degludec-flextouch-100units-ml-solution-for-injection-3ml-prefilled-pens-updated/,2026-09-22T14:33:41.174545
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Fiasp® FlexTouch® (insulin aspart) 100units/ml solution for injection 3ml pre-filled pens,,,solution for injection,,MSN/2024/027,,,2024-03-04,,January 2025,,shortage,Tier 2 - medium impact,,2025-12-15,https://cpe.org.uk/our-news/medicine-supply-notification-fiasp-flextouch-insulin-aspart-100units-ml-solution-for-injection-3ml-pre-filled-pens/,2026-09-22T14:33:41.308546
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Nifedipine (Fortipine® LA) 40mg modified-release tablets,,,modified-release tablets,,MSN/2025/064,,,2025-12-08,,,,shortage,Tier 2 - medium impact,,2025-12-09,https://cpe.org.uk/our-news/medicine-supply-notification-nifedipine-fortipine-la-40mg-modified-release-tablets/,2026-09-22T14:33:41.309070
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Ibandronic acid 150mg tablets,,,tablets,,,,,2025-11-17,,March 2026,,shortage,Tier 2 - medium impact,,2025-11-17,https://cpe.org.uk/our-news/medicine-supply-notification-ibandronic-acid-150mg-tablets/,2026-09-22T14:33:41.309466
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Antimicrobial Agents Used in Tuberculosis (TB) Treatment,,,,,MSN/2025/058,,,2025-10-23,,,,shortage,Tier 3 - high impact,,2025-10-23,https://cpe.org.uk/our-news/medicine-supply-notification-antimicrobial-agents-used-in-tuberculosis-tb-treatment/,2026-09-22T14:33:41.310149
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Amiodarone 100mg and 200mg tablets,,,tablets,,MSN/2025/056,,,2025-10-20,,,,shortage,Tier 2 - medium impact,,2025-10-20,https://cpe.org.uk/our-news/medicine-supply-notification-amiodarone-100mg-and-200mg-tablets/,2026-09-22T14:33:41.311026
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Mometasone (Asmanex Twisthaler®) 200micrograms/dose dry powder and 400micrograms/dose dry powder inhalers,,,inhaler,,MSN/2025/057,,,2025-10-20,,,,shortage,Tier 2 - medium impact,,2025-10-20,https://cpe.org.uk/our-news/medicine-supply-notification-mometasone-asmanex-twisthaler-200micrograms-dose-dry-powder-and-400micrograms-dose-dry-powder-inhalers/,2026-09-22T14:33:41.311485
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Dalivit® Oral Drops,,,,,MSN/2025/055,,,2025-10-15,,,,shortage,Tier 2 - medium impact,,2025-10-15,https://cpe.org.uk/our-news/medicine-supply-notification-dalivit-oral-drops/,2026-09-22T14:33:41.311924
