country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,last_updated,status,scraped_at,atc_code,prk
FR,France,ANSM,"Kaleorid LP 600 mg et 1000 mg, comprimés à libération prolongée",potassium (chlorure de),,,,,,2026-09-11,shortage,2026-09-21T13:18:24.759822,A12BA01,2313
FR,France,ANSM,"Tofranil 10 mg, comprimé enrobé",imipramine,,,,,,2026-09-11,supply tension,2026-09-21T13:18:24.759836,N06AA02,227420
FR,France,ANSM,"Néosynéphrine 10 % Faure, collyre en récipient unidose",phényléphrine,,,,,,2026-09-11,supply tension,2026-09-21T13:18:24.759850,C01CA24,
FR,France,ANSM,"Kétoprofène Pharmy II 100 mg/2 ml, solution injectable intramusculaire (I.M.)",kétoprofène,,,,,2026-09-11,2026-09-11,resolved,2026-09-21T13:18:24.759866,M01AE02,
FR,France,ANSM,Ambrisentan-Volibris tous dosages,ambrisentan,,,,,,2026-09-11,supply tension,2026-09-21T13:18:24.759879,C02KX02,86797
FR,France,ANSM,"Indocollyre 0,1 %, collyre en solution",indométacine,,,,,,2026-09-11,supply tension,2026-09-21T13:18:24.759891,M01AC01,
FR,France,ANSM,"Emblaveo 1,5 g/0,5 g, poudre pour solution à diluer pour perfusion","avibactam sodique, aztréonam",,,,,,2026-09-10,shortage,2026-09-21T13:18:24.759904,,
FR,France,ANSM,"Prevymis 120 mg, granulés en sachet",létermovir,,,,,,2026-09-09,supply tension,2026-09-21T13:18:24.759917,J05AX18,
FR,France,ANSM,"Tadalafil Quiver 20 mg, comprimé pelliculé",tadalafil,,,,,2026-09-08,2026-09-09,resolved,2026-09-21T13:18:24.759933,G04BE08,68241
FR,France,ANSM,"M-M-RvaxPro poudre et solvant pour suspension injectable en seringue préremplie.Vaccin rougeoleux, des oreillons, et rubéoleux (vivant)","virus de la rougeole, virus de la rubéole, virus des oreillons",,,,,,2026-09-09,supply tension,2026-09-21T13:18:24.759947,,
FR,France,ANSM,"Folinate de calcium, solution injectable/pour perfusion",folinate de calcium,,,,,,2026-09-08,supply tension,2026-09-21T13:18:24.759959,B03BA01,
FR,France,ANSM,"Dépakote 250 mg, comprimé gastro-résistant",valproate semisodique,,,,,2026-09-08,2026-09-08,resolved,2026-09-21T13:18:24.759976,N03AG01,
FR,France,ANSM,"Atropine 1% Faure, collyre en solution en récipient unidose",atropine (sulfate d'),,,,,,2026-09-07,supply tension,2026-09-21T13:18:24.759988,S01FA01,216399
FR,France,ANSM,"Chlorhydrate d'oxybuprocaïne Thea 1,6 mg/0,4 ml, collyre en récipient unidose – Boites de 20 unidoses et boites de 100 unidoses",chlorhydrate d'oxybuprocaïne,,,,,,2026-09-07,supply tension,2026-09-21T13:18:24.760002,N01BA03,
FR,France,ANSM,"Tenormine 5 mg/10 ml, solution injectable IV en ampoule",aténolol,,,,,,2026-09-07,supply tension,2026-09-21T13:18:24.760014,C07AB03,
FR,France,ANSM,"Linézolide 600 mg, comprimé pelliculé",linezolide,,,,,,2026-09-07,supply tension,2026-09-21T13:18:24.760026,J01XX08,60186
FR,France,ANSM,"Clindamycine 600 mg/4ml, solution injectable",clindamycine (phosphate de),,,,,,2026-09-07,supply tension,2026-09-21T13:18:24.760038,J01FF01,4707
FR,France,ANSM,"Nilemdo 180 mg, comprimé pelliculé",bempédoïque (acide),,,,,,2026-09-07,supply tension,2026-09-21T13:18:24.760051,C10AX14,
FR,France,ANSM,Spécialités à base de fluoxétine 20 mg en gélule et en comprimé dispersible sécable,fluoxétine,,,,,,2026-09-04,supply tension,2026-09-21T13:18:24.760064,N06AB03,
FR,France,ANSM,"Tuberculine PPD RT 23 AJV 2T.U. / 0,1 mL, solution injectable",tuberculine PPD RT 23,,,,,,2026-09-04,supply tension,2026-09-21T13:18:24.760077,,
FR,France,ANSM,"Téralithe 250 mg, comprimé sécable",lithium (carbonate de),,,,,2026-09-02,2026-09-02,resolved,2026-09-21T13:18:24.760093,D11AX04,
FR,France,ANSM,"Varilrix, poudre et solvant pour solution injectable en seringue préremplie. Vaccin varicelleux (vivant)","virus de la varicelle souche Oka (vivant, atténué) ((mammifères/humain/cellules diploïdes MRC-5))",,,,,2026-09-02,2026-09-02,resolved,2026-09-21T13:18:24.760110,,
FR,France,ANSM,"Divalcote 250 mg, comprimé gastro-résistant",valproate semisodique,,,,,2026-08-31,2026-09-02,resolved,2026-09-21T13:18:24.760127,N03AG01,
FR,France,ANSM,"Divalcote 500 mg, comprimé gastro-résistant",valproate semisodique,,,,,2026-09-01,2026-09-02,resolved,2026-09-21T13:18:24.760144,N03AG01,4812
FR,France,ANSM,"Velbe 10 mg, poudre pour solution injectable I.V.",vinblastine (sulfate de),,,,,,2026-09-02,supply tension,2026-09-21T13:18:24.760156,L01CA01,37028
FR,France,ANSM,"Nexviadyme 100 mg, poudre pour solution à diluer pour perfusion",avalglucosidase alfa,,,,,,2026-09-01,shortage,2026-09-21T13:18:24.760168,A16AB22,230979
FR,France,ANSM,"Zeffix 5 mg/ml, solution buvable",lamivudine,,,,,2026-09-01,2026-09-01,resolved,2026-09-21T13:18:24.760184,J05AF05,56162
FR,France,ANSM,"Xarelto 1 mg/mL, granulés pour supension buvable, flacon de 250 ml",rivaroxaban,,,,,,2026-08-31,supply tension,2026-09-21T13:18:24.760197,B01AF01,209872
FR,France,ANSM,"Prostine E2 1 mg/3 g, gel vaginal",dinoprostone,,,,,2026-08-19,2026-08-31,resolved,2026-09-21T13:18:24.760214,G02AD02,32301
FR,France,ANSM,"Tildiem 25 mg, poudre et solution pour préparation injectable I.V.",diltiazem (chlorhydrate de),,,,,2026-08-28,2026-08-28,resolved,2026-09-21T13:18:24.760231,C05AE03,
FR,France,ANSM,"Méthylprednisolone Viatris 500 mg, poudre pour solution injectable (IM-IV)",méthylprednisolone (hydrogénosuccinate de),,,,,2026-08-28,2026-08-28,resolved,2026-09-21T13:18:24.760249,H02AB04,26050
FR,France,ANSM,"Zypadhera 210 mg, poudre et solvant pour suspension injectable à libération prolongée",olanzapine (pamoate d') monohydraté,,,,,,2026-08-28,supply tension,2026-09-21T13:18:24.760262,N05AH03,90190
FR,France,ANSM,"Amikacine Viatris 50 mg/1 ml, solution injectable",amikacine (sulfate d'),,,,,2026-08-28,2026-08-28,resolved,2026-09-21T13:18:24.760277,J01GB06,
FR,France,ANSM,"Visudyne 15 mg, poudre pour solution pour perfusion",vertéporfine,,,,,,2026-08-27,supply tension,2026-09-21T13:18:24.760290,S01LA01,58963
FR,France,ANSM,"Eskazole 400 mg, comprimé",albendazole,,,,,,2026-08-27,shortage,2026-09-21T13:18:24.760302,P02CA03,35300
FR,France,ANSM,"Vitamine B12 Delagrange 1000 µg/2 ml, solution injectable (IM) et buvable",cyanocobalamine,,,,,,2026-08-26,supply tension,2026-09-21T13:18:24.760315,B03BA01,
FR,France,ANSM,"Vitamine E Provepharm 100 mg/2 ml, solution injectable",acétate d'alpha-tocophérol,,,,,,2026-08-25,supply tension,2026-09-21T13:18:24.760328,A11HA01,
FR,France,ANSM,"Calciparine sous-cutanée 20 000 UI/0,8 ml, solution injectable",héparine calcique,,,,,,2026-08-25,supply tension,2026-09-21T13:18:24.760341,B01AB01,
FR,France,ANSM,"Lactate de sodium AP-HP 11,2 % (m/V) solution pour perfusion",lactate de sodium,,,,,2025-07-25,2026-08-25,resolved,2026-09-21T13:18:24.760357,,
FR,France,ANSM,"Oncovin 1 mg, solution injectable",vincristine (sulfate de),,,,,,2026-08-25,supply tension,2026-09-21T13:18:24.760369,L01CA02,24120
FR,France,ANSM,"Victan 2 mg, comprimé pelliculé sécable",loflazépate d'éthyle,,,,,,2026-08-25,shortage,2026-09-21T13:18:24.760381,N05BA06,
FR,France,ANSM,"Clomid 50 mg, comprimé",clomifène (citrate de),,,,,,2026-08-25,shortage,2026-09-21T13:18:24.760393,G03GB02,1538
FR,France,ANSM,"Méthylphénidate EG LP 18 mg, comprimé à libération prolongée",méthylphénidate (chlorhydrate de),,,,,2026-08-24,2026-08-24,resolved,2026-09-21T13:18:24.760410,N06BA04,68004
FR,France,ANSM,"Tobi Podhaler 28 mg, poudre pour inhalation en gélule",tobramycine,,,,,2026-08-24,2026-08-24,resolved,2026-09-21T13:18:24.760426,J01GB01,98248
FR,France,ANSM,"Bicafres 1000 mg, comprimé gastro-résistant",sodium (bicarbonate de),,,,,,2026-08-24,shortage,2026-09-21T13:18:24.760439,A12BA01,
FR,France,ANSM,"Dilantin 250 mg/5 ml, solution injectable",phénytoïne sodique,,,,,2026-08-21,2026-08-21,resolved,2026-09-21T13:18:24.760455,N03AB02,33561
FR,France,ANSM,"Primaquine Sanofi 15 mg, comprimé pelliculé, flacon de 100 comprimés avec kit de reconditionnement",primaquine (diphosphate de),,,,,2026-08-21,2026-08-21,resolved,2026-09-21T13:18:24.760472,P01BA03,85650
FR,France,ANSM,"Lamictal 2 mg, comprimé dispersible ou à croquer",lamotrigine,,,,,,2026-08-20,supply tension,2026-09-21T13:18:24.760484,N03AX09,125091
FR,France,ANSM,"Héparine calcique Panpharma 25 000 UI/mL, solution injectable en seringue pré-remplie de 0,2 ml  (S.C.)",héparine calcique,,,,,2026-08-19,2026-08-20,resolved,2026-09-21T13:18:24.760502,B01AB01,
FR,France,ANSM,"Repevax, suspension injectable en seringue préremplie. Vaccin diphtérique, tétanique, coquelucheux (acellulaire, multicomposé) et poliomyélitique (inactivé), (adsorbé, à teneur réduite en antigène(s))",,,,,,2026-08-03,2026-08-17,resolved,2026-09-21T13:18:24.760521,,
FR,France,ANSM,"Mynocine 100 mg, gélule",minocycline (chlorhydrate de),,,,,2026-08-17,2026-08-17,resolved,2026-09-21T13:18:24.760537,A01AB23,
FR,France,ANSM,"Méthylprednisolone Hikma 500 mg, poudre pour solution injectable",méthylprednisolone (hydrogénosuccinate sodique de),,,,,2026-08-13,2026-08-13,resolved,2026-09-21T13:18:24.760553,H02AB04,26050
FR,France,ANSM,"Nitrendipine Viatris 10 mg, comprimé et Nitrendipine Viatris 20 mg, comprimé sécable - [nitrendipine]",,,,,,,2026-08-13,supply tension,2026-09-21T13:18:24.760566,,
FR,France,ANSM,"Lévofolinate de calcium Zentiva 10 mg/ml et 25 mg/2,5 ml, solution injectable (IM/IV)",calcium (lévofolinate de) hydraté,,,,,,2026-08-13,supply tension,2026-09-21T13:18:24.760580,A12BA01,
FR,France,ANSM,"Rifadine 300 mg, gélule (boites de 30 et de 8 gélules)",rifampicine,,,,,2026-07-20,2026-08-11,resolved,2026-09-21T13:18:24.760595,J04AB02,7064
FR,France,ANSM,"Dexocol 1 mg/mL, collyre en solution",dexaméthasone (phosphate sodique de),,,,,,2026-08-10,supply tension,2026-09-21T13:18:24.760608,H02AB02,
FR,France,ANSM,"Betneval 0,1 %, crème",bétaméthasone (valérate de),,,,,,2026-08-10,supply tension,2026-09-21T13:18:24.760620,H02AB01,
FR,France,ANSM,"Dobutamine Panpharma 250 mg/20 ml, solution à diluer pour perfusion",dobutamine (chlorhydrate de),,,,,,2026-08-10,supply tension,2026-09-21T13:18:24.760632,C01CA07,45241
FR,France,ANSM,"Névirapine Teva LP 400 mg, comprimé à libération prolongée",névirapine,,,,,,2026-08-07,discontinued,2026-09-21T13:18:24.760645,J05AG01,99015
FR,France,ANSM,"Repatha 140 mg, solution injectable en stylo prérempli",evolocumab,,,,,,2026-08-07,supply tension,2026-09-21T13:18:24.760658,C10AX13,129682
FR,France,ANSM,"Ansatipine 150 mg, gélule",rifabutine,,,,,,2026-08-06,supply tension,2026-09-21T13:18:24.760670,J04AB04,43060
FR,France,ANSM,"Rapibloc 20 mg/2 ml, solution à diluer injectable",landiolol (chlorhydrate de),,,,,2026-08-05,2026-08-06,resolved,2026-09-21T13:18:24.760686,C07AB14,161497
FR,France,ANSM,"Alyostal venin de guêpe polistes 110 microgrammes et 550 microgrammes, poudre et solvant pour solution injectable",guêpe polistes (venin de),,,,,,2026-08-05,discontinued,2026-09-21T13:18:24.760700,,
FR,France,ANSM,"Burinex 1 mg et 5 mg, comprimé",bumétanide,,,,,2026-08-05,2026-08-05,resolved,2026-09-21T13:18:24.760716,C03CA02,
FR,France,ANSM,"Concerta LP, comprimé à libération prolongée",méthylphénidate (chlorhydrate de),,,,,,2026-08-05,supply tension,2026-09-21T13:18:24.760729,N06BA04,
FR,France,ANSM,"Néosynéphrine 2,5 % Faure, collyre en solution en récipient unidose",phényléphrine,,,,,,2026-08-05,supply tension,2026-09-21T13:18:24.760742,C01CA24,
FR,France,ANSM,"Ixiaro, suspension injectable. Vaccin de l'encéphalite japonaise (inactivé, adsorbé) - [virus de l'encéphalite japonaise inactivé, souche SA(14)-14-2 ((mammifère/singe/cellules vero))]",,,,,,,2026-07-31,supply tension,2026-09-21T13:18:24.760756,,
FR,France,ANSM,"Befizal L.P. 400 mg, comprimé enrobé à libération prolongée",bézafibrate,,,,,,2026-07-31,supply tension,2026-09-21T13:18:24.760769,C10AB02,43435
FR,France,ANSM,"Tibéral 1 g, solution injectable pour perfusion",ornidazole,,,,,,2026-07-31,shortage,2026-09-21T13:18:24.760781,G01AF06,
FR,France,ANSM,"Azactam 1 g, poudre et solution pour usage parentéral",aztréonam,,,,,,2026-07-30,shortage,2026-09-21T13:18:24.760793,J01DF01,
FR,France,ANSM,"Lantus 100 unités/ ml, solution injectable en cartouche - [insuline glargine ((bactérie/escherichia coli))]",,,,,,,2026-07-29,supply tension,2026-09-21T13:18:24.760806,,
FR,France,ANSM,"Recarbrio 500 mg/500 mg/250 mg, poudre pour solution pour perfusion","cilastatine sodique, imipénem monohydraté, rélébactam monohydraté",,,,,2026-07-29,2026-07-29,resolved,2026-09-21T13:18:24.760822,,
FR,France,ANSM,"Kenacort Retard 40 mg/1 ml, suspension injectable",triamcinolone (acétonide de),,,,,,2026-07-29,supply tension,2026-09-21T13:18:24.760835,A01AC01,74209
FR,France,ANSM,"Rythmol 300 mg, comprimé pelliculé sécable",propafénone (chlorhydrate de),,,,,,2026-07-28,supply tension,2026-09-21T13:18:24.760847,C01BC03,
FR,France,ANSM,"Ropinirole Teva 0,25 mg, 0,50 mg 1 mg et 2 mg, comprimés pelliculés",ropinirole,,,,,,2026-07-28,supply tension,2026-09-21T13:18:24.760860,N04BC04,
FR,France,ANSM,"Glimezit 1000 mg, comprimé effervescent",metformine (chlorhydrate de),,,,,,2026-07-27,supply tension,2026-09-21T13:18:24.760872,A10BA02,
FR,France,ANSM,"Natulan 50 mg, gélule",procarbazine (chlorhydrate de),,,,,,2026-07-27,supply tension,2026-09-21T13:18:24.760884,L01XB01,1899
FR,France,ANSM,"Moviprep orange, poudre pour solution buvable","acide ascorbique, ascorbate de sodium, macrogol 3350, potassium (chlorure de), sodium (chlorure de), sodium (sulfate de) anhydre",,,,,,2026-07-24,supply tension,2026-09-21T13:18:24.760897,,
FR,France,ANSM,"Moviprep, poudre pour solution buvable","acide ascorbique, ascorbate de sodium, macrogol 3350, potassium (chlorure de), sodium (chlorure de), sodium (sulfate de) anhydre",,,,,,2026-07-24,supply tension,2026-09-21T13:18:24.760910,,
FR,France,ANSM,"Holoxan 1000 mg, poudre pour solution injectable et 2000 mg, poudre pour usage parentéral",ifosfamide,,,,,,2026-07-24,supply tension,2026-09-21T13:18:24.760922,L01AA06,14818
FR,France,ANSM,"Synacthène 0,25 mg/1 ml, solution injectable",tétracosactide,,,,,2026-07-22,2026-07-24,resolved,2026-09-21T13:18:24.760938,H01AA02,
FR,France,ANSM,"Bosentan 125 mg, comprimé pelliculé",bosentan monohydraté,,,,,,2026-07-24,supply tension,2026-09-21T13:18:24.760950,C02KX01,67377
FR,France,ANSM,"Colchimax, comprimé pelliculé sécable","colchicine, opium (poudre d'), tiémonium (métilsulfate de)",,,,,,2026-07-22,supply tension,2026-09-21T13:18:24.760962,,
FR,France,ANSM,"Fluoresceine Faure 0,5%, collyre en solution en récipient unidose",fluorescéine sodique,,,,,,2026-07-21,supply tension,2026-09-21T13:18:24.760975,S01JA01,
FR,France,ANSM,"Clomipramine Viatris 25 mg, comprimé pelliculé",clomipramine (chlorhydrate de),,,,,,2026-07-20,supply tension,2026-09-21T13:18:24.760987,N06AA04,38873
FR,France,ANSM,"Toujeo 300 unités/ml SoloStar, solution injectable en stylo prérempli",insuline glargine ((bactérie/Escherichia Coli)),,,,,,2026-07-20,supply tension,2026-09-21T13:18:24.761000,,
FR,France,ANSM,"Tranxène 20 mg, gélule",clorazépate dipotassique,,,,,,2026-07-17,supply tension,2026-09-21T13:18:24.761012,N05BA02,
FR,France,ANSM,"Vitamine A Provepharm 100 000 U.I./2 ml, solution injectable (I.M.)",palmitate de rétinol,,,,,2026-07-17,2026-07-17,resolved,2026-09-21T13:18:24.761029,,
FR,France,ANSM,"Synarel 0,2 mg/dose, solution pour pulvérisation nasale",nafaréline (acétate de),,,,,2026-07-17,2026-07-17,resolved,2026-09-21T13:18:24.761045,H01CA02,
FR,France,ANSM,"Wilfactin 100 UI/mL, poudre et solvant pour solution injectable",facteur Willebrand de coagulation humain,,,,,,2026-07-16,supply tension,2026-09-21T13:18:24.761058,,
FR,France,ANSM,"Quinimax 500 mg, comprimé pelliculé sécable",inchonidine (monochlorhydrate de) monohydraté/cinchonine (chlorhydrate de) dihydraté/quinidine (chlorhydrate de) monohydraté/quinine (chlorhydrate de),,,,,2026-07-16,2026-07-16,resolved,2026-09-21T13:18:24.761074,,
FR,France,ANSM,"Quinimax 125 mg, comprimé pelliculé sécable",cinchonidine (monochlorhydrate de) monohydraté/cinchonine (chlorhydrate de) dihydraté/quinidine (chlorhydrate de) monohydraté/quinine (chlorhydrate de),,,,,2026-06-10,2026-07-16,resolved,2026-09-21T13:18:24.761091,,
FR,France,ANSM,"Levocarnil 1 g/5 ml, solution injectable en ampoule",lévocarnitine,,,,,2026-07-15,2026-07-16,resolved,2026-09-21T13:18:24.761107,A16AA01,23345
FR,France,ANSM,"Lariam 250 mg, comprimé sécable",méfloquine,,,,,,2026-07-15,supply tension,2026-09-21T13:18:24.761119,P01BF01,59331
FR,France,ANSM,"Imbruvica 560 mg, comprimé pelliculé",ibrutinib,,,,,2026-07-15,2026-07-15,resolved,2026-09-21T13:18:24.761134,L01EL01,200530
FR,France,ANSM,"Zentel 400 mg, comprimé et Zentel 0,4 g/10 mL, suspension buvable",albendazole,,,,,,2026-07-09,supply tension,2026-09-21T13:18:24.761145,P02CA03,35300
FR,France,ANSM,"Oracilline 250 000 UI/5 ml, suspension buvable",benzathine phénoxyméthylpénicilline,,,,,,2026-07-08,shortage,2026-09-21T13:18:24.761157,J01CE10,
FR,France,ANSM,"Rifater, comprimé enrobé","isoniazide, pyrazinamid, rifampicine",,,,,2026-06-30,2026-07-07,resolved,2026-09-21T13:18:24.761172,,
FR,France,ANSM,"Micropakine L.P. 250 mg, granulés à libération prolongée en sachet-dose - [acide valproïque, sodium (valproate de)]",,,,,,2026-07-07,2026-07-07,resolved,2026-09-21T13:18:24.761187,,
FR,France,ANSM,"Verkazia 1 mg/mL, collyre en émulsion",ciclosporine,,,,,,2026-07-07,supply tension,2026-09-21T13:18:24.761199,S01XA18,216461
FR,France,ANSM,"Micropakine L.P. 500 mg, granulés à libération prolongée en sachet-dose - [acide valproïque, sodium (valproate de)]",,,,,,,2026-07-07,supply tension,2026-09-21T13:18:24.761210,,
FR,France,ANSM,"Micropakine L.P. 1000 mg, granulés à libération prolongée en sachet-dose - [acide valproïque, sodium (valproate de)]",,,,,,2026-05-01,2026-07-07,resolved,2026-09-21T13:18:24.761226,,
FR,France,ANSM,"Megace 160 mg, comprimé",mégestrol (acétate de),,,,,2026-07-03,2026-07-06,resolved,2026-09-21T13:18:24.761240,G03AC05,
FR,France,ANSM,"Xarelto 1 mg/mL, granulés pour supension buvable, flacon de 100 ml",rivaroxaban,,,,,2026-07-03,2026-07-06,resolved,2026-09-21T13:18:24.761255,B01AF01,209872
FR,France,ANSM,"Gluconate Glucoheptonate de Calcium AP-HP, solution à diluer pour perfusion",gluconate glucoheptonate de calcium,,,,,2026-07-06,2026-07-06,resolved,2026-09-21T13:18:24.761270,,
FR,France,ANSM,"Vinorelbine Arrow 10 mg/mL, solution à diluer pour perfusion",vinorelbine (tartrate de),,,,,,2026-07-06,shortage,2026-09-21T13:18:24.761282,L01CA04,
FR,France,ANSM,"Métoprolol Sandoz 50 mg, comprimé",métoprolol (tartrate de),,,,,,2026-07-03,supply tension,2026-09-21T13:18:24.761293,C07AB02,3158
FR,France,ANSM,"Lamaline, suppositoire","caféine, opium (extrait sec d'), paracétamol",,,,,2026-07-02,2026-07-03,resolved,2026-09-21T13:18:24.761308,,
FR,France,ANSM,Coli-genta AP-HP 135 mg – 100 mg gélule adulte,colistine ; gentamicine,,,,,,2026-07-02,shortage,2026-09-21T13:18:24.761320,,
FR,France,ANSM,"Colchicine Opocalcium 1 mg, comprimé sécable","colchicine, opium (poudre d'), tiémonium (métilsulfate de)",,,,,,2026-06-30,supply tension,2026-09-21T13:18:24.761331,,
FR,France,ANSM,"Célestène 4 mg/1 ml, solution injectable",bétaméthasone (phosphate sodique de),,,,,,2026-06-29,supply tension,2026-09-21T13:18:24.761343,H02AB01,
FR,France,ANSM,"Zophren 2 mg/ml, solution injectable en ampoule (IV)",ondansétron,,,,,,2026-06-26,supply tension,2026-09-21T13:18:24.761354,A04AA01,31526
FR,France,ANSM,"Emend 125 mg, poudre pour suspension buvable",aprépitant,,,,,,2026-06-25,supply tension,2026-09-21T13:18:24.761365,A04AD12,
FR,France,ANSM,"Quasym L.P., gélule à libération modifiée - [méthylphénidate]",,,,,,,2026-06-24,supply tension,2026-09-21T13:18:24.761377,,
FR,France,ANSM,"Zypadhera 300 mg, poudre et solvant pour suspension injectable à libération prolongée - [olanzapine (pamoate d') monohydraté]",,,,,,2026-06-24,2026-06-24,resolved,2026-09-21T13:18:24.761392,,
FR,France,ANSM,"Zyvoxid 100 mg/5 ml, granulés pour suspension buvable",linézolide,,,,,2026-06-24,2026-06-24,resolved,2026-09-21T13:18:24.761407,J01XX08,
FR,France,ANSM,"Rifinah 300 mg/150 mg, comprimé enrobé","isoniazide, rifampicine",,,,,,2026-06-22,supply tension,2026-09-21T13:18:24.761418,,
FR,France,ANSM,"Cardioxane 500 mg, poudre pour solution pour perfusion",dexrazoxane (chlorhydrate de),,,,,2026-06-18,2026-06-19,resolved,2026-09-21T13:18:24.761434,V03AF02,82090
FR,France,ANSM,"Voltarenophtabak 1 mg/ml, collyre en solution et Voltarenophta 0,1 pour cent (0,3 mg/0,3 ml), collyre en solution en récipient unidose",diclofénac sodique,,,,,,2026-06-18,supply tension,2026-09-21T13:18:24.761446,S01BC03,219770
FR,France,ANSM,Trandolapril 2 mg et 4 mg,trandolapril,,,,,,2026-06-18,supply tension,2026-09-21T13:18:24.761457,C09AA10,
