country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,status,reason,notes,scraped_at,atc_code,prk
ES,Spain,AEMPS,"VALSARTAN HIDROCLOROTIAZIDA VIATRIS 160 MG/25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos","VALSARTAN, HIDROCLOROTIAZIDA",,,693586,2026-04-21,,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.031845,,
ES,Spain,AEMPS,"ACIDO ACETILSALICILICO KERN PHARMA 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG, 500 comprimidos",ACETILSALICILICO ACIDO,,,605913,2026-04-20,,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.031851,B01AC06,
ES,Spain,AEMPS,"GLIMEPIRIDA NORMON 2 mg COMPRIMIDOS EFG, 120 comprimidos",GLIMEPIRIDA,,,653746,2026-04-20,2027-02-15,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.031861,A10BB12,44431
ES,Spain,AEMPS,"DONEPEZILO FLAS VIATRIS PHARMACEUTICALS 5 MG COMPRIMIDOS BUCODISPERSABLES EFG, 28 comprimidos",DONEPEZILO HIDROCLORURO,,,681266,2026-04-17,2027-01-11,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.031870,N06DA02,106550
ES,Spain,AEMPS,"GABAPENTINA TEVA 100 mg CAPSULAS DURAS EFG , 90 cápsulas",GABAPENTINA,,,672391,2026-04-17,,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.031874,N02BF01,52817
ES,Spain,AEMPS,"RISPERIDONA VIATRIS 6 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 30 comprimidos",RISPERIDONA,,,694930,2026-04-17,2027-05-07,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.031884,N05AX08,51381
ES,Spain,AEMPS,"ROCOZ PROLONG 50 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG, 60 comprimidos",QUETIAPINA FUMARATO,,,723384,2026-04-17,,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.031888,N05AH04,84182
ES,Spain,AEMPS,"CARMUSTINA ACCORDPHARMA 300 MG POLVO Y DISOLVENTE PARA CONCENTRADO PARA SOLUCION PARA PERFUSION, 1 vial polvo + 1 vial de disolvente de 9 ml",CARMUSTINA,,,758135,2026-04-15,,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.031893,L01AD01,37788
ES,Spain,AEMPS,"MIRTAZAPINA FLAS VIATRIS 15 MG COMPRIMIDOS BUCODISPERSABLES EFG, 30 comprimidos",MIRTAZAPINA,,,659506,2026-04-15,2026-10-09,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.031902,N06AX11,
ES,Spain,AEMPS,"ESCITALOPRAM VISO FARMACEUTICA 15 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG , 28 comprimidos (Al/Al)",ESCITALOPRAM OXALATO,,,686854,2026-04-14,2026-11-30,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.031911,N06AB10,85081
ES,Spain,AEMPS,"ESCITALOPRAM VISO FARMACEUTICA 15 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,56 comprimidos",ESCITALOPRAM OXALATO,,,711007,2026-04-14,2026-11-30,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.031919,N06AB10,85081
ES,Spain,AEMPS,"EZETIMIBA/SIMVASTATINA VIATRIS 10 MG/40 MG COMPRIMIDOS EFG, 28 comprimidos","SIMVASTATINA, EZETIMIBA",,,708597,2026-04-13,2026-10-23,shortage,Cese de comercialización temporal,Existe/n otro/s medicamento/s con los mismos principios activos y para la misma vía de administración.,2026-09-23T20:59:43.031927,,
ES,Spain,AEMPS,"GALANTAMINA COMBIX 24 MG CAPSULAS DURAS DE LIBERACION PROLONGADA EFG , 28 cápsulas",GALANTAMINA HIDROBROMURO,,,696758,2026-04-10,2026-10-31,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.031937,N06DA01,
