country_code,country_name,source,medicine_name,active_substance,strength,package_size,atc_code,product_no,shortage_start,estimated_end,status,reason,notes,scraped_at
IT,Italy,AIFA,FROBEN RAFFREDDORE,OXIMETAZOLINA CLORIDRATO,""" 0,05 % SPRAY NASALE, SOLUZIONE "" FLACONE DA 15 ML",,,37899010,2024-10-14,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.216113
IT,Italy,AIFA,FULVESTRANT DR. REDDY'S,FULVESTRANT,"""250 MG SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA"" 2 SIRINGHE PRERIEMPITE DA 5 ML+ 2 AGHI",,L02BA03,45435029,2025-05-07,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.216113
IT,Italy,AIFA,FULVESTRANT EG,FULVESTRANT,"""250 MG SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA"" 2 SIRINGHE PRERIEMPITE + 2 AGHI STERILI IPODERMICI",,L02BA03,47859020,2024-08-01,,shortage - end date unknown,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.216113
IT,Italy,AIFA,FULVESTRANT MYLAN,FULVESTRANT,250 MG - SOLUZIONE PER INIEZIONE - USO INTRAMUSCOLARE - SIRINGA PRE-RIEMPITA (VETRO) - 5 ML (50 MG/ML) - 2 SIRINGHE PRE-RIEMPITE + 2 AGHI DI SICUREZZA,,L02BA03,45924026,2026-05-01,,shortage - end date unknown,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.216113
IT,Italy,AIFA,FULVESTRANT SANDOZ,FULVESTRANT,"""250 MG SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA"" 2 SIRINGHE PRERIEMPITE IN VETRO DA 5 ML CON AGO STERILE",,L02BA03,43687021,2023-01-09,,shortage - end date unknown,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.216113
IT,Italy,AIFA,FULVESTRANT ZENTIVA,FULVESTRANT,"""250 MG SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA"" 2 SIRINGHE PRERIEMPITE IN VETRO DA 5 ML CON 2 AGHI DI SICUREZZA",,L02BA03,48121026,2025-08-30,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.216113
IT,Italy,AIFA,FUROSEMIDE AUROBINDO,FUROSEMIDE,"""25 MG COMPRESSE"" 30 COMPRESSE IN BLISTER PVC/AL",,C03CA01,46015018,2026-03-12,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.216113
IT,Italy,AIFA,FUROSEMIDE FISIOPHARMA,FUROSEMIDE,"""20 MG/2 ML SOLUZIONE INIETTABILE"" 10 FIALE",,C03CA01,31422025,2025-10-10,,shortage - end date unknown,Motivi commerciali: forniture discontinue,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.216113
IT,Italy,AIFA,FUROSEMIDE HEXAL,FUROSEMIDE,"""250 MG/25 ML SOLUZIONE PER INFUSIONE"" 5 FIALE DA 25 ML",,C03CA01,32898025,2021-11-01,,shortage - end date unknown,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.216113
IT,Italy,AIFA,FUROSEMIDE HEXAL,FUROSEMIDE,"""20 MG/2 ML SOLUZIONE INIETTABILE"" 5 FIALE DA 2 ML",,C03CA01,32898037,2021-06-11,,shortage - end date unknown,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.216113
IT,Italy,AIFA,FUSICUTANBETA,BETAMETASONE,"""20 MG/G + 1 MG/G CREMA"" 1 TUBO IN AL DA 60 G",,,45358049,2026-03-19,2026-04-25,shortage,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.216113
IT,Italy,AIFA,GABAPENTIN AUROBINDO,GABAPENTINA,""" 400 MG CAPSULE RIGIDE "" 30 CAPSULE IN BLISTER PA/AL/PVC/AL",,N02BF01,40566198,2026-05-06,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.216113
IT,Italy,AIFA,GABAPENTIN MYLAN GENERICS,GABAPENTIN,"""100 MG CAPSULE RIGIDE"" 50 CAPSULE IN BLISTER PVC/ALU",,N02BF01,36607048,2024-04-01,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.216113
IT,Italy,AIFA,GABAPENTIN MYLAN GENERICS,GABAPENTIN,"""300 MG CAPSULE RIGIDE"" 50 CAPSULE IN BLISTER PVC/ALU",,N02BF01,36607125,2026-02-19,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.216113
IT,Italy,AIFA,GABAPENTIN MYLAN GENERICS,GABAPENTIN,"""400 MG CAPSULE RIGIDE"" 30 CAPSULE IN BLISTER PVC/ALU",,N02BF01,36607190,2026-04-15,,shortage - end date unknown,Elevata richiesta/problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.216113
IT,Italy,AIFA,GABAPENTIN PENSA,GABAPENTINA,""" 400 MG CAPSULE RIGIDE "" 30 CAPSULE",,N02BF01,36190039,2026-03-01,2026-09-30,shortage,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.216113
IT,Italy,AIFA,GABAPENTIN PENSA,GABAPENTINA,""" 100 MG CAPSULE RIGIDE"" 50 CAPSULE",,N02BF01,36190015,2026-02-01,2026-03-31,shortage,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.216113
IT,Italy,AIFA,GABAPENTIN PENSA,GABAPENTINA,""" 300 MG CAPSULE RIGIDE "" 50 CAPSULE",,N02BF01,36190027,2025-08-04,2026-06-30,shortage,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.216113
IT,Italy,AIFA,GABAPENTIN TEVA PHARMA,GABAPENTINA,"""400 MG CAPSULE RIGIDE"" 30 CAPSULE IN BLISTER PVC/AL",,N02BF01,36698468,2025-12-09,2026-02-13,resolved,Elevata richiesta (carenza relativa solo al canale ospedaliero),Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.216113
IT,Italy,AIFA,GABAPENTIN TEVA PHARMA,GABAPENTINA,"""100 MG CAPSULE RIGIDE"" 50 CAPSULE IN BLISTER PVC/AL",,N02BF01,36698037,2026-01-30,,shortage - end date unknown,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.216113
