country_code,country_name,source,medicine_name,atc_code,active_substance,dosage_form,strength,marketing_auth_holder,status,detail_url,scraped_at,prk
EE,Estonia,RAVIMIAMET,DOXYCYCLIN STADA,J01AA02,doksütsükliin,tablett,100mg,Stada Arzneimittel AG,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=06213273-8259-4b42-8e0e-14e0f41f9e35,2026-09-21T16:19:38.878734,68438
EE,Estonia,RAVIMIAMET,DUTASTERIDE ELVIM,G04CB02,dutasteriid,pehmekapsel,"0,5mg",SIA Elvim,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=7dae0f7b-3894-49cd-9e44-e230a328674e,2026-09-21T16:19:38.878752,68195
EE,Estonia,RAVIMIAMET,DUTRYS,G04CB02,dutasteriid,pehmekapsel,"0,5mg","KRKA, d.d., Novo mesto",shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=f7dcff39-e35b-4f5c-b847-f0b717e51891,2026-09-21T16:19:38.878770,68195
EE,Estonia,RAVIMIAMET,EDOXABAN TEVA,B01AF03,edoksabaan,õhukese polümeerikattega tablett,60mg,Teva GmbH,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=a35e70b5-cfac-4773-8a4a-fde91d5aa4ce,2026-09-21T16:19:38.878788,128201
EE,Estonia,RAVIMIAMET,EFFENTORA,N02AB03,fentanüül,bukaaltablett,200mcg,Phoenix Labs Unlimited Company,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=a7d32f5e-869a-4268-8318-487a9a8d0029,2026-09-21T16:19:38.878807,96199
EE,Estonia,RAVIMIAMET,ELOCOM,D07AC13,mometasoon,nahalahus,1mg 1g,Lex Ano UAB,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=0b9d1b7c-da3d-4473-9367-2bcbdf01fa01,2026-09-21T16:19:38.878826,46914
EE,Estonia,RAVIMIAMET,ELOCON,D07AC13,mometasoon,nahalahus,1mg 1g,Organon N.V.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=b440c06e-3a47-4ada-9913-464ca417729f,2026-09-21T16:19:38.878848,46914
EE,Estonia,RAVIMIAMET,ELONTRIL,N06AX12,bupropioon,toimeainet modifitseeritult vabastav tablett,300mg,GlaxoSmithKline Trading Services Limited,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=119c9782-5288-4c02-9568-e533db413d26,2026-09-21T16:19:38.878866,82899
EE,Estonia,RAVIMIAMET,ENCEPUR CHILDREN,J07BA01,"puukentsefaliidi koguviirus, inaktiveeritud",süstesuspensioon süstlis,"0,75mcg 0.25ml",Bavarian Nordic A/S,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=5cd6fdf9-a903-4610-8e64-aad00752326b,2026-09-21T16:19:38.878884,
EE,Estonia,RAVIMIAMET,ENDOXAN,L01AA01,tsüklofosfamiid,süstelahuse pulber,1g,OÜ Baxter Estonia,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=0a9c3f52-56f6-4545-bdf7-f1e1816b73f2,2026-09-21T16:19:38.878902,5053
