country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,status,decision_reference,scraped_at,atc_code,prk
NL,Netherlands,IGJ,Mycobutin,Mycobutin,Capsules 150 mg,,RVG 16740,2026-05-08,2026-09-27,shortage,Besluit met kenmerk 2026-31965546/IT2112707,2026-09-21T13:27:28.997074,,
NL,Netherlands,IGJ,Oxybutynine,Oxybutynine,"Tabletten, 2,5 mg",,RVG 24081RVG 22822,2026-02-23,2026-04-03,shortage,Besluit met kenmerk 2026-3158991/IT2111788,2026-09-21T13:27:28.997118,G04BD04,40118
NL,Netherlands,IGJ,Oxybutynine,Oxybutynine,"Tabletten, 5 mg",,RVG 23879RVG 22823RVG 23950,2026-02-23,2026-06-19,shortage,Besluit met kenmerk 2026-3172636/IT2111788,2026-09-21T13:27:28.997159,G04BD04,24279
NL,Netherlands,IGJ,Oxytocine Eureco-Pharma,Oxytocine Eureco-Pharma,"Oplossing voor injectie/infusie, 5 IE/ml",,RVG 126825/117498,2025-09-30,2026-03-31,shortage,Besluit met kenmerk 2025-3131283/IT2110127,2026-09-21T13:27:28.997198,,
NL,Netherlands,IGJ,Quetiapine,Quetiapine,"50 mg, tabletten met verlengde afgifte",,RVG 112014RVG  128088RVG 108482RVG 117554RVG 34625,2025-12-08,2026-02-01,shortage,Besluit met kenmerk 2025-3145685/IT2111042,2026-09-21T13:27:28.997242,N05AH04,84182
NL,Netherlands,IGJ,Quetiapine,Quetiapine,"50 mg, tabletten met verlengde afgifte",,RVG 112014RVG  128088RVG 108482RVG 117554RVG 34625,2026-02-27,2026-07-12,shortage,Besluit met kenmerk 2026-3167823/IT2111963,2026-09-21T13:27:28.997288,N05AH04,84182
NL,Netherlands,IGJ,Quetiapine,Quetiapine,"150 mg, tabletten met verlengde afgifte",,RVG 102408RVG 111319RVG 117555RVG 117395RVG 128090,2026-12-12,2026-07-12,shortage,Besluit met kenmerk 2026-3167848/IT2111145,2026-09-21T13:27:28.997330,N05AH04,94757
NL,Netherlands,IGJ,Quetiapine,Quetiapine,"200 mg, tabletten met verlengde afgifte",,RVG 34626RVG 108501RVG 106811RVG 117556RVG 128091,2025-12-12,2026-02-01,shortage,Besluit met kenmerk 2025-3147038/IT2111146,2026-09-21T13:27:28.997373,N05AH04,84190
NL,Netherlands,IGJ,Salbutamol,Salbutamol,"Aerosol, 100 microgram/dosis",,RVG 21440RVG 18353RVG 26971RVG 34424RVG 26833,2025-09-09,2026-06-26,shortage,Besluit met kenmerk 2026-3176899/IT2092641,2026-09-21T13:27:28.997418,R03AC02,43281
NL,Netherlands,IGJ,Sirdalud,Sirdalud,"Capsules met gereguleerde afgifte, 6 mg",,RVG 12983,2025-09-09,2026-01-31,shortage,Besluit met kenmerk 2025-3125738/ IT2109836,2026-09-21T13:27:28.997462,,
NL,Netherlands,IGJ,Tambocor,Tambocor,Injectievloeistof 10 mg/ml,,RVG 10099,2025-09-09,2026-01-16,shortage,Besluit met kenmerk 2025-3141398/IT2094597,2026-09-21T13:27:28.997501,,
NL,Netherlands,IGJ,"Ventolin 2,5 Nebules",Ventolin,"Verneveloplossing, 1 mg/ml",,RVG 12587,2025-09-09,2026-03-31,shortage,Besluit met kenmerk 2026-3152017/IT2090197,2026-09-21T13:27:28.997539,,
NL,Netherlands,IGJ,Xylocaine,Xylocaine,"Spray, 100 mg/ml",,RVG 07831,2025-10-27,2026-01-23,shortage,Besluit met kenmerk 2025-3136692/IT2110402,2026-09-21T13:27:28.997577,,
NL,Netherlands,IGJ,Dalacin C,Dalacin C,"Granulaat voor orale suspensie, 75 mg/5 ml",,RVG 06354,2025-09-09,2025-10-17,shortage,Besluit met kenmerk 2025-3124733/IT2092657,2026-09-21T13:27:28.997647,,
NL,Netherlands,IGJ,Burinex,Burinex,"Oplossing voor injectie, 0,5 mg/ml",,RVG 12412,2025-09-09,2025-10-27,shortage,Besluit met kenmerk 2025-3126532/IT2109874,2026-09-21T13:27:28.997685,,
NL,Netherlands,IGJ,Gonasi,Gonasi,"Poeder en oplosmiddel voor oplossing voor injectie, 5000 IE",,RVG 125838,2025-09-09,2025-11-17,shortage,Besluit met kenmerk 2025-3132622/ IT2109835,2026-09-21T13:27:28.997725,,
NL,Netherlands,IGJ,"Ventolin  5,0 Nebules",Ventolin,"Verneveloplossing,   2 mg/ml",,RVG 14590,2025-09-09,2025-11-07,shortage,Besluit met kenmerk 2025-3124805/IT2090197,2026-09-21T13:27:28.997763,,
NL,Netherlands,IGJ,Salamol Steri-Neb,Salamol Steri-Neb,"Verneveloplossing, 5 mg/2,5ml",,RVG 100333,2025-09-09,2025-11-07,shortage,Besluit met kenmerk 2025-3124805/IT2090197,2026-09-21T13:27:28.997803,,
NL,Netherlands,IGJ,Haloperidol,Haloperidol,"Tabletten, 5 mg",,RVG 55601,,2025-11-23,shortage,Besluit met kenmerk 2025-3125657/IT2109820,2026-09-21T13:27:28.997841,N05AD01,5576
NL,Netherlands,IGJ,Zypadhera,Zypadhera,"Poeder en oplosmiddel voor suspensie voor injectie, met verlengde afgifte 210 mg, 300 mg en 405 mg",,EU/1/08/479,2025-09-09,2025-12-02,shortage,Besluit met kenmerk 2025-3124885/IT2097844,2026-09-21T13:27:28.997882,,
