country_code,country_name,source,medicine_name,active_substance,strength,dosage_form,package_size,package_description,atc_code,marketing_auth_holder,reporter,status,reason,parallel_export_ban,legal_basis,healthcare_notice,basg_note,shortage_start,estimated_end,scraped_at
AT,Austria,BASG,ParkAkut 500 mg Filmtabletten,MEFENAMINSÄURE,500 mg,Filmtablette,30 Stück,30 Aluminium/PVC-PVdC – Blisterpackungen,M01AG01,"Genericon Pharma Ges.m.b.H., Hafnerstraße 211, 8054 Graz, Österreich","Genericon Pharma Ges.m.b.H., Hafnerstraße 211, 8054 Graz, Österreich",Nicht verfügbar,Regulatorische Änderungen,Nein,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-03-13T22:11:16.202749
AT,Austria,BASG,ParkAkut 500 mg Filmtabletten,MEFENAMINSÄURE,500 mg,Filmtablette,10 Stück,10 Aluminium/PVC-PVdC – Blisterpackungen,M01AG01,"Genericon Pharma Ges.m.b.H., Hafnerstraße 211, 8054 Graz, Österreich","Genericon Pharma Ges.m.b.H., Hafnerstraße 211, 8054 Graz, Österreich",Nicht verfügbar,Regulatorische Änderungen,Nein,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-03-13T22:11:16.202749
AT,Austria,BASG,Eporatio 30.000 I.E./1 ml Injektionslösung in Fertigspritze,EPOETIN THETA,30.000 I.E./1 ml,Injektionslösung,4 Stück,4 Fertigspritzen,B03XA01,"Ratiopharm GmbH, Graf-Arco-Straße 3, 89079 Ulm, Federal Republic of Germany","Ratiopharm GmbH, Graf-Arco-Straße 3, 89079 Ulm, Federal Republic of Germany",Nicht verfügbar,Verzögerung bei der Herstellung,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-03-13T22:11:16.202749
AT,Austria,BASG,Hypnomidate - Ampullen,ETOMIDAT,,Injektionslösung,5 Stück,5 x 10 ml,N01AX07,"Piramal Critical Care B.V., Rouboslaan 32, 2252 TR Voorschoten, Niederlande","Piramal Critical Care B.V., Rouboslaan 32, 2252 TR Voorschoten, Niederlande",Nicht verfügbar,Kapazitätsengpässe bei der Herstellung,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-03-13T22:11:16.202749
AT,Austria,BASG,"Uratens 30 mg Hartkapsel, retadiert",URAPIDIL,30 mg,"Hartkapsel, retardiert",60 Stück,Flasche aus Polypropylen mit Polyethylen-Verschluss mit Trockenmittel.,C02CA06,"Stragen Nordic A/S, Industrivej 24f, 3550 Slangerup, Kingdom of Denmark","Stragen Nordic A/S, Industrivej 24f, 3550 Slangerup, Kingdom of Denmark",Nicht verfügbar,Vorübergehende Einstellung des Inverkehrbringens,Nein,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-03-13T22:11:16.202749
AT,Austria,BASG,"Uratens 30 mg Hartkapsel, retadiert",URAPIDIL,30 mg,"Hartkapsel, retardiert",30 Stück,Flasche aus Polypropylen mit Polyethylen-Verschluss mit Trockenmittel.,C02CA06,"Stragen Nordic A/S, Industrivej 24f, 3550 Slangerup, Kingdom of Denmark","Stragen Nordic A/S, Industrivej 24f, 3550 Slangerup, Kingdom of Denmark",Nicht verfügbar,Vorübergehende Einstellung des Inverkehrbringens,Nein,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-03-13T22:11:16.202749
AT,Austria,BASG,Kreon micro Granulat,PANKREAS(EXTRAKT),,magensaftresistentes Granulat,20 g,20 g Granulat in Glasflasche,A09AA02,"Viatris Austria GmbH, Guglgasse 15, 1110 Wien, Österreich","Viatris Austria GmbH, Guglgasse 15, 1110 Wien, Österreich",eingeschränkt verfügbar,Erhöhter Mehrbedarf,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-03-13T22:11:16.202749
AT,Austria,BASG,"Tamsulosin Krka 0,4 mg Retardtabletten",TAMSULOSIN HYDROCHLORID,"0,4 mg",Retardtablette,30 Stück,30 Stück (PVC/PVDC/Al-Blisterpackung),G04CA02,"KRKA d.d. Novo Mesto, Smarjeska Cesta 6, 8501 Novo Mesto, Slowenien","KRKA d.d. Novo Mesto, Smarjeska Cesta 6, 8501 Novo Mesto, Slowenien",Nicht verfügbar,Verzögerung bei der Herstellung,Nein,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-03-13T22:11:16.202749
AT,Austria,BASG,"Tamsulosin Krka 0,4 mg Retardtabletten",TAMSULOSIN HYDROCHLORID,"0,4 mg",Retardtablette,10 Stück,10 Stück (PVC/PVDC/Al-Blisterpackung),G04CA02,"KRKA d.d. Novo Mesto, Smarjeska Cesta 6, 8501 Novo Mesto, Slowenien","KRKA d.d. Novo Mesto, Smarjeska Cesta 6, 8501 Novo Mesto, Slowenien",Nicht verfügbar,Verzögerung bei der Herstellung,Nein,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-03-13T22:11:16.202749
AT,Austria,BASG,Octagam 100 mg/ml Infusionslösung,IMMUNGLOBULIN,100 mg/ml,Infusionslösung,1 Stück,1 Durchstechflasche mit 20 ml,J06BA02,"Octapharma Pharmazeutika Produktionsgesellschaft m.b.H., Oberlaaer Straße 235, 1100 Wien, Österreich","BASG, Oberlaaer Straße 235, 1100 Wien, Österreich",verfügbar gemäß §4 (1),Verknappung des Wirkstoffes,Ja,§4 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,"Es handelt sich hierbei um ein Verfahren gemäß § 4 Abs. 1 der Verordnung über die Sicherstellung der Arzneimittelversorgung. Der Bedarf der Patientinnen und Patienten im Inland kann mit dieser Arzneispezialität nicht gedeckt werden, obwohl nach Angaben des Zulassungsinhabers keine Einschränkung der Vertriebsfähigkeit vorliegt.",,,2026-03-13T22:11:16.202749
AT,Austria,BASG,Octagam 100 mg/ml Infusionslösung,IMMUNGLOBULIN,100 mg/ml,Infusionslösung,1 Stück,1 Infusionsflasche mit 50 ml,J06BA02,"Octapharma Pharmazeutika Produktionsgesellschaft m.b.H., Oberlaaer Straße 235, 1100 Wien, Österreich","BASG, Oberlaaer Straße 235, 1100 Wien, Österreich",verfügbar gemäß §4 (1),Verknappung des Wirkstoffes,Ja,§4 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,"Es handelt sich hierbei um ein Verfahren gemäß § 4 Abs. 1 der Verordnung über die Sicherstellung der Arzneimittelversorgung. Der Bedarf der Patientinnen und Patienten im Inland kann mit dieser Arzneispezialität nicht gedeckt werden, obwohl nach Angaben des Zulassungsinhabers keine Einschränkung der Vertriebsfähigkeit vorliegt.",,,2026-03-13T22:11:16.202749
AT,Austria,BASG,Octagam 100 mg/ml Infusionslösung,IMMUNGLOBULIN,100 mg/ml,Infusionslösung,1 Stück,1 Infusionsflasche mit 200 ml,J06BA02,"Octapharma Pharmazeutika Produktionsgesellschaft m.b.H., Oberlaaer Straße 235, 1100 Wien, Österreich","BASG, Oberlaaer Straße 235, 1100 Wien, Österreich",verfügbar gemäß §4 (1),Verknappung des Wirkstoffes,Ja,§4 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,"Es handelt sich hierbei um ein Verfahren gemäß § 4 Abs. 1 der Verordnung über die Sicherstellung der Arzneimittelversorgung. Der Bedarf der Patientinnen und Patienten im Inland kann mit dieser Arzneispezialität nicht gedeckt werden, obwohl nach Angaben des Zulassungsinhabers keine Einschränkung der Vertriebsfähigkeit vorliegt.",,,2026-03-13T22:11:16.202749
AT,Austria,BASG,Octagam 100 mg/ml Infusionslösung,IMMUNGLOBULIN,100 mg/ml,Infusionslösung,1 Stück,1 Infusionsflasche mit 100 ml,J06BA02,"Octapharma Pharmazeutika Produktionsgesellschaft m.b.H., Oberlaaer Straße 235, 1100 Wien, Österreich","BASG, Oberlaaer Straße 235, 1100 Wien, Österreich",verfügbar gemäß §4 (1),Verknappung des Wirkstoffes,Ja,§4 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,"Es handelt sich hierbei um ein Verfahren gemäß § 4 Abs. 1 der Verordnung über die Sicherstellung der Arzneimittelversorgung. Der Bedarf der Patientinnen und Patienten im Inland kann mit dieser Arzneispezialität nicht gedeckt werden, obwohl nach Angaben des Zulassungsinhabers keine Einschränkung der Vertriebsfähigkeit vorliegt.",,,2026-03-13T22:11:16.202749
AT,Austria,BASG,Acetolyt - Granulat,"CITRONENSÄURE, NATRIUMCITRAT, CALCIUMCITRAT",,Granulat zur Herstellung einer Lösung zum Einnehmen,300 g,Kunststoffdose,A02AC10,"Medicopharm GmbH, Elisabethstraße 13/1/10, 1010 Wien, Österreich","Medicopharm GmbH, Elisabethstraße 13/1/10, 1010 Wien, Österreich",Nicht verfügbar,Verzögerung bei der Herstellung,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Geplant,,,,2026-03-13T22:11:16.202749
AT,Austria,BASG,Temodal 180 mg Hartkapseln,TEMOZOLOMID,180 mg,Hartkapsel,5 Stück,(LDPE/Alu/PET),L01AX03,"Merck Sharp & Dohme B.V., Waarderweg 39, 2031 BN Haarlem, Niederlande","Merck Sharp & Dohme B.V., Waarderweg 39, 2031 BN Haarlem, Niederlande",Nicht verfügbar,Qualitätsprobleme der Bulkware,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-03-13T22:11:16.202749
AT,Austria,BASG,Temodal 180 mg Hartkapseln,TEMOZOLOMID,180 mg,Hartkapsel,20 Stück,(LDPE/Alu/PET),L01AX03,"Merck Sharp & Dohme B.V., Waarderweg 39, 2031 BN Haarlem, Niederlande","Merck Sharp & Dohme B.V., Waarderweg 39, 2031 BN Haarlem, Niederlande",Nicht verfügbar,Qualitätsprobleme der Bulkware,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-03-13T22:11:16.202749
AT,Austria,BASG,Votubia 3 mg Tabletten zur Herstellung einer Suspension zum Einnehmen,EVEROLIMUS,3 mg,Tablette zur Herstellung einer Suspension zum Einnehmen,30 Stück,30 Stück in Blisterpackung (Alu/PA/Alu/PVC),L01EG02,"Novartis Europharm Limited, Vista Building Elmpark Merrion Road -, D04 A9N6 Dublin 4, Irland","Novartis Europharm Limited, Vista Building Elmpark Merrion Road -, D04 A9N6 Dublin 4, Irland",eingeschränkt verfügbar,Erhöhter Mehrbedarf,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-03-13T22:11:16.202749
