country_code,country_name,source,medicine_name,active_substance,strength,package_size,dosage_form,atc_code,marketing_auth_holder,product_no,company_name,registration_number,manufacturer,status,source_status,disruption_type,reason,shortage_start,estimated_end,last_updated,mitigation_prh,mitigation_npra,alternatives,scraped_at,prk
MY,Malaysia,NPRA,Zeteze-SM TABLETS 10+40 mg,Ezetemibe / Simvastatin,10mg / 40 mg,,Tablet,C10BA02,Ranbaxy (Malaysia) Sdn Bhd,MAL19056028AZ,Ranbaxy (Malaysia) Sdn Bhd,MAL19056028AZ,"Sun Pharmaceutical Industries Limited, India",shortage,Current,Shortage,Manufacturing Issues – The manufacturing plant no longer produces the product,2026-01-29,,2026-09-22,"The product owner is in the process of identifying a new contract manufacturing site, with a tentative variation or new product submission planned for 2027/2028.",Registered alternative products are available,"Ezetimibe, Simvastatin shortage_1st 260805.pdf",2026-09-22T14:27:48.443291,77046
MY,Malaysia,NPRA,Glumet XR Tablet 750mg,METFORMIN HYDROCHLORIDE,750mg,,Tablets,A10BA02,Pharmaniaga Manufacturing Berhad,MAL13025046AZ,Pharmaniaga Manufacturing Berhad,MAL13025046AZ,Pharmaniaga Manufacturing Berhad,shortage,Current,Shortage,Directive and voluntary recall required on spec batches due to quality.,2026-05-18,2027-03-31,2026-09-22,Improvement plan already in in placed to mitigate the shortage. New stability batch is in progress,Registered alternative products are available,Metformin 750mg,2026-09-22T14:27:48.443291,150673
MY,Malaysia,NPRA,DYNA TERBUTALINE SYRUP,TERBUTALINE SULPHATE,1.5MG/5ML,,Liquid-Syrup,R03CC03,DYNAPHARM (M) SDN. BHD.,MAL19910178AZ,DYNAPHARM (M) SDN. BHD.,MAL19910178AZ,DYNAPHARM (M) SDN. BHD.,shortage,Current,Shortage,Revision of product formulation & variation under evaluation,2026-05-01,2027-05-31,2026-09-22,Registered alternative products from other companies are available.,Registered alternative products are available.,Terbutaline shortage_1st 17 Jul 2026.pdf,2026-09-22T14:27:48.443291,
MY,Malaysia,NPRA,HOLOXAN INJECTION 1GM (30ML VIAL),IFOSFAMIDE,1g,,Parenteral,L01AA06,BAXTER HEALTHCARE (MALAYSIA) SDN. BHD.,MAL19890647AZ,BAXTER HEALTHCARE (MALAYSIA) SDN. BHD.,MAL19890647AZ,Baxter Oncology GmbH (Germany) Pending update: Simtra Deutschland GmbH (Germany),shortage,Current,Shortage,1) Product manufacturing related; 2) Regulatory related 3) Manufacturing plant related,2026-01-01,2026-12-01,2026-09-22,"• Partial release, supply based on monthly usage • Anticipates inventory levels to improve by end of 2026",No registered alternative product is available for this product’s active ingredient. Doctors are advised to ensure patients receive suitable alternative treatment based on their clinical judgement.,,2026-09-22T14:27:48.443291,14818
MY,Malaysia,NPRA,ENDOXAN INJ 1GM (50ML VIAL),CYCLOPHOSPHAMIDE,1g,,Parenteral,L01AA01,BAXTER HEALTHCARE (MALAYSIA) SDN. BHD.,MAL19890356AZ,BAXTER HEALTHCARE (MALAYSIA) SDN. BHD.,MAL19890356AZ,Baxter Oncology GmbH (Germany) Pending update: Simtra Deutschland GmbH (Germany),shortage,Current,Shortage,1) Manufacturing plant related 2) Regulatory related,2026-01-01,2026-12-01,2026-09-22,"• Partial release, supply based on monthly usage • Anticipates inventory levels to improve by end of 2026 • Submit applications to the relevant authority for Special Import Permits as requested by hospitals.",No registered alternative product is available for this product’s active ingredients. Doctors are advised to ensure patients receive suitable alternative treatment based on their clinical judgement.,,2026-09-22T14:27:48.443291,5053
MY,Malaysia,NPRA,Kaletra Oral Solution,Lopinavir/Ritonavir,80 mg/20 mg per mL,,Oral solution,J05AR10,AbbVie Sdn Bhd,MAL20020996AZ,AbbVie Sdn Bhd,MAL20020996AZ,AbbVie Inc,discontinued,Current,Discontinuation,Business decision,,2027-09-30,2026-09-22,PRH has not proposed any mitigation plan.,Registered alternative products are available,Lopinavir + Ritonavir shortage 2nd ver. 260309.pdf,2026-09-22T14:27:48.443291,59439
MY,Malaysia,NPRA,Vusimide 10mg/ml Furosemide Oral Solution,FRUSEMIDE,10mg/1ml,,Solution,C03CA01,Pharm-D Sdn Bhd,MAL15065040ACZ,Pharm-D Sdn Bhd,MAL15065040ACZ,Winwa Medical Sdn Bhd,shortage,Current,Shortage,Product reformulation in progress,2025-12-02,,2026-09-22,Alternative source is available to supply on import permit basis,Registered alternative products are available,Frusemide shortage_1st 260723.pdf,2026-09-22T14:27:48.443291,
MY,Malaysia,NPRA,RIBOMUSTIN 100MG/VIAL POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION,Bendamustine Hydrochloride,100mg,,Powder,L01AA09,Johnson & Johnson Sdn Bhd,MAL15045157ACRZ,Johnson & Johnson Sdn Bhd,MAL15045157ACRZ,Oncotec Pharma Produktion GmbH,discontinued,Current,Discontinuation,Commercial's decision,,2027-07-31,2026-09-22,,Registered alternative products are available,Bendamustine Alternatives,2026-09-22T14:27:48.443291,98469
MY,Malaysia,NPRA,RIBOMUSTIN 25MG/VIAL POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION,Bendamustine Hydrochloride,25mg,,Powder,L01AA09,Johnson & Johnson Sdn Bhd,MAL15045159ACRZ,Johnson & Johnson Sdn Bhd,MAL15045159ACRZ,Oncotec Pharma Produktion GmbH,discontinued,Current,Discontinuation,Commercial’s decision,,2027-07-31,2026-09-22,,Registered alternative products are available,Bendamustine Alternatives,2026-09-22T14:27:48.443291,98450
MY,Malaysia,NPRA,Saxenda 6mg/ml Solution for Injection in Pre-filled Pen,Liraglutide,6.0 mg/ml,,Solution for Injection in Pre-filled Pen,A10BJ02,Novo Nordisk Pharma (Malaysia) Sdn Bhd,MAL17085003AZ,Novo Nordisk Pharma (Malaysia) Sdn Bhd,MAL17085003AZ,Novo Nordisk A/S,discontinued,Current,Discontinuation,Reduced demand,,2027-02-28,2026-09-22,"Alternative product containing active ingredient (Semaglutide) from the same PRH, indicated for the same therapeutic use. Wegovy is available in five strengths for dose titration.",No registered alternative product is available for this product’s active ingredients. Doctors are advised to ensure patients receive suitable alternative treatment based on their clinical judgement.,,2026-09-22T14:27:48.443291,151203
MY,Malaysia,NPRA,BETALOC TABLET 50MG,METOPROLOL TARTRATE,50mg,,Tablet,C07AB02,ASTRAZENECA SDN. BHD.,MAL19988458AZ,ASTRAZENECA SDN. BHD.,MAL19988458AZ,AstraZeneca Pharmaceutical Co. Ltd.,discontinued,Current,Discontinuation,Commercial reasons,,,2026-09-22,PRH has not proposed any mitigation plan.,Registered alternative products are available,Metoprolol shortage_1st 17 Jul 2026.pdf,2026-09-22T14:27:48.443291,3158
MY,Malaysia,NPRA,GUADEX LINCTUS,1) Guaiphenesin 2) Dextromethorphan Hydrobromide,1) 100mg/5ml 2) 15mg/5ml,,Liquid,R05FB02,HOE PHARMACEUTICALS SDN. BHD.,MAL19913398AZ,HOE PHARMACEUTICALS SDN. BHD.,MAL19913398AZ,HOE PHARMACEUTICALS SDN. BHD.,discontinued,Current,Discontinuation,Business decision - SKU rationalization,,2026-12-22,2026-09-22,PRH has not proposed any mitigation plan.,No registered alternative product is available for this product’s active ingredient combination. Doctors and pharmacists are advised to ensure patients receive suitable alternative treatment based on their clinical judgement.,,2026-09-22T14:27:48.443291,
MY,Malaysia,NPRA,TOPAMAX TABLET 25MG,TOPIRAMATE,25MG,,Tablet,N03AX11,JOHNSON & JOHNSON SDN. BHD.,MAL20013558ARZ,JOHNSON & JOHNSON SDN. BHD.,MAL20013558ARZ,"CILAG AG HOCHSTRASSE 201/209 SCHAFFHAUSEN,SWITZERLAND",discontinued,Current,Discontinuation,Temporary manufacturing pause due to facility engineering and environmental control upgrades; not related to product quality or safety.,2026-06-15,2027-11-01,2026-09-22,Close monitoring on current manufacturing site readiness.,Registered alternative products are available,Topiramate Alternatives,2026-09-22T14:27:48.443291,45756
MY,Malaysia,NPRA,Neo Betasone Cream,1. Betamethasone 2. Neomycin sulphate,1. 0.1% w/w 2. 0.5% w/w,,Cream,,Hovid Berhad,MAL19860244AZ,Hovid Berhad,MAL19860244AZ,Hovid Berhad,shortage,Current,Shortage,Changing API source,2026-07-01,2027-01-15,2026-09-22,API source addition variation application submitted; evaluation ongoing as of April 2026.,Registered alternative products are available,Neomycin & Betamethasone_shortage 1st 260727.pdf,2026-09-22T14:27:48.443291,
MY,Malaysia,NPRA,Hovid Neomycin Cream 0.5%,Neomycin sulphate,0.5% w/w,,Cream,,Hovid Berhad,MAL19860057AZ,Hovid Berhad,MAL19860057AZ,Hovid Berhad,shortage,Current,Shortage,Changing API source,2026-07-01,2027-01-15,2026-09-22,API source addition variation application submitted; evaluation ongoing as of April 2026.,Registered alternative products are available,Neomycin shortage_1st 260723.pdf,2026-09-22T14:27:48.443291,
MY,Malaysia,NPRA,EFAMAT Tablets 200mg,EFAVIRENZ,200 mg,,Tablet,J05AG03,PAHANG PHARMACY SDN. BHD.,MAL16115033AZ,PAHANG PHARMACY SDN. BHD.,MAL16115033AZ,"Mylan Laboratories Limited, India",shortage,Current,Shortage,Manufacturing facility incident,2026-07-01,2027-01-15,2026-09-22,• Proceed with the registration of a second source from an alternate manufacturing site. • Submit an application for approval to temporarily import stock from the alternate source.,Registered alternative products are available,Efavirenz shortage_1st 260729.pdf,2026-09-22T14:27:48.443291,84956
