country_code,country_name,source,medicine_name,full_name,active_substance,strength,package_size,dosage_form,atc_code,marketing_auth_holder,market_status,market_status_code,status,scraped_at,prk
SI,Slovenia,CBZ,Ceftazidim Viatris,Ceftazidim Viatris 1 g prašek za raztopino za injiciranje ali infundiranje,ceftazidimum,,škatla s 5 vialami s praškom,prašek za raztopino za injiciranje/infundiranje,J01DD02,Viatris Limited,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292079,22195
SI,Slovenia,CBZ,Bufomix Easyhaler,"Bufomix Easyhaler 160 mikrogramov/4,5 mikrograma na odmerek prašek za inhaliranje",formoterolum et alia medicamenta ad morbos obstructi pulmonis medendos,,škatla z veèodmernim inhalatorjem braz zašèitnega pokrova s 120 odmerki,prašek za inhaliranje,R03AK07,Orion Corporation,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292090,131164
SI,Slovenia,CBZ,Bufomix Easyhaler,Bufomix Easyhaler 320 mikrogramov/9 mikrogramov na odmerek prašek za inhaliranje,formoterolum et alia medicamenta ad morbos obstructi pulmonis medendos,,škatla z veèodmernim inhalatorjem brez zašèitnega pokrova s 60 odmerki,prašek za inhaliranje,R03AK07,Orion Corporation,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292100,131164
SI,Slovenia,CBZ,Etopozid Accord,Etopozid Accord 20 mg/ml koncentrat za raztopino za infundiranje,etoposidum,,škatla z 1 vialo s 5 ml koncentrata,koncentrat za raztopino za infundiranje,L01CB01,Accord Healthcare Polska Sp. z.o.o.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292110,32700
SI,Slovenia,CBZ,Etopozid Accord,Etopozid Accord 20 mg/ml koncentrat za raztopino za infundiranje,etoposidum,,"škatla z 1 vialo z 12,5 ml koncentrata",koncentrat za raztopino za infundiranje,L01CB01,Accord Healthcare Polska Sp. z.o.o.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292121,32700
SI,Slovenia,CBZ,Hizentra,Hizentra 200 mg/ml raztopina za subkutano injiciranje,immunoglobulina humana ad aplicationem extravascularem,,škatla z 10 vialami s 5 ml raztopine,raztopina za injiciranje,J06BA01,CSL Behring GmbH,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292131,97381
SI,Slovenia,CBZ,Imatinib Accord,Imatinib Accord 100 mg filmsko obložene tablete,,,120 tablet v pretisnih omotih iz PVC/PVDC/Alu,filmsko obložena tableta,L01EA01,Accord Healthcare S.L.U.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292141,
SI,Slovenia,CBZ,Imatinib Accord,Imatinib Accord 400 mg filmsko obložene tablete,,,30 tablet v pretisnih omotih iz PVC/PVDC/Alu,filmsko obložena tableta,L01EA01,Accord Healthcare S.L.U.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292151,
SI,Slovenia,CBZ,Bortezomib Accord,"Bortezomib Accord 3,5 mg prašek za raztopino za injiciranje",,,1 viala,prašek za raztopino za injiciranje,L01XG01,Accord Healthcare S.L.U.,Potekajoèa motnja v preskrbi,5,shortage,2026-09-21T13:23:43.292162,75299
SI,Slovenia,CBZ,Temozolomid Accord,Temozolomid Accord 180 mg trde kapsule,temozolomidum,,škatla s 5 kapsulami v vreèkah s po 1 kapsulo,"kapsula, trda",L01AX03,Accord Healthcare S.L.U.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292172,
