country_code,country_name,source,source_detail,medicine_name,active_substance,strength,dosage_form,package_size,product_no,atc_code,marketing_auth_holder,shortage_start,estimated_end,estimated_end_text,actual_end,status,severity,reason,last_updated,url,scraped_at,prk
GB,United Kingdom,MHRA,MHRA CAS (National Patient Safety Alert - DHSC),Licensed and Unlicensed Epidural Infusion Bags,,,infusion,,NatPSA/2025/007/DHSC,,,2025-12-02,,,,shortage,,,,https://www.cas.mhra.gov.uk/ViewandAcknowledgment/ViewAlert.aspx?AlertID=103271,2026-09-23T10:38:19.250608,
GB,United Kingdom,MHRA,MHRA CAS (National Patient Safety Alert - DHSC),Antimicrobial Agents Used in Tuberculosis (TB) Treatment,,,,,NatPSA/2025/004/MVA,,,2025-07-29,,,,shortage,,,,https://www.cas.mhra.gov.uk/ViewandAcknowledgment/ViewAlert.aspx?AlertID=103267,2026-09-23T10:38:19.250690,
GB,United Kingdom,MHRA,MHRA CAS (National Patient Safety Alert - DHSC),bumetanide 1mg tablets,bumetanide,,tablets,,NatPSA/2025/003/DHSC,C03CA02,,2025-07-03,,,,shortage,,,,https://www.cas.mhra.gov.uk/ViewandAcknowledgment/ViewAlert.aspx?AlertID=103264,2026-09-23T10:38:19.250754,4219
GB,United Kingdom,MHRA,MHRA CAS (National Patient Safety Alert - DHSC),Promixin (colistimethate) 1-million unit powder for nebuliser solution unit dose vials,,,,,NatPSA/2025/001/DHSC,,,2025-03-17,,,,shortage,,,,https://www.cas.mhra.gov.uk/ViewandAcknowledgment/ViewAlert.aspx?AlertID=103261,2026-09-23T10:38:19.250811,
GB,United Kingdom,MHRA,MHRA CAS (National Patient Safety Alert - DHSC),Pancreatic enzyme replacement therapy (PERT) - Additional actions,,,,,NatPSA/2024/013/DHSC,,,2024-12-18,,,,shortage,,,,https://www.cas.mhra.gov.uk/ViewandAcknowledgment/ViewAlert.aspx?AlertID=103260,2026-09-23T10:38:19.305165,
GB,United Kingdom,MHRA,MHRA CAS (National Patient Safety Alert - DHSC),Molybdenum-99/Technetium99m generators,,,,,NatPSA/2024/012/DHSC,,,2024-10-25,,,,shortage,,,,https://www.cas.mhra.gov.uk/ViewandAcknowledgment/ViewAlert.aspx?AlertID=103258,2026-09-23T10:38:19.305259,
GB,United Kingdom,MHRA,MHRA CAS (National Patient Safety Alert - DHSC),UPDATE: Discontinuation of Kay-Cee-L (potassium chloride 375mg/ml) (potassium chloride 5mmol/5ml) syrup,,,,,NatPSA/2024/011/DHSC,,,2024-10-21,,,,shortage,,,,https://www.cas.mhra.gov.uk/ViewandAcknowledgment/ViewAlert.aspx?AlertID=103257,2026-09-23T10:38:19.305329,
GB,United Kingdom,MHRA,MHRA CAS (National Patient Safety Alert - DHSC),Human Albumin 4.5% and 5% dose vials,,,,,NatPSA/2024/009/DHSC,,,2024-07-30,,,,shortage,,,,https://www.cas.mhra.gov.uk/ViewandAcknowledgment/ViewAlert.aspx?AlertID=103255,2026-09-23T10:38:19.305435,
GB,United Kingdom,MHRA,MHRA CAS (National Patient Safety Alert - DHSC),Kay-Cee-L (potassium chloride 375mg/5ml) (potassium chloride 5mmol/5ml) syrup,,,,,NatPSA/2024/008/DHSC,,,2024-07-26,,,,shortage,,,,https://www.cas.mhra.gov.uk/ViewandAcknowledgment/ViewAlert.aspx?AlertID=103254,2026-09-23T10:38:19.411500,
GB,United Kingdom,MHRA,MHRA CAS (National Patient Safety Alert - DHSC),Pancreatic enzyme replacement therapy (PERT),,,,,NatPSA/2024/007/DHSC,,,2024-05-24,,,,shortage,,,,https://www.cas.mhra.gov.uk/ViewandAcknowledgment/ViewAlert.aspx?AlertID=103253,2026-09-23T10:38:19.411575,
GB,United Kingdom,MHRA,MHRA CAS (National Patient Safety Alert - DHSC),Orencia ClickJect (abatacept) 125mg/1ml solution for injection pre-filled pens,abatacept,,solution for injection,,NatPSA/2024/006/DHSC,L04AA24,,2024-05-23,,,,shortage,,,,https://www.cas.mhra.gov.uk/ViewandAcknowledgment/ViewAlert.aspx?AlertID=103252,2026-09-23T10:38:19.411607,128848
GB,United Kingdom,MHRA,MHRA CAS (National Patient Safety Alert - DHSC),Erelzi (etanercept) 50mg solution for injection in pre-filled pen,etanercept,,solution for injection,,NatPSA/2024/005/MVA,L04AB01,,2024-05-03,,,,shortage,,,,https://www.cas.mhra.gov.uk/ViewandAcknowledgment/ViewAlert.aspx?AlertID=103251,2026-09-23T10:38:19.411633,106321
GB,United Kingdom,MHRA,MHRA CAS (National Patient Safety Alert - DHSC),salbutamol 2.5mg/2.5ml and 5mg/2.5ml nebuliser liquid unit dose vials,salbutamol,,,,NatPSA/2024/003/DHSC_MVA,R03AC02,,2024-02-26,,,,shortage,,,,https://www.cas.mhra.gov.uk/ViewandAcknowledgment/ViewAlert.aspx?AlertID=103248,2026-09-23T10:38:19.411658,
GB,United Kingdom,MHRA,MHRA CAS (National Patient Safety Alert - DHSC),GLP-1 receptor agonists (GLP-1 RA) update,,,,,NatPSA/2024/001/DHSC,,,2024-01-03,,,,shortage,,,,https://www.cas.mhra.gov.uk/ViewandAcknowledgment/ViewAlert.aspx?AlertID=103245,2026-09-23T10:38:19.411684,
GB,United Kingdom,MHRA,MHRA CAS (National Patient Safety Alert - DHSC),Potential for inappropriate dosing of insulin when switching insulin degludec (Tresiba) products,,,,,NatPSA/2023/016/DHSC,,,2023-12-08,,,,shortage,,,,https://www.cas.mhra.gov.uk/ViewandAcknowledgment/ViewAlert.aspx?AlertID=103242,2026-09-23T10:38:19.411708,
GB,United Kingdom,MHRA,MHRA CAS (National Patient Safety Alert - DHSC),verteporfin 15mg powder for solution for injection,verteporfin,,powder for solution for injection,,NatPSA/2023/012/DHSC,S01LA01,,2023-09-28,,,,shortage,,,,https://www.cas.mhra.gov.uk/ViewandAcknowledgment/ViewAlert.aspx?AlertID=103239,2026-09-23T10:38:19.411732,58963
GB,United Kingdom,MHRA,MHRA CAS (National Patient Safety Alert - DHSC),"methylphenidate prolonged-release capsules and tablets, lisdexamfetamine capsules, and guanfacine prolonged-release tablets",methylphenidate / lisdexamfetamine / guanfacine,,prolonged-release tablets,,NatPSA/2023/011/DHSC,,,2023-09-27,,,,shortage,,,,https://www.cas.mhra.gov.uk/ViewandAcknowledgment/ViewAlert.aspx?AlertID=103238,2026-09-23T10:38:19.411756,
GB,United Kingdom,MHRA,MHRA CAS (National Patient Safety Alert - DHSC),GLP-1 receptor agonists,,,,,NatPSA/2023/008/DHSC,,,2023-07-18,,,,shortage,,,,https://www.cas.mhra.gov.uk/ViewandAcknowledgment/ViewAlert.aspx?AlertID=103235,2026-09-23T10:38:19.478619,
GB,United Kingdom,MHRA,MHRA CAS (National Patient Safety Alert - DHSC),pyridostigmine 60mg tablets,pyridostigmine,,tablets,,NatPSA/2023/006/DHSC,N07AA02,,2023-05-24,,,,shortage,,,,https://www.cas.mhra.gov.uk/ViewandAcknowledgment/ViewAlert.aspx?AlertID=103233,2026-09-23T10:38:19.558513,6211
GB,United Kingdom,MHRA,MHRA CAS (National Patient Safety Alert - DHSC),Licensed and Unlicensed Epidural Infusion Bags,,,infusion,,NatPSA/2023/002/CMU,,,2023-01-23,,,,shortage,,,,https://www.cas.mhra.gov.uk/ViewandAcknowledgment/ViewAlert.aspx?AlertID=103224,2026-09-23T10:38:19.558644,
GB,United Kingdom,MHRA,MHRA CAS (National Patient Safety Alert - DHSC),alteplase and tenecteplase injections,alteplase / tenecteplase,,injection,,NatPSA/2022/006/DHSC,,,2022-08-03,,,,shortage,,,,https://www.cas.mhra.gov.uk/ViewandAcknowledgment/ViewAlert.aspx?AlertID=103211,2026-09-23T10:38:19.558710,
