country_code,country_name,source,medicine_name,active_substance,strength,dosage_form,marketing_auth_holder,mah_country,notification_date,shortage_start,estimated_end,status,notification_type,reason,scraped_at,atc_code,prk
RO,Romania,ANMDMR,CALYPSOL 50mg/ml,KETAMINUM,50mg/ml,SOL. INJ.,GEDEON RICHTER ROMANIA S.A.,ROMANIA,2026-08-03,2026-08-03,,temporary_discontinuation,"Discontinuitate temporara din
Decembrie 2026",Motive de fabricatie,2026-09-23T21:00:14.615936,N01AX03,
RO,Romania,ANMDMR,OMEZ 40 mg,OMEPRAZOLUM,40mg,PULB. PT. SOL. PERF.,DR. REDDY'S LABORATORIES ROMANIA S.R.L.,ROMANIA,2026-08-05,2026-08-05,,temporary_discontinuation,"Discontinuitate temporara din
Septembrie 2026",Motive comerciale,2026-09-23T21:00:14.615943,A02BC01,126578
RO,Romania,ANMDMR,ZYPADHERA 405mg,OLANZAPINUM,405mg,"PULB.+SOLV. PT. SUSP. INJ. CU
ELIB. PREL.",CHEPLAPHARM REGISTRATION GMBH,GERMANIA,2026-08-06,2026-08-06,,temporary_discontinuation,Discontinuitate temporara,Motive de fabricatie,2026-09-23T21:00:14.615951,N05AH03,90212
RO,Romania,ANMDMR,"ARTIZIA 0,075 mg/0,020 mg",COMBINATII (GESTODENUM+ETINILESTRADIOLUM),"0,075mg/0,020mg",DRAJ.,ZENTIVA K.S.,REPUBLICA CEHA,2026-08-06,2026-08-06,,temporary_discontinuation,Discontinuitate temporara,Motive de fabricatie,2026-09-23T21:00:14.615960,,
RO,Romania,ANMDMR,SETIAPO 30 mg,EDOXABANUM,COMPR. FILM.,30mg,"ZENTIVA, K.S.",REPUBLICA CEHA,2026-08-06,2026-08-06,,temporary_discontinuation,Discontinuitate temporara,Motive de fabricatie,2026-09-23T21:00:14.615968,B01AF03,128198
RO,Romania,ANMDMR,DOLOXIB 60 mg,ETORICOXIBUM,60mg,COMPR. FILM.,ZENTIVA K.S.,REPUBLICA CEHA,2026-08-06,2026-08-06,,temporary_discontinuation,Discontinuitate temporara,Motive comerciale,2026-09-23T21:00:14.615976,M01AH05,66745
RO,Romania,ANMDMR,"MEDIRAZIN 0,5 micrograme",ALFACALCIDOLUM,"0,50micrograme",CAPS. MOI,ZENTIVA K.S.,REPUBLICA CEHA,2026-08-06,2026-08-06,,temporary_discontinuation,Discontinuitate temporara,Motive comerciale,2026-09-23T21:00:14.615984,A11CC03,54763
RO,Romania,ANMDMR,TEZEO 80 mg,TELMISARTANUM,80mg,COMPR.,ZENTIVA K.S.,REPUBLICA CEHA,2026-08-06,2026-08-06,,temporary_discontinuation,"Prelungire discontinuitate
temporara",Motive comerciale,2026-09-23T21:00:14.615993,C09CA07,50652
RO,Romania,ANMDMR,LUTONAZE 137 micrograme/50 micrograme/doza,COMBINATII (AZELASTINUM+FLUTICASONUM),"137micrograme/50micrograme/
doza","SPRAY NAZ., SUSP.","ZENTIVA, K.S.",REPUBLICA CEHA,2026-08-06,2026-08-06,,temporary_discontinuation,"Prelungire discontinuitate
temporara",Motive comerciale,2026-09-23T21:00:14.616001,,
RO,Romania,ANMDMR,ATOMOXETINA ZENTIVA 25 mg,ATOMOXETINUM,25mg,CAPS.,ZENTIVA K.S.,REPUBLICA CEHA,2026-08-06,2026-08-06,,temporary_discontinuation,Discontinuitate temporara,Motive comerciale,2026-09-23T21:00:14.616009,N06BA09,76724
RO,Romania,ANMDMR,AMIKOZIT 500 mg/2 ml,AMIKACINUM,500mg/2ml,SOL. INJ.,ZENTIVA S.A.,ROMANIA,2026-08-06,2026-08-06,,temporary_discontinuation,Discontinuitate temporara,Motive de fabricatie,2026-09-23T21:00:14.616017,J01GB06,51772
RO,Romania,ANMDMR,PREGABALIN ZENTIVA 150 mg,PREGABALINUM,150mg,CAPS.,ZENTIVA K.S.,REPUBLICA CEHA,2026-08-06,2026-08-06,,temporary_discontinuation,Discontinuitate temporara,Motive comerciale,2026-09-23T21:00:14.616026,N02BF02,75728
RO,Romania,ANMDMR,SPIRONOLACTONA LPH 25 mg,SPIRONOLACTONUM,25mg,CAPS.,LABORMED PHARMA S.A.,ROMANIA,2026-08-06,2026-08-06,,temporary_discontinuation,"Prelungire discontinuitate
temporara",Motive de fabricatie,2026-09-23T21:00:14.616034,C03DA01,
RO,Romania,ANMDMR,ATENOLOL LPH 50 mg,ATENOLOLUM,50mg,COMPR.,LABORMED PHARMA S.A.,ROMANIA,2026-08-06,2026-08-06,,temporary_discontinuation,Discontinuitate temporara,Motive de fabricatie,2026-09-23T21:00:14.616043,C07AB03,15822
RO,Romania,ANMDMR,DILTIAZEM LPH 60 mg,DILTIAZEMUM,60mg,COMPR.,LABORMED PHARMA S.A.,ROMANIA,2026-08-06,2026-08-06,,temporary_discontinuation,Discontinuitate temporara,Motive de fabricatie,2026-09-23T21:00:14.616052,C08DB01,
RO,Romania,ANMDMR,TRITACE PLUS 5 mg/25 mg,"COMBINATII
(RAMIPRILUM+HYDROCHLOROTHIAZIDUM)",5mg/25mg,COMPR.,SANOFI ROMANIA S.R.L.,ROMANIA,2026-08-06,2026-08-06,,temporary_discontinuation,Discontinuitate temporara,Motive de fabricatie,2026-09-23T21:00:14.616060,,
