country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,authorisation_number,marketing_auth_holder,shortage_start,estimated_end,actual_end,status,reason,impact,scraped_at,prk
BE,Belgium,FAMHP,Rivaroxaban Sandoz 15 mg filmomh. tabl. 28 (28 x 1) UD,Rivaroxaban,,,4764882,B01AF01,BE537013,Sandoz SA-NV,2025-03-21,2026-10-31,,unavailable,"Logistieke problemen (transport, douane, ...)",Minstens drie alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440070,100145
BE,Belgium,FAMHP,Poviderm Sol 30 mg/g cut. opl. 4600 g,Iodine,,,1540939,QD08AG02,BE-V196971,Emdoka ,2025-03-20,2026-10-31,,unavailable,Vertraging in de productie,-,2026-09-23T11:15:11.440079,
BE,Belgium,FAMHP,Solifenacin Krka 10 mg filmomh. tabl. 250,Solifenacin,,,3983244,G04BD08,BE521235,KRKA d.d. Novo mesto d.d.,2025-03-14,2027-01-25,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440085,75345
BE,Belgium,FAMHP,Solifenacin Krka 5 mg filmomh. tabl. 250,Solifenacin,,,3983236,G04BD08,BE521200,KRKA d.d. Novo mesto d.d.,2025-03-14,2027-01-25,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440091,75337
BE,Belgium,FAMHP,"Dermestril-Septem 25 µg/24 h transderm. pleister 12 (2,5 mg/11,25 cm²)",Estradiol,,,1528587,G03CA04,BE207751,Besins Healthcare SA-NV,2025-03-12,2026-09-30,,unavailable,Vertraging in de productie,Invoer door de apotheker mogelijk,2026-09-23T11:15:11.440099,
BE,Belgium,FAMHP,Myloop 0.12 mg/24 h - 0.015 mg/24 h vagin. hulpmiddel 3,"Etonogestrel, Ethinylestradiol",,,4112579,G02BB01,BE546800,Ceres Pharma SA-NV,2025-03-05,2026-09-30,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440105,148113
BE,Belgium,FAMHP,Myloop 0.12 mg/24 h - 0.015 mg/24 h vagin. hulpmiddel 6,"Etonogestrel, Ethinylestradiol",,,4180287,G02BB01,BE546800,Ceres Pharma SA-NV,2025-03-05,2026-09-30,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440111,148113
BE,Belgium,FAMHP,Menotrophin Ferring 1 200 IE inj. opl. s.c. voorgev. pen 1.92 ml,Menotropine,,,4871406,G03GA02,BE660415,Ferring SA-NV,2025-03-03,2026-12-31,,unavailable,Vertraging in de productie,Eén of twee alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440118,
BE,Belgium,FAMHP,Menotrophin Ferring 600 IE inj. opl. s.c. voorgev. pen 0.96 ml,Menotropine,,,4871398,G03GA02,BE660414,Ferring SA-NV,2025-03-03,2026-12-31,,unavailable,Vertraging in de productie,Eén of twee alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440123,
BE,Belgium,FAMHP,Colchicine Opocalcium 1 mg tabl. 20,Colchicine,,,1127299,L01CC,BE260057,Mayoly Benelux S.P.R.L.-B.V.B.A.,2025-03-01,2026-12-31,,unavailable,"Logistieke problemen (transport, douane, ...)",Invoer door de groothandelaar mogelijk,2026-09-23T11:15:11.440129,
