country_code,country_name,source,product_no,medicine_name,atc_code,active_substance,package_size,strength,marketing_auth_holder,shortage_start,estimated_end,reason,notes,status,scraped_at,prk
GR,Greece,EOF,2803094903022,ANAQUETAN XR PR.TAB 300MG/TAB BTX30 TABS (WHITE OPAQUE BLISTER PVC/PVDC-ALU),N05AH04,QUETIAPINE FUMARATE,,,"ΑΝΑΒΙΩΣΙΣ Α.Ε., ΕΛΛΑΔΑ",2025-04-04,2027-09-30,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, αλλά διαφορετικής περιεκτικότητας",shortage,2026-09-23T20:59:51.530445,84204
GR,Greece,EOF,2803094904029,ANAQUETAN XR PR.TAB 400MG/TAB BTX30 TABS (WHITE OPAQUE BLISTER PVC/PVDC-ALU),N05AH04,QUETIAPINE FUMARATE,,,"ΑΝΑΒΙΩΣΙΣ Α.Ε., ΕΛΛΑΔΑ",2025-04-04,2027-09-30,Καθυστέρηση παράδοσης,Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής και περιεκτικότητας,shortage,2026-09-23T20:59:51.530451,84212
GR,Greece,EOF,2803094901028,ANAQUETAN XR PR.TAB 50MG/TAB BTX30 TABS (WHITE OPAQUE BLISTER PVC/PVDC-ALU),N05AH04,QUETIAPINE FUMARATE,,,"ΑΝΑΒΙΩΣΙΣ Α.Ε., ΕΛΛΑΔΑ",2025-09-08,2026-09-24,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.530457,84182
GR,Greece,EOF,2803148105020,ETIABEN XR® PR.TAB 400MG/TAB BTx30 (3x10) tabs σε PVC/PCTFE-Aluminium foil blisters,N05AH04,QUETIAPINE FUMARATE,,,BENNETT ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε.,2026-04-15,2026-10-31,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.530463,84212
GR,Greece,EOF,2803148101022,ETIABEN XR® PR.TAB 50MG/TAB BTx30 (3x10) tabs σε PVC/PCTFE-Aluminium foil blisters,N05AH04,QUETIAPINE FUMARATE,,,BENNETT ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε.,2026-04-15,2026-10-31,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.530469,84182
GR,Greece,EOF,2803093101023,QUENTAL PR.TAB 50MG/TAB BTX30 (WHITE OPAQUE PVC/-PVDC-ALU BLISTER),N05AH04,QUETIAPINE FUMARATE,,,PHARMAZAC AE,2025-10-07,2026-12-07,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.530475,84182
GR,Greece,EOF,2803058405104,QUETIAPINE/MYLAN PR.TAB 400MG/TAB BTx30 (PVC/PVDC-ALU blisters),N05AH04,QUETIAPINE FUMARATE,,,"MYLAN PHARMACEUTICALS LIMITED, IRELAND",2026-05-06,2026-12-31,Αυξημένη ζήτηση,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.530481,84212
GR,Greece,EOF,2803055505036,MEGAZON PR.TAB 400MG/TAB BTx30 σε PVC/PCTFE- Aluminium Foil Blisters,N05AH04,QUETIAPINE FUMARATE,,,"PHARMATHEN INVESTMENTS GROUP LIMITED, CYPRUS",2025-12-01,2026-09-30,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.530487,84212
GR,Greece,EOF,2803055501038,MEGAZON PR.TAB 50MG/TAB BTx30 σε PVC/PCTFE- Aluminium Foil Blisters,N05AH04,QUETIAPINE FUMARATE,,,"PHARMATHEN INVESTMENTS GROUP LIMITED, CYPRUS",2026-05-18,2026-09-30,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και ίδιας ή διαφορετικής περιεκτικότητας",shortage,2026-09-23T20:59:51.530493,84182
GR,Greece,EOF,2803055503032,MEGAZON PR.TAB 200MG/TAB BTx30 σε PVC/PCTFE- Aluminium Foil Blisters,N05AH04,QUETIAPINE FUMARATE,,,"PHARMATHEN INVESTMENTS GROUP LIMITED, CYPRUS",2026-09-01,2026-10-30,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.530500,
GR,Greece,EOF,2803058403124,QUETIAPINE/MYLAN PR.TAB 200MG/TAB BTx30 (PVC/PVDC-ALU blisters),N05AH04,QUETIAPINE FUMARATE,,,"MYLAN PHARMACEUTICALS LIMITED, IRELAND",2026-08-05,2026-12-31,Αυξημένη ζήτηση,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.530506,50776
GR,Greece,EOF,2803067202015,QUAPIANOL F.C.TAB 100MG/TAB BTx60 (PVC-Aluminium foil blisters),N05AH04,QUETIAPINE FUMARATE,,,ΑΝΦΑΡΜ ΕΛΛΑΣ Α.Ε.,2026-08-06,2026-12-31,Αυξημένη ζήτηση,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.530512,50768
GR,Greece,EOF,2803067201018,QUAPIANOL F.C.TAB 25MG/TAB BTx60 (PVC-Aluminium foil blisters),N05AH04,QUETIAPINE FUMARATE,,,ΑΝΦΑΡΜ ΕΛΛΑΣ Α.Ε.,2026-08-06,2026-12-31,Αυξημένη ζήτηση,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.530518,50741
GR,Greece,EOF,2803067204019,QUAPIANOL F.C.TAB 300MG/TAB BTx30 (PVC-Aluminium foil blisters),N05AH04,QUETIAPINE FUMARATE,,,ΑΝΦΑΡΜ ΕΛΛΑΣ Α.Ε.,2026-08-06,2026-12-31,Αυξημένη ζήτηση,"Εναλλακτικά άλλα σκευάσματα της ίδια δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.530524,60283
GR,Greece,EOF,2803148104023,ETIABEN XR® PR.TAB 300MG/TAB BTx30 (3x10) tabs σε PVC/PCTFE-Aluminium foil blisters,N05AH04,QUETIAPINE FUMARATE,,,BENNETT ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε.,2026-08-28,2026-10-31,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδια δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.530530,84204
GR,Greece,EOF,2803083003023,ARPOYA TABLET 15MG/TAB BTx28 tabs σε (PA/Alu foil perforated blisters (alu-alu blister),N05AX12,ARIPIPRAZOLE,,,"PHARMATHEN INVESTMENTS GROUP LIMITED, CYPRUS",2026-02-12,2026-12-31,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.530536,75256
GR,Greece,EOF,2803260601011,PALIPERIDONE/TEVA PHARMA INJ.SU.PRO 75MG/P.F.SYR BT X 1 P.F.SYR X 2 ΒΕΛΟΝΕΣ,N05AX13,PALIPERIDONE PALMITATE,,,"TEVA PHARMA B.V., HAARLEM, THE NETHERLANDS",2026-07-20,2026-09-17,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",shortage,2026-09-23T20:59:51.530543,96970
