country_code,country_name,source,medicine_name,active_substance,strength,package_size,atc_code,product_no,shortage_start,estimated_end,status,scraped_at
LV,Latvia,ZVA,Alyostal Prick,Allergenum extractum,"4,5 ml",1 pc,,02-0154-01,2021-06-15,,shortage - end date unknown,2026-03-12T15:53:44.469727
LV,Latvia,ZVA,Amiokordin 200 mg tablets,Amiodaroni hydrochloridum,200 mg,30 pcs,C01BD01,00-0558-02,2019-07-01,,shortage - end date unknown,2026-03-12T15:53:44.469727
LV,Latvia,ZVA,"Amiptic 20 mg/5 mg/ml eye drops, solution","Dorzolamidum, Timololum",5 ml,1 pc,S01ED51,13-0099-01,2022-04-08,,shortage - end date unknown,2026-03-12T15:53:44.469727
LV,Latvia,ZVA,Amisan 200 mg tablets,Amisulpridum,200 mg,30 pcs,,09-0354-02,2020-01-01,,shortage - end date unknown,2026-03-12T15:53:44.469727
LV,Latvia,ZVA,Amisan 400 mg film-coated tablets,Amisulpridum,400 mg,30 pcs,,09-0355-02,2020-01-01,,shortage - end date unknown,2026-03-12T15:53:44.469727
LV,Latvia,ZVA,Amlessa 4 mg/5 mg tablets,"Tert-butylamini perindoprilum, Amlodipinum",4 mg/5 mg,90 pcs,C09AA04,11-0360-11,2022-12-22,,shortage - end date unknown,2026-03-12T15:53:44.469727
LV,Latvia,ZVA,Amlessa 8 mg/10 mg tablets,"Tert-butylamini perindoprilum, Amlodipinum",8 mg/10 mg,90 pcs,C09AA04,11-0361-11,2024-05-15,,shortage - end date unknown,2026-03-12T15:53:44.469727
LV,Latvia,ZVA,Amlessa 8 mg/5 mg tablets,"Tert-butylamini perindoprilum, Amlodipinum",8 mg/5 mg,90 pcs,C09AA04,11-0362-11,2024-05-15,,shortage - end date unknown,2026-03-12T15:53:44.469727
LV,Latvia,ZVA,Amlodipine Vitabalans 10 mg tablets,Amlodipinum,10 mg,100 pcs,,11-0281-03,2025-01-01,,shortage - end date unknown,2026-03-12T15:53:44.751826
LV,Latvia,ZVA,Amlodipine Vitabalans 10 mg tablets,Amlodipinum,10 mg,30 pcs,,11-0281-01,2025-01-01,,shortage - end date unknown,2026-03-12T15:53:44.751826
LV,Latvia,ZVA,Amlodipine Vitabalans 5 mg tablets,Amlodipinum,5 mg,30 pcs,,11-0280-01,2023-07-07,,shortage - end date unknown,2026-03-12T15:53:44.751826
LV,Latvia,ZVA,Amoksiklav 875 mg/125 mg dispersible/orodispersible tablets,"Amoxicillinum, Acidum clavulanicum",875 mg/125 mg,14 pcs,J01CA04,05-0171-02,2017-11-30,,shortage - end date unknown,2026-03-12T15:53:44.752825
LV,Latvia,ZVA,Amoksiklav 875 mg/125 mg film-coated tablets,"Amoxicillinum, Acidum clavulanicum",875 mg/125 mg,14 pcs,J01CA04,I000845-01,2022-12-12,,shortage - end date unknown,2026-03-12T15:53:44.752825
LV,Latvia,ZVA,Amoxicillin/Clavulanic acid Actavis 500 mg/125 mg film-coated tablets,"Amoxicillinum, Acidum clavulanicum",500 mg/125 mg,14 pcs,J01CA04,15-0058-08,2024-01-01,,shortage - end date unknown,2026-03-12T15:53:44.752825
LV,Latvia,ZVA,Amoxicillin/Clavulanic acid Actavis 875 mg/125 mg film-coated tablets,"Amoxicillinum, Acidum clavulanicum",875 mg/125 mg,14 pcs,J01CA04,15-0059-08,2024-01-01,,shortage - end date unknown,2026-03-12T15:53:44.752825
LV,Latvia,ZVA,Androcur 50 mg tablets,Cyproteroni acetas,50 mg,50 pcs,G03HA01,95-0266-03,2025-02-01,,shortage - end date unknown,2026-03-12T15:53:44.752825
LV,Latvia,ZVA,Angusta 25 micrograms tablets,Misoprostolum,25 µg,8 pcs,A02BB01,18-0010-01,2023-05-17,,shortage - end date unknown,2026-03-12T15:53:44.752825
LV,Latvia,ZVA,Aprovel,Irbesartanum,300 mg,28 pcs,C09CA04,EU/1/97/046/027,2022-02-25,,shortage - end date unknown,2026-03-12T15:53:44.752825
LV,Latvia,ZVA,Aprovel,Irbesartanum,150 mg,28 pcs,C09CA04,EU/1/97/046/022,2022-02-25,,shortage - end date unknown,2026-03-12T15:53:44.752825
LV,Latvia,ZVA,Aprovel,Irbesartanum,150 mg,30 pcs,C09CA04,EU/1/97/046/035,2021-12-15,,shortage - end date unknown,2026-03-12T15:53:44.752825
LV,Latvia,ZVA,Arduan 4 mg powder and solvent for solution for injection,Pipecuronii bromidum,4 mg,25 pcs,,97-0138-01,2021-06-30,,shortage - end date unknown,2026-03-12T15:53:44.753825
LV,Latvia,ZVA,Aripiprazole Mylan Pharma,Aripiprazolum,15 mg,28 pcs,N05AX12,EU/1/15/1005/008,2019-01-01,,shortage - end date unknown,2026-03-12T15:53:44.753825
LV,Latvia,ZVA,Aripiprazole Zentiva,Aripiprazolum,15 mg,28 pcs,N05AX12,EU/1/15/1009/012,2020-11-10,,shortage - end date unknown,2026-03-12T15:53:44.753825
LV,Latvia,ZVA,Arisppa 10 mg tablets,Aripiprazolum,10 mg,14 pcs,N05AX12,15-0037-01,2019-12-30,,shortage - end date unknown,2026-03-12T15:53:44.753825
